,TEM
2012-03-28,1.4500000476837158
2012-03-29,1.4299999475479126
2012-03-30,1.399999976158142
2012-04-02,1.590000033378601
2012-04-03,1.4299999475479126
2012-04-04,1.340000033378601
2012-04-05,1.350000023841858
2012-04-09,1.3300000429153442
2012-04-10,1.2999999523162842
2012-04-11,1.1799999475479126
2012-04-12,1.25
2012-04-13,1.2000000476837158
2012-04-16,1.0399999618530273
2012-04-17,1.0
2012-04-18,1.0499999523162842
2012-04-19,0.9900000095367432
2012-04-20,0.9800000190734863
2012-04-23,0.9100000262260437
2012-04-24,0.8100000023841858
2012-04-25,0.8799999952316284
2012-04-26,0.8899999856948853
2012-04-27,0.8700000047683716
2012-04-30,0.8899999856948853
2012-05-01,0.9800000190734863
2012-05-02,0.9399999976158142
2012-05-03,0.8700000047683716
2012-05-04,0.8899999856948853
2012-05-07,0.8100000023841858
2012-05-08,0.800000011920929
2012-05-09,0.8899999856948853
2012-05-10,0.9599999785423279
2012-05-11,0.8999999761581421
2012-05-14,0.8500000238418579
2012-05-15,0.8500000238418579
2012-05-16,0.8500000238418579
2012-05-17,0.800000011920929
2012-05-18,0.7599999904632568
2012-05-21,0.7599999904632568
2012-05-22,0.699999988079071
2012-05-23,0.7200000286102295
2012-05-24,0.6600000262260437
2012-05-25,0.7300000190734863
2012-05-29,0.7400000095367432
2012-05-30,0.6800000071525574
2012-05-31,0.7200000286102295
2012-06-01,0.75
2012-06-04,0.6700000166893005
2012-06-05,0.699999988079071
2012-06-06,0.699999988079071
2012-06-07,0.6800000071525574
2012-06-08,0.6600000262260437
2012-06-11,0.6800000071525574
2012-06-12,0.6800000071525574
2012-06-13,0.6899999976158142
2012-06-14,0.6600000262260437
2012-06-15,0.6499999761581421
2012-06-18,0.6499999761581421
2012-06-19,0.6600000262260437
2012-06-20,0.6399999856948853
2012-06-21,0.6200000047683716
2012-06-22,0.5799999833106995
2012-06-25,0.5799999833106995
2012-06-26,0.5699999928474426
2012-06-27,0.5299999713897705
2012-06-28,0.4699999988079071
2012-06-29,0.4699999988079071
2012-07-02,0.4699999988079071
2012-07-03,0.47999998927116394
2012-07-05,0.5099999904632568
2012-07-06,0.5
2012-07-09,0.4950000047683716
2012-07-10,0.44999998807907104
2012-07-11,0.49000000953674316
2012-07-12,0.47999998927116394
2012-07-13,0.47999998927116394
2012-07-16,0.5
2012-07-17,0.44999998807907104
2012-07-18,0.4699999988079071
2012-07-19,0.4749999940395355
