,PFG
2001-10-23,21.0
2001-10-24,22.149999618530273
2001-10-25,21.950000762939453
2001-10-26,21.5
2001-10-29,21.200000762939453
2001-10-30,22.040000915527344
2001-10-31,22.5
2001-11-01,21.950000762939453
2001-11-02,22.18000030517578
2001-11-05,22.0
2001-11-06,22.600000381469727
2001-11-07,21.850000381469727
2001-11-08,21.81999969482422
2001-11-09,21.600000381469727
2001-11-12,21.979999542236328
2001-11-13,21.850000381469727
2001-11-14,21.75
2001-11-15,21.93000030517578
2001-11-16,22.25
2001-11-19,22.329999923706055
2001-11-20,22.719999313354492
2001-11-21,22.8700008392334
2001-11-23,22.3799991607666
2001-11-26,22.329999923706055
2001-11-27,22.399999618530273
2001-11-28,22.799999237060547
2001-11-29,22.8799991607666
2001-11-30,22.950000762939453
2001-12-03,22.950000762939453
2001-12-04,22.950000762939453
2001-12-05,23.200000762939453
2001-12-06,23.450000762939453
2001-12-07,23.450000762939453
2001-12-10,23.350000381469727
2001-12-11,23.489999771118164
2001-12-12,23.649999618530273
2001-12-13,23.479999542236328
2001-12-14,24.079999923706055
2001-12-17,23.690000534057617
2001-12-18,23.690000534057617
2001-12-19,23.510000228881836
2001-12-20,23.579999923706055
2001-12-21,23.3700008392334
2001-12-24,23.399999618530273
2001-12-26,23.299999237060547
2001-12-27,23.549999237060547
2001-12-28,23.520000457763672
2001-12-31,24.0
2002-01-02,23.829999923706055
2002-01-03,23.75
2002-01-04,23.950000762939453
2002-01-07,23.850000381469727
2002-01-08,24.079999923706055
2002-01-09,23.899999618530273
2002-01-10,24.200000762939453
2002-01-11,24.0
2002-01-14,23.979999542236328
2002-01-15,23.799999237060547
2002-01-16,23.700000762939453
2002-01-17,24.18000030517578
2002-01-18,24.200000762939453
2002-01-22,24.479999542236328
2002-01-23,23.799999237060547
2002-01-24,24.149999618530273
2002-01-25,25.639999389648438
2002-01-28,26.0
2002-01-29,25.969999313354492
2002-01-30,25.5
2002-01-31,25.450000762939453
2002-02-01,24.399999618530273
2002-02-04,23.75
2002-02-05,23.25
2002-02-06,23.920000076293945
2002-02-07,24.0
2002-02-08,24.790000915527344
2002-02-11,24.360000610351562
2002-02-12,24.799999237060547
2002-02-13,24.75
2002-02-14,24.360000610351562
2002-02-15,24.049999237060547
2002-02-19,23.579999923706055
2002-02-20,23.549999237060547
2002-02-21,23.200000762939453
2002-02-22,22.5
2002-02-25,23.190000534057617
2002-02-26,23.700000762939453
2002-02-27,24.440000534057617
2002-02-28,24.360000610351562
2002-03-01,24.799999237060547
2002-03-04,25.270000457763672
2002-03-05,25.049999237060547
2002-03-06,25.0
2002-03-07,25.200000762939453
2002-03-08,25.049999237060547
2002-03-11,24.950000762939453
2002-03-12,25.0
2002-03-13,25.020000457763672
2002-03-14,25.420000076293945
2002-03-15,25.5
2002-03-18,25.5
2002-03-19,25.520000457763672
2002-03-20,25.799999237060547
2002-03-21,25.780000686645508
2002-03-22,25.799999237060547
2002-03-25,25.450000762939453
2002-03-26,25.5
2002-03-27,25.670000076293945
2002-03-28,25.299999237060547
2002-04-01,25.329999923706055
2002-04-02,25.520000457763672
2002-04-03,25.450000762939453
2002-04-04,26.100000381469727
2002-04-05,27.020000457763672
2002-04-08,27.440000534057617
2002-04-09,27.6200008392334
2002-04-10,27.780000686645508
2002-04-11,27.0
2002-04-12,27.299999237060547
2002-04-15,26.700000762939453
2002-04-16,28.0
2002-04-17,28.25
2002-04-18,28.3799991607666
2002-04-19,28.15999984741211
2002-04-22,28.489999771118164
2002-04-23,27.75
2002-04-24,27.799999237060547
2002-04-25,27.100000381469727
2002-04-26,27.299999237060547
2002-04-29,27.479999542236328
2002-04-30,27.799999237060547
2002-05-01,27.719999313354492
2002-05-02,27.899999618530273
2002-05-03,27.040000915527344
2002-05-06,27.25
2002-05-07,26.729999542236328
2002-05-08,27.700000762939453
2002-05-09,27.969999313354492
2002-05-10,27.860000610351562
2002-05-13,28.100000381469727
2002-05-14,28.299999237060547
2002-05-15,28.420000076293945
2002-05-16,28.799999237060547
2002-05-17,28.8700008392334
2002-05-20,28.93000030517578
2002-05-21,29.290000915527344
2002-05-22,29.309999465942383
2002-05-23,28.700000762939453
2002-05-24,28.950000762939453
2002-05-28,29.510000228881836
2002-05-29,29.350000381469727
2002-05-30,29.170000076293945
