,ALLT
2006-11-16,13.8100004196167
2006-11-17,13.0
2006-11-20,12.15999984741211
2006-11-21,11.609999656677246
2006-11-22,12.430000305175781
2006-11-24,12.199999809265137
2006-11-27,12.149999618530273
2006-11-28,11.520000457763672
2006-11-29,11.510000228881836
2006-11-30,11.65999984741211
2006-12-01,11.520000457763672
2006-12-04,11.4399995803833
2006-12-05,10.920000076293945
2006-12-06,11.0
2006-12-07,10.5600004196167
2006-12-08,10.869999885559082
2006-12-11,10.5
2006-12-12,10.529999732971191
2006-12-13,10.149999618530273
2006-12-14,10.100000381469727
2006-12-15,10.279999732971191
2006-12-18,10.510000228881836
2006-12-19,10.789999961853027
2006-12-20,10.289999961853027
2006-12-21,10.350000381469727
2006-12-22,10.1899995803833
2006-12-26,10.289999961853027
2006-12-27,10.619999885559082
2006-12-28,11.550000190734863
2006-12-29,11.710000038146973
2007-01-03,11.34000015258789
2007-01-04,11.5
2007-01-05,11.09000015258789
2007-01-08,10.520000457763672
2007-01-09,10.4399995803833
2007-01-10,10.319999694824219
2007-01-11,10.399999618530273
2007-01-12,10.619999885559082
2007-01-16,10.829999923706055
2007-01-17,10.710000038146973
2007-01-18,10.510000228881836
2007-01-19,10.5
2007-01-22,10.260000228881836
2007-01-23,10.220000267028809
2007-01-24,10.220000267028809
2007-01-25,10.279999732971191
2007-01-26,10.0
2007-01-29,9.989999771118164
2007-01-30,10.199999809265137
2007-01-31,10.420000076293945
2007-02-01,10.369999885559082
2007-02-02,10.899999618530273
2007-02-05,11.029999732971191
2007-02-06,10.720000267028809
2007-02-07,10.399999618530273
2007-02-08,10.40999984741211
2007-02-09,10.199999809265137
2007-02-12,9.720000267028809
2007-02-13,9.079999923706055
2007-02-14,9.25
2007-02-15,9.850000381469727
2007-02-16,9.670000076293945
2007-02-20,9.760000228881836
2007-02-21,9.75
2007-02-22,9.699999809265137
2007-02-23,9.75
2007-02-26,9.989999771118164
2007-02-27,9.699999809265137
2007-02-28,9.65999984741211
2007-03-01,9.699999809265137
2007-03-02,9.260000228881836
2007-03-05,8.420000076293945
2007-03-06,8.59000015258789
2007-03-07,9.029999732971191
2007-03-08,9.260000228881836
2007-03-09,9.220000267028809
2007-03-12,9.170000076293945
2007-03-13,9.300000190734863
2007-03-14,9.300000190734863
2007-03-15,9.050000190734863
2007-03-16,8.760000228881836
2007-03-19,8.880000114440918
2007-03-20,8.979999542236328
2007-03-21,9.069999694824219
2007-03-22,8.819999694824219
2007-03-23,8.760000228881836
2007-03-26,8.890000343322754
2007-03-27,8.930000305175781
2007-03-28,9.010000228881836
2007-03-29,9.199999809265137
2007-03-30,9.149999618530273
2007-04-02,7.110000133514404
2007-04-03,6.980000019073486
2007-04-04,6.980000019073486
2007-04-05,7.010000228881836
2007-04-09,7.480000019073486
2007-04-10,7.460000038146973
2007-04-11,7.340000152587891
2007-04-12,7.289999961853027
2007-04-13,7.199999809265137
2007-04-16,7.150000095367432
2007-04-17,7.269999980926514
2007-04-18,7.21999979019165
2007-04-19,7.300000190734863
2007-04-20,7.400000095367432
2007-04-23,7.929999828338623
2007-04-24,8.199999809265137
2007-04-25,8.3100004196167
2007-04-26,8.180000305175781
2007-04-27,7.78000020980835
2007-04-30,7.71999979019165
2007-05-01,7.610000133514404
2007-05-02,7.78000020980835
2007-05-03,7.769999980926514
2007-05-04,8.029999732971191
2007-05-07,8.0
2007-05-08,7.849999904632568
2007-05-09,7.539999961853027
2007-05-10,7.449999809265137
2007-05-11,7.619999885559082
2007-05-14,7.440000057220459
2007-05-15,7.579999923706055
2007-05-16,7.380000114440918
2007-05-17,7.420000076293945
2007-05-18,7.389999866485596
2007-05-21,7.449999809265137
2007-05-22,7.400000095367432
2007-05-23,7.110000133514404
2007-05-24,6.989999771118164
2007-05-25,7.050000190734863
2007-05-29,6.599999904632568
2007-05-30,6.449999809265137
2007-05-31,6.789999961853027
2007-06-01,7.010000228881836
2007-06-04,7.050000190734863
2007-06-05,6.949999809265137
2007-06-06,6.75
2007-06-07,6.809999942779541
2007-06-08,6.75
2007-06-11,6.809999942779541
2007-06-12,6.75
2007-06-13,6.940000057220459
2007-06-14,6.900000095367432
2007-06-15,6.829999923706055
2007-06-18,6.849999904632568
2007-06-19,6.920000076293945
2007-06-20,6.929999828338623
2007-06-21,7.0
2007-06-22,7.210000038146973
2007-06-25,7.179999828338623
2007-06-26,6.929999828338623
2007-06-27,6.909999847412109
2007-06-28,6.829999923706055
2007-06-29,6.800000190734863
2007-07-02,6.889999866485596
2007-07-03,6.690000057220459
2007-07-05,6.610000133514404
2007-07-06,6.550000190734863
2007-07-09,6.590000152587891
2007-07-10,6.590000152587891
2007-07-11,7.110000133514404
2007-07-12,6.980000019073486
2007-07-13,6.949999809265137
2007-07-16,7.039999961853027
2007-07-17,7.610000133514404
2007-07-18,7.860000133514404
2007-07-19,7.739999771118164
2007-07-20,8.039999961853027
2007-07-23,8.0600004196167
2007-07-24,7.789999961853027
2007-07-25,7.820000171661377
2007-07-26,7.800000190734863
2007-07-27,7.75
2007-07-30,7.260000228881836
2007-07-31,7.010000228881836
2007-08-01,7.0
2007-08-02,7.260000228881836
2007-08-03,6.849999904632568
2007-08-06,6.650000095367432
2007-08-07,6.539999961853027
2007-08-08,6.670000076293945
2007-08-09,6.519999980926514
2007-08-10,6.400000095367432
2007-08-13,6.260000228881836
2007-08-14,6.369999885559082
2007-08-15,6.199999809265137
2007-08-16,6.139999866485596
2007-08-17,6.269999980926514
2007-08-20,6.300000190734863
2007-08-21,6.21999979019165
2007-08-22,6.25
2007-08-23,6.199999809265137
2007-08-24,6.190000057220459
2007-08-27,5.960000038146973
2007-08-28,6.010000228881836
2007-08-29,6.119999885559082
2007-08-30,6.010000228881836
