,CLEU
2020-05-08,4.900000095367432
2020-05-11,4.010000228881836
2020-05-12,3.7750000953674316
2020-05-13,3.880000114440918
2020-05-14,4.110000133514404
2020-05-15,4.309999942779541
2020-05-18,4.150000095367432
2020-05-19,4.099999904632568
2020-05-20,4.420000076293945
2020-05-21,4.570000171661377
2020-05-22,4.96999979019165
2020-05-26,4.400000095367432
2020-05-27,4.25
2020-05-28,4.190000057220459
2020-05-29,3.5999999046325684
2020-06-01,3.6500000953674316
2020-06-02,3.759999990463257
2020-06-03,3.759999990463257
2020-06-04,3.7799999713897705
2020-06-05,3.765000104904175
2020-06-08,3.930000066757202
2020-06-09,4.039999961853027
2020-06-10,3.940000057220459
2020-06-11,4.800000190734863
2020-06-12,5.010000228881836
2020-06-15,4.900000095367432
2020-06-16,4.789999961853027
2020-06-17,4.599999904632568
2020-06-18,4.730000019073486
2020-06-19,4.808000087738037
2020-06-22,5.21999979019165
2020-06-23,4.650000095367432
2020-06-24,4.75
2020-06-25,4.809999942779541
2020-06-26,4.579999923706055
2020-06-29,4.75
2020-06-30,4.809999942779541
2020-07-01,4.78000020980835
2020-07-02,4.650000095367432
2020-07-06,4.840000152587891
2020-07-07,4.730000019073486
2020-07-08,4.380000114440918
2020-07-09,3.8499999046325684
2020-07-10,4.739999771118164
2020-07-13,4.5
2020-07-14,5.139999866485596
2020-07-15,4.802000045776367
2020-07-16,4.860000133514404
2020-07-17,4.489999771118164
2020-07-20,4.010000228881836
2020-07-21,4.301000118255615
2020-07-22,4.050000190734863
2020-07-23,4.059999942779541
2020-07-24,3.924999952316284
2020-07-27,4.080999851226807
2020-07-28,3.9019999504089355
2020-07-29,3.7899999618530273
2020-07-30,3.8399999141693115
2020-07-31,3.7019999027252197
2020-08-03,3.7179999351501465
2020-08-04,3.869999885559082
2020-08-05,4.079999923706055
2020-08-06,4.309999942779541
2020-08-07,4.105000019073486
2020-08-10,3.950000047683716
2020-08-11,3.869999885559082
2020-08-12,3.799999952316284
2020-08-13,3.700000047683716
2020-08-14,3.75
2020-08-17,3.930000066757202
2020-08-18,3.940000057220459
2020-08-19,3.8499999046325684
2020-08-20,4.724999904632568
2020-08-21,4.550000190734863
2020-08-24,5.059999942779541
2020-08-25,5.130000114440918
2020-08-26,5.420000076293945
2020-08-27,6.289999961853027
2020-08-28,6.349999904632568
2020-08-31,5.829999923706055
2020-09-01,6.75
2020-09-02,6.710000038146973
2020-09-03,6.760000228881836
2020-09-04,6.809999942779541
2020-09-08,6.639999866485596
2020-09-09,6.409999847412109
2020-09-10,6.699999809265137
2020-09-11,6.690000057220459
2020-09-14,6.510000228881836
2020-09-15,6.659999847412109
2020-09-16,7.440000057220459
2020-09-17,6.590000152587891
2020-09-18,5.920000076293945
2020-09-21,6.361000061035156
2020-09-22,5.650000095367432
2020-09-23,5.949999809265137
2020-09-24,6.320000171661377
2020-09-25,5.800000190734863
2020-09-28,5.869999885559082
2020-09-29,5.98199987411499
2020-09-30,6.150000095367432
2020-10-01,5.760000228881836
2020-10-02,5.690000057220459
2020-10-05,5.416999816894531
2020-10-06,5.546999931335449
2020-10-07,5.539999961853027
2020-10-08,5.53000020980835
2020-10-09,5.659999847412109
2020-10-12,6.090000152587891
2020-10-13,5.75
2020-10-14,5.849999904632568
2020-10-15,6.059999942779541
2020-10-16,6.059999942779541
2020-10-19,5.989999771118164
2020-10-20,6.119999885559082
2020-10-21,6.005000114440918
2020-10-22,6.050000190734863
2020-10-23,5.99399995803833
2020-10-26,5.828000068664551
2020-10-27,5.670000076293945
2020-10-28,5.78000020980835
2020-10-29,5.650000095367432
2020-10-30,5.7729997634887695
