,FCEL
1992-06-25,219.0
1992-06-26,216.0
1992-06-29,219.0
1992-06-30,216.0
1992-07-01,219.0
1992-07-02,219.0
1992-07-06,219.0
1992-07-07,222.0
1992-07-08,216.0
1992-07-09,216.0
1992-07-10,213.0
1992-07-13,210.0
1992-07-14,219.0
1992-07-15,216.0
1992-07-16,216.0
1992-07-17,216.0
1992-07-20,213.0
1992-07-21,219.0
1992-07-22,213.0
1992-07-23,222.0
1992-07-24,222.0
1992-07-27,222.0
1992-07-28,213.0
1992-07-29,219.0
1992-07-30,213.0
1992-07-31,213.0
1992-08-03,216.0
1992-08-04,216.0
1992-08-05,213.0
1992-08-06,216.0
1992-08-07,216.0
1992-08-10,213.0
1992-08-11,216.0
1992-08-12,213.0
1992-08-13,225.0
1992-08-14,225.0
1992-08-17,225.0
1992-08-18,222.0
1992-08-19,216.0
1992-08-20,222.0
1992-08-21,222.0
1992-08-24,213.0
1992-08-25,213.0
1992-08-26,213.0
1992-08-27,222.0
1992-08-28,222.0
1992-08-31,213.0
1992-09-01,213.0
1992-09-02,222.0
1992-09-03,222.0
1992-09-04,219.0
1992-09-08,222.0
1992-09-09,222.0
1992-09-10,213.0
1992-09-11,213.0
1992-09-14,219.0
1992-09-15,216.0
1992-09-16,213.0
1992-09-17,210.0
1992-09-18,210.0
1992-09-21,213.0
1992-09-22,216.0
1992-09-23,207.0
1992-09-24,207.0
1992-09-25,210.0
1992-09-28,210.0
1992-09-29,213.0
1992-09-30,207.0
1992-10-01,207.0
1992-10-02,204.0
1992-10-05,204.0
1992-10-06,201.0
1992-10-07,204.0
1992-10-08,204.0
1992-10-09,195.0
1992-10-12,195.0
1992-10-13,207.0
1992-10-14,198.0
1992-10-15,189.0
1992-10-16,192.0
1992-10-19,192.0
1992-10-20,192.0
1992-10-21,189.0
1992-10-22,192.0
1992-10-23,195.0
1992-10-26,195.0
1992-10-27,204.0
1992-10-28,210.0
1992-10-29,216.0
1992-10-30,216.0
1992-11-02,219.0
1992-11-03,225.0
1992-11-04,222.0
1992-11-05,228.0
1992-11-06,225.0
1992-11-09,228.0
1992-11-10,243.0
1992-11-11,243.0
1992-11-12,252.0
1992-11-13,249.0
1992-11-16,246.0
1992-11-17,240.0
1992-11-18,240.0
1992-11-19,240.0
1992-11-20,252.0
1992-11-23,258.0
1992-11-24,258.0
1992-11-25,255.0
1992-11-27,264.0
1992-11-30,264.0
1992-12-01,270.0
1992-12-02,270.0
1992-12-03,276.0
1992-12-04,294.0
1992-12-07,300.0
1992-12-08,300.0
1992-12-09,294.0
1992-12-10,288.0
1992-12-11,288.0
1992-12-14,297.0
1992-12-15,306.0
1992-12-16,336.0
1992-12-17,348.0
1992-12-18,384.0
1992-12-21,408.0
1992-12-22,393.0
1992-12-23,363.0
1992-12-24,354.0
1992-12-28,372.0
1992-12-29,360.0
1992-12-30,366.0
1992-12-31,384.0
1993-01-04,396.0
1993-01-05,384.0
1993-01-06,390.0
1993-01-07,384.0
1993-01-08,372.0
1993-01-11,381.0
1993-01-12,390.0
1993-01-13,384.0
1993-01-14,378.0
1993-01-15,366.0
1993-01-18,372.0
1993-01-19,360.0
1993-01-20,354.0
1993-01-21,360.0
1993-01-22,336.0
1993-01-25,342.0
1993-01-26,336.0
1993-01-27,336.0
1993-01-28,330.0
1993-01-29,330.0
1993-02-01,324.0
1993-02-02,324.0
1993-02-03,336.0
1993-02-04,336.0
1993-02-05,336.0
1993-02-08,324.0
1993-02-09,312.0
1993-02-10,330.0
1993-02-11,336.0
1993-02-12,336.0
1993-02-16,339.0
1993-02-17,324.0
1993-02-18,321.0
1993-02-19,336.0
1993-02-22,336.0
1993-02-23,330.0
1993-02-24,324.0
1993-02-25,324.0
1993-02-26,324.0
1993-03-01,324.0
1993-03-02,318.0
1993-03-03,309.0
1993-03-04,315.0
1993-03-05,318.0
1993-03-08,312.0
1993-03-09,306.0
1993-03-10,312.0
1993-03-11,324.0
1993-03-12,312.0
1993-03-15,312.0
1993-03-16,312.0
1993-03-17,312.0
1993-03-18,303.0
1993-03-19,300.0
1993-03-22,312.0
1993-03-23,303.0
1993-03-24,300.0
1993-03-25,300.0
1993-03-26,306.0
1993-03-29,297.0
1993-03-30,306.0
1993-03-31,306.0
1993-04-01,294.0
1993-04-02,306.0
1993-04-05,300.0
1993-04-06,294.0
1993-04-07,294.0
1993-04-08,288.0
1993-04-12,270.0
1993-04-13,240.0
1993-04-14,246.0
1993-04-15,234.0
1993-04-16,237.0
1993-04-19,237.0
1993-04-20,228.0
1993-04-21,228.0
1993-04-22,228.0
1993-04-23,216.0
1993-04-26,228.0
1993-04-27,216.0
1993-04-28,216.0
1993-04-29,222.0
1993-04-30,207.0
1993-05-03,204.0
1993-05-04,204.0
1993-05-05,210.0
1993-05-06,213.0
1993-05-07,210.0
1993-05-10,210.0
1993-05-11,216.0
1993-05-12,210.0
1993-05-13,216.0
1993-05-14,210.0
1993-05-17,210.0
1993-05-18,207.0
1993-05-19,210.0
1993-05-20,216.0
1993-05-21,216.0
1993-05-24,216.0
1993-05-25,216.0
1993-05-26,219.0
1993-05-27,225.0
1993-05-28,234.0
