,ATVCU
2021-03-05,10.199999809265137
2021-03-08,10.199999809265137
2021-03-09,10.149999618530273
2021-03-10,10.199999809265137
2021-03-11,10.229999542236328
2021-03-12,10.300000190734863
2021-03-15,10.470000267028809
2021-03-16,10.529999732971191
2021-03-17,10.5
2021-03-18,10.220000267028809
2021-03-19,10.300000190734863
2021-03-22,10.220000267028809
2021-03-23,10.069999694824219
2021-03-24,10.029999732971191
2021-03-25,9.960000038146973
2021-03-26,10.0
2021-03-29,9.949999809265137
2021-03-30,10.0
2021-03-31,10.050000190734863
2021-04-01,10.0600004196167
2021-04-05,10.119999885559082
2021-04-06,10.100000381469727
2021-04-07,10.109999656677246
2021-04-08,10.170000076293945
2021-04-09,10.239999771118164
2021-04-12,10.199999809265137
2021-04-13,10.199999809265137
2021-04-14,10.149999618530273
2021-04-15,10.300000190734863
2021-04-16,10.149999618530273
2021-04-19,10.199999809265137
2021-04-20,10.100000381469727
2021-04-21,10.180000305175781
2021-04-22,10.126999855041504
2021-04-23,10.100000381469727
2021-04-26,10.210000038146973
2021-04-27,10.220000267028809
2021-04-28,10.300000190734863
2021-04-29,10.220000267028809
2021-04-30,10.100000381469727
2021-05-03,10.100000381469727
2021-05-04,10.100000381469727
2021-05-05,10.050000190734863
2021-05-06,10.0
2021-05-07,9.989999771118164
2021-05-10,9.979999542236328
2021-05-11,9.9399995803833
2021-05-12,9.930000305175781
2021-05-13,9.949999809265137
2021-05-14,9.960000038146973
