,AKTS
2015-06-04,4.989999771118164
2015-06-05,6.5
2015-06-08,6.0
2015-06-09,6.0
2015-06-10,6.0
2015-06-11,5.989999771118164
2015-06-12,5.75
2015-06-15,5.75
2015-06-16,5.179999828338623
2015-06-17,5.199999809265137
2015-06-18,5.199999809265137
2015-06-19,4.5
2015-06-22,4.5
2015-06-23,4.5
2015-06-24,4.25
2015-06-25,4.25
2015-06-26,4.25
2015-06-29,4.800000190734863
2015-06-30,4.949999809265137
2015-07-01,4.949999809265137
2015-07-02,4.949999809265137
2015-07-06,4.949999809265137
2015-07-07,4.949999809265137
2015-07-08,4.949999809265137
2015-07-09,4.949999809265137
2015-07-10,4.989999771118164
2015-07-13,4.989999771118164
2015-07-14,4.989999771118164
2015-07-15,4.989999771118164
2015-07-16,4.989999771118164
2015-07-17,4.989999771118164
2015-07-20,4.989999771118164
2015-07-21,4.989999771118164
2015-07-22,4.989999771118164
2015-07-23,4.989999771118164
2015-07-24,4.800000190734863
2015-07-27,4.800000190734863
2015-07-28,5.099999904632568
2015-07-29,5.099999904632568
2015-07-30,5.099999904632568
2015-07-31,5.099999904632568
2015-08-03,5.25
2015-08-04,5.25
2015-08-05,5.25
2015-08-06,5.25
2015-08-07,5.25
2015-08-10,5.25
2015-08-11,5.25
2015-08-12,5.25
2015-08-13,5.25
2015-08-14,5.25
2015-08-17,5.25
2015-08-18,5.25
2015-08-19,5.25
2015-08-20,5.25
2015-08-21,5.0
2015-08-24,5.0
2015-08-25,5.0
2015-08-26,5.0
2015-08-27,5.0
2015-08-28,5.0
2015-08-31,5.0
2015-09-01,5.0
2015-09-02,5.0
2015-09-03,5.0
2015-09-04,4.840000152587891
2015-09-08,4.840000152587891
2015-09-09,4.840000152587891
2015-09-10,4.840000152587891
2015-09-11,4.840000152587891
2015-09-14,3.5
2015-09-15,4.0
2015-09-16,4.0
2015-09-17,3.5
2015-09-18,3.5
2015-09-21,4.0
2015-09-22,4.0
2015-09-23,4.0
2015-09-24,4.0
2015-09-25,4.25
2015-09-28,4.25
2015-09-29,4.25
2015-09-30,4.25
2015-10-01,4.25
2015-10-02,4.25
2015-10-05,4.25
2015-10-06,4.25
2015-10-07,4.25
2015-10-08,4.25
2015-10-09,4.150000095367432
2015-10-12,4.150000095367432
2015-10-13,4.150000095367432
2015-10-14,4.150000095367432
2015-10-15,4.449999809265137
2015-10-16,4.449999809265137
2015-10-19,4.449999809265137
2015-10-20,3.75
2015-10-21,3.75
2015-10-22,3.75
2015-10-23,3.5
2015-10-26,3.5
2015-10-27,3.5
2015-10-28,3.0999999046325684
2015-10-29,3.0999999046325684
2015-10-30,3.0999999046325684
2015-11-02,3.059999942779541
2015-11-03,3.059999942779541
2015-11-04,3.059999942779541
2015-11-05,3.059999942779541
2015-11-06,3.059999942779541
2015-11-09,3.059999942779541
2015-11-10,3.059999942779541
2015-11-11,3.059999942779541
2015-11-12,3.059999942779541
2015-11-13,2.5
2015-11-16,2.5
2015-11-17,2.5
2015-11-18,2.25
2015-11-19,2.25
2015-11-20,2.0
2015-11-23,2.25
2015-11-24,1.9800000190734863
2015-11-25,1.9800000190734863
2015-11-27,1.9800000190734863
2015-11-30,1.9800000190734863
2015-12-01,2.0
2015-12-02,1.7999999523162842
2015-12-03,1.600000023841858
2015-12-04,1.600000023841858
2015-12-07,1.600000023841858
2015-12-08,1.600000023841858
2015-12-09,1.600000023841858
2015-12-10,1.7400000095367432
2015-12-11,1.649999976158142
2015-12-14,1.600000023841858
2015-12-15,1.600000023841858
2015-12-16,1.7000000476837158
2015-12-17,1.7000000476837158
2015-12-18,1.7400000095367432
2015-12-21,1.7899999618530273
2015-12-22,1.809999942779541
2015-12-23,1.7999999523162842
2015-12-24,1.7000000476837158
2015-12-28,1.6399999856948853
