,CMPR
2005-09-30,15.25
2005-10-03,14.75
2005-10-04,14.0
2005-10-05,14.210000038146973
2005-10-06,14.300000190734863
2005-10-07,14.109999656677246
2005-10-10,14.100000381469727
2005-10-11,14.149999618530273
2005-10-12,14.109999656677246
2005-10-13,14.789999961853027
2005-10-14,14.59000015258789
2005-10-17,14.75
2005-10-18,14.899999618530273
2005-10-19,15.5
2005-10-20,15.449999809265137
2005-10-21,15.3100004196167
2005-10-24,15.4399995803833
2005-10-25,15.600000381469727
2005-10-26,16.799999237060547
2005-10-27,17.450000762939453
2005-10-28,17.450000762939453
2005-10-31,16.93000030517578
2005-11-01,17.290000915527344
2005-11-02,18.0
2005-11-03,17.709999084472656
2005-11-04,17.829999923706055
2005-11-07,18.15999984741211
2005-11-08,18.200000762939453
2005-11-09,18.399999618530273
2005-11-10,18.399999618530273
2005-11-11,18.399999618530273
2005-11-14,18.829999923706055
2005-11-15,19.09000015258789
2005-11-16,19.25
2005-11-17,18.959999084472656
2005-11-18,18.729999542236328
2005-11-21,18.700000762939453
2005-11-22,18.40999984741211
2005-11-23,18.510000228881836
2005-11-25,18.229999542236328
2005-11-28,18.020000457763672
2005-11-29,18.420000076293945
2005-11-30,18.15999984741211
2005-12-01,17.940000534057617
2005-12-02,19.0
2005-12-05,19.0
2005-12-06,19.799999237060547
2005-12-07,20.0
2005-12-08,20.299999237060547
2005-12-09,20.479999542236328
2005-12-12,20.950000762939453
2005-12-13,20.940000534057617
2005-12-14,21.170000076293945
2005-12-15,21.950000762939453
2005-12-16,22.260000228881836
2005-12-19,22.350000381469727
2005-12-20,22.299999237060547
2005-12-21,22.3700008392334
2005-12-22,22.329999923706055
2005-12-23,22.350000381469727
2005-12-27,21.90999984741211
2005-12-28,21.860000610351562
2005-12-29,22.219999313354492
2005-12-30,22.75
2006-01-03,23.09000015258789
2006-01-04,23.170000076293945
2006-01-05,23.110000610351562
2006-01-06,23.780000686645508
2006-01-09,23.360000610351562
2006-01-10,23.84000015258789
2006-01-11,25.6200008392334
2006-01-12,24.709999084472656
2006-01-13,25.299999237060547
2006-01-17,26.780000686645508
2006-01-18,26.899999618530273
2006-01-19,27.809999465942383
2006-01-20,28.200000762939453
2006-01-23,28.049999237060547
2006-01-24,27.200000762939453
2006-01-25,30.020000457763672
2006-01-26,30.010000228881836
2006-01-27,30.299999237060547
