,AIRTP
2019-06-13,27.440000534057617
2019-06-14,23.799999237060547
2019-06-17,26.899999618530273
2019-06-18,23.43000030517578
2019-06-19,24.200000762939453
2019-06-20,24.100000381469727
2019-06-21,23.950000762939453
2019-06-24,24.5
2019-06-25,23.899999618530273
2019-06-26,24.5
2019-06-27,23.899999618530273
2019-06-28,23.899999618530273
2019-07-01,24.450000762939453
2019-07-02,24.0
2019-07-03,24.299999237060547
2019-07-05,24.75
2019-07-08,24.200000762939453
2019-07-09,24.399999618530273
2019-07-10,24.399999618530273
2019-07-11,24.100000381469727
2019-07-12,24.100000381469727
2019-07-15,24.200000762939453
2019-07-16,24.200000762939453
2019-07-17,24.0
2019-07-18,24.0
2019-07-19,24.0
2019-07-22,23.299999237060547
2019-07-23,24.0
2019-07-24,24.0
2019-07-25,24.0
2019-07-26,24.0
2019-07-29,24.299999237060547
2019-07-30,23.899999618530273
2019-07-31,23.899999618530273
2019-08-01,23.799999237060547
2019-08-02,24.100000381469727
2019-08-05,23.899999618530273
2019-08-06,23.899999618530273
2019-08-07,23.899999618530273
2019-08-08,24.0
2019-08-09,24.0
2019-08-12,23.969999313354492
2019-08-13,23.899999618530273
2019-08-14,23.799999237060547
2019-08-15,23.799999237060547
2019-08-16,23.799999237060547
2019-08-19,24.0
2019-08-20,24.0
2019-08-21,24.110000610351562
2019-08-22,24.200000762939453
2019-08-23,23.899999618530273
2019-08-26,23.899999618530273
2019-08-27,23.899999618530273
2019-08-28,23.899999618530273
2019-08-29,23.899999618530273
2019-08-30,23.799999237060547
2019-09-03,23.899999618530273
2019-09-04,24.299999237060547
2019-09-05,24.0
2019-09-06,24.100000381469727
2019-09-09,24.100000381469727
2019-09-10,24.25
2019-09-11,24.440000534057617
2019-09-12,24.299999237060547
2019-09-13,24.100000381469727
2019-09-16,23.899999618530273
2019-09-17,23.899999618530273
2019-09-18,24.0
2019-09-19,24.0
2019-09-20,23.899999618530273
2019-09-23,24.0
2019-09-24,24.100000381469727
2019-09-25,24.200000762939453
2019-09-26,24.530000686645508
