,BSCR
2017-09-27,19.989999771118164
2017-09-28,19.969999313354492
2017-09-29,20.0
2017-10-02,20.020000457763672
2017-10-03,20.030000686645508
2017-10-04,20.03499984741211
2017-10-05,20.038000106811523
2017-10-06,20.020000457763672
2017-10-09,20.030000686645508
2017-10-10,20.030000686645508
2017-10-11,20.06100082397461
2017-10-12,20.05699920654297
2017-10-13,20.1200008392334
2017-10-16,20.100000381469727
2017-10-17,20.079999923706055
2017-10-18,20.07900047302246
2017-10-19,20.100000381469727
2017-10-20,20.059999465942383
2017-10-23,20.059999465942383
2017-10-24,20.06999969482422
2017-10-25,20.010000228881836
2017-10-26,20.010000228881836
2017-10-27,20.010000228881836
2017-10-30,20.09000015258789
2017-10-31,20.09000015258789
2017-11-01,20.09000015258789
2017-11-02,20.049999237060547
2017-11-03,20.027999877929688
2017-11-06,20.059999465942383
2017-11-07,20.030000686645508
2017-11-08,20.030000686645508
2017-11-09,19.989999771118164
2017-11-10,19.899999618530273
2017-11-13,19.899999618530273
2017-11-14,19.895000457763672
2017-11-15,19.895000457763672
2017-11-16,19.93000030517578
2017-11-17,19.94700050354004
2017-11-20,19.959999084472656
2017-11-21,19.979999542236328
2017-11-22,20.079999923706055
2017-11-24,20.079999923706055
2017-11-27,20.06999969482422
2017-11-28,20.06999969482422
2017-11-29,20.049999237060547
2017-11-30,20.0
2017-12-01,20.0
2017-12-04,19.989999771118164
2017-12-05,19.979999542236328
2017-12-06,20.040000915527344
2017-12-07,20.040000915527344
2017-12-08,19.985000610351562
2017-12-11,20.040000915527344
2017-12-12,20.040000915527344
2017-12-13,20.06999969482422
2017-12-14,20.049999237060547
2017-12-15,20.049999237060547
2017-12-18,20.05500030517578
2017-12-19,19.969999313354492
2017-12-20,19.920000076293945
2017-12-21,19.93000030517578
2017-12-22,19.924999237060547
2017-12-26,19.940000534057617
2017-12-27,19.940000534057617
2017-12-28,20.003999710083008
2017-12-29,19.9950008392334
2018-01-02,19.989999771118164
2018-01-03,20.0
2018-01-04,19.989999771118164
2018-01-05,19.969999313354492
2018-01-08,20.0
2018-01-09,19.902000427246094
2018-01-10,19.940000534057617
2018-01-11,19.950000762939453
2018-01-12,19.944000244140625
2018-01-16,19.959999084472656
2018-01-17,19.899999618530273
2018-01-18,19.780000686645508
2018-01-19,19.78499984741211
2018-01-22,19.746000289916992
2018-01-23,19.829999923706055
2018-01-24,19.812999725341797
2018-01-25,19.854000091552734
2018-01-26,19.858999252319336
2018-01-29,19.780000686645508
2018-01-30,19.729999542236328
2018-01-31,19.757999420166016
2018-02-01,19.68600082397461
2018-02-02,19.549999237060547
2018-02-05,19.610000610351562
2018-02-06,19.579999923706055
2018-02-07,19.489999771118164
2018-02-08,19.420000076293945
2018-02-09,19.3799991607666
2018-02-12,19.393999099731445
2018-02-13,19.389999389648438
2018-02-14,19.283000946044922
2018-02-15,19.360000610351562
2018-02-16,19.389999389648438
2018-02-20,19.357999801635742
2018-02-21,19.280000686645508
2018-02-22,19.309999465942383
2018-02-23,19.388999938964844
2018-02-26,19.416000366210938
2018-02-27,19.320999145507812
2018-02-28,19.360000610351562
2018-03-01,19.3799991607666
2018-03-02,19.270000457763672
2018-03-05,19.270000457763672
2018-03-06,19.246999740600586
2018-03-07,19.209999084472656
2018-03-08,19.246000289916992
2018-03-09,19.229999542236328
2018-03-12,19.224000930786133
2018-03-13,19.232999801635742
2018-03-14,19.239999771118164
2018-03-15,19.256000518798828
2018-03-16,19.2549991607666
2018-03-19,19.225000381469727
2018-03-20,19.1299991607666
2018-03-21,19.149999618530273
2018-03-22,19.179000854492188
2018-03-23,19.190000534057617
2018-03-26,19.139999389648438
2018-03-27,19.239999771118164
2018-03-28,19.229999542236328
2018-03-29,19.32900047302246
2018-04-02,19.312000274658203
2018-04-03,19.239999771118164
2018-04-04,19.225000381469727
2018-04-05,19.219999313354492
2018-04-06,19.26300048828125
2018-04-09,19.264999389648438
2018-04-10,19.25
2018-04-11,19.309999465942383
2018-04-12,19.270000457763672
2018-04-13,19.209999084472656
2018-04-16,19.270000457763672
2018-04-17,19.27199935913086
2018-04-18,19.209999084472656
2018-04-19,19.1200008392334
2018-04-20,19.09000015258789
2018-04-23,19.045000076293945
2018-04-24,19.003000259399414
2018-04-25,18.959999084472656
2018-04-26,18.969999313354492
2018-04-27,19.00200080871582
2018-04-30,19.033000946044922
2018-05-01,18.979999542236328
2018-05-02,18.93000030517578
2018-05-03,18.948999404907227
2018-05-04,18.920000076293945
2018-05-07,18.940000534057617
2018-05-08,18.929000854492188
2018-05-09,18.90999984741211
2018-05-10,18.979000091552734
2018-05-11,19.0
2018-05-14,18.981000900268555
2018-05-15,18.854999542236328
2018-05-16,18.849000930786133
2018-05-17,18.809999465942383
2018-05-18,18.8799991607666
2018-05-21,18.888999938964844
2018-05-22,18.888999938964844
2018-05-23,18.950000762939453
2018-05-24,19.010000228881836
2018-05-25,19.09000015258789
2018-05-29,19.18600082397461
2018-05-30,19.108999252319336
2018-05-31,19.113000869750977
2018-06-01,19.06999969482422
2018-06-04,18.969999313354492
2018-06-05,19.020000457763672
2018-06-06,18.92799949645996
2018-06-07,18.985000610351562
2018-06-08,18.959999084472656
2018-06-11,18.950000762939453
2018-06-12,18.959999084472656
2018-06-13,18.920000076293945
