,CG
2012-05-03,22.049999237060547
2012-05-04,22.049999237060547
2012-05-07,22.010000228881836
2012-05-08,22.0
2012-05-09,21.75
2012-05-10,21.719999313354492
2012-05-11,21.350000381469727
2012-05-14,21.030000686645508
2012-05-15,21.1200008392334
2012-05-16,21.56999969482422
2012-05-17,21.100000381469727
2012-05-18,21.110000610351562
2012-05-21,21.049999237060547
2012-05-22,21.0
2012-05-23,20.139999389648438
2012-05-24,20.389999389648438
2012-05-25,21.510000228881836
2012-05-29,21.059999465942383
2012-05-30,21.209999084472656
2012-05-31,21.1200008392334
2012-06-01,21.020000457763672
2012-06-04,20.959999084472656
2012-06-05,20.940000534057617
2012-06-06,21.3799991607666
2012-06-07,21.600000381469727
2012-06-08,21.75
2012-06-11,21.420000076293945
2012-06-12,21.799999237060547
2012-06-13,21.8799991607666
2012-06-14,21.790000915527344
2012-06-15,21.940000534057617
2012-06-18,21.850000381469727
2012-06-19,21.790000915527344
2012-06-20,21.8799991607666
2012-06-21,21.799999237060547
2012-06-22,21.850000381469727
2012-06-25,21.899999618530273
2012-06-26,21.610000610351562
2012-06-27,21.729999542236328
2012-06-28,22.15999984741211
2012-06-29,22.43000030517578
2012-07-02,22.899999618530273
2012-07-03,22.950000762939453
2012-07-05,23.079999923706055
2012-07-06,23.1299991607666
2012-07-09,23.239999771118164
2012-07-10,23.059999465942383
2012-07-11,23.18000030517578
2012-07-12,22.729999542236328
2012-07-13,23.079999923706055
2012-07-16,23.110000610351562
2012-07-17,23.049999237060547
2012-07-18,22.93000030517578
2012-07-19,23.0
2012-07-20,23.420000076293945
2012-07-23,22.920000076293945
2012-07-24,23.3700008392334
2012-07-25,23.709999084472656
2012-07-26,24.0
2012-07-27,24.149999618530273
2012-07-30,24.209999084472656
2012-07-31,24.43000030517578
2012-08-01,24.020000457763672
2012-08-02,23.8700008392334
2012-08-03,24.3700008392334
2012-08-06,24.280000686645508
2012-08-07,24.469999313354492
2012-08-08,24.34000015258789
2012-08-09,24.020000457763672
2012-08-10,23.790000915527344
2012-08-13,24.979999542236328
2012-08-14,24.93000030517578
2012-08-15,24.899999618530273
2012-08-16,24.989999771118164
2012-08-17,25.049999237060547
2012-08-20,24.469999313354492
2012-08-21,25.0
2012-08-22,24.989999771118164
2012-08-23,25.100000381469727
2012-08-24,25.110000610351562
2012-08-27,25.25
2012-08-28,25.440000534057617
2012-08-29,25.790000915527344
2012-08-30,25.8799991607666
2012-08-31,26.219999313354492
2012-09-04,26.280000686645508
2012-09-05,26.34000015258789
2012-09-06,26.200000762939453
2012-09-07,26.469999313354492
2012-09-10,26.469999313354492
2012-09-11,26.59000015258789
2012-09-12,26.889999389648438
2012-09-13,26.719999313354492
2012-09-14,27.020000457763672
2012-09-17,27.25
2012-09-18,27.1200008392334
2012-09-19,26.81999969482422
2012-09-20,26.510000228881836
2012-09-21,26.420000076293945
2012-09-24,26.170000076293945
2012-09-25,25.84000015258789
2012-09-26,25.690000534057617
2012-09-27,25.850000381469727
2012-09-28,26.239999771118164
2012-10-01,26.1200008392334
2012-10-02,25.639999389648438
2012-10-03,25.600000381469727
2012-10-04,25.65999984741211
2012-10-05,25.860000610351562
2012-10-08,25.6200008392334
2012-10-09,25.760000228881836
2012-10-10,26.200000762939453
2012-10-11,26.190000534057617
2012-10-12,25.649999618530273
2012-10-15,26.200000762939453
2012-10-16,26.030000686645508
2012-10-17,26.31999969482422
2012-10-18,26.31999969482422
2012-10-19,25.770000457763672
2012-10-22,26.25
2012-10-23,25.690000534057617
2012-10-24,25.729999542236328
2012-10-25,25.950000762939453
2012-10-26,25.81999969482422
2012-10-31,25.989999771118164
2012-11-01,25.969999313354492
2012-11-02,26.15999984741211
2012-11-05,26.40999984741211
2012-11-06,26.139999389648438
2012-11-07,25.59000015258789
2012-11-08,25.420000076293945
2012-11-09,25.639999389648438
2012-11-12,25.989999771118164
2012-11-13,25.549999237060547
2012-11-14,25.6200008392334
2012-11-15,25.559999465942383
2012-11-16,25.5
2012-11-19,25.760000228881836
2012-11-20,25.549999237060547
2012-11-21,25.34000015258789
2012-11-23,25.190000534057617
2012-11-26,25.229999542236328
2012-11-27,24.989999771118164
2012-11-28,24.989999771118164
2012-11-29,25.0
2012-11-30,25.079999923706055
2012-12-03,24.969999313354492
2012-12-04,25.15999984741211
2012-12-05,25.260000228881836
2012-12-06,24.950000762939453
2012-12-07,24.950000762939453
2012-12-10,24.940000534057617
2012-12-11,25.100000381469727
2012-12-12,24.850000381469727
2012-12-13,24.829999923706055
2012-12-14,24.709999084472656
2012-12-17,25.280000686645508
2012-12-18,26.270000457763672
2012-12-19,26.110000610351562
2012-12-20,26.200000762939453
2012-12-21,26.18000030517578
2012-12-24,26.100000381469727
2012-12-26,26.010000228881836
2012-12-27,26.190000534057617
2012-12-28,25.850000381469727
2012-12-31,26.030000686645508
2013-01-02,26.200000762939453
2013-01-03,26.280000686645508
2013-01-04,26.389999389648438
2013-01-07,26.399999618530273
2013-01-08,26.459999084472656
2013-01-09,26.450000762939453
2013-01-10,26.6200008392334
2013-01-11,26.56999969482422
2013-01-14,26.6299991607666
2013-01-15,27.0
2013-01-16,27.90999984741211
2013-01-17,27.93000030517578
2013-01-18,28.579999923706055
2013-01-22,29.1200008392334
2013-01-23,29.149999618530273
2013-01-24,29.739999771118164
2013-01-25,30.979999542236328
2013-01-28,30.610000610351562
2013-01-29,30.549999237060547
2013-01-30,30.530000686645508
2013-01-31,31.239999771118164
2013-02-01,31.899999618530273
2013-02-04,31.020000457763672
2013-02-05,30.489999771118164
2013-02-06,31.489999771118164
2013-02-07,31.100000381469727
2013-02-08,32.16999816894531
2013-02-11,32.5
2013-02-12,32.77000045776367
2013-02-13,33.43000030517578
2013-02-14,33.709999084472656
2013-02-15,35.5099983215332
2013-02-19,37.29999923706055
2013-02-20,36.66999816894531
2013-02-21,33.79999923706055
2013-02-22,34.18000030517578
2013-02-25,32.25
2013-02-26,31.84000015258789
2013-02-27,32.9900016784668
2013-02-28,31.68000030517578
2013-03-01,31.09000015258789
2013-03-04,30.5
2013-03-05,30.59000015258789
2013-03-06,31.149999618530273
2013-03-07,32.560001373291016
2013-03-08,33.45000076293945
2013-03-11,32.599998474121094
2013-03-12,32.5
2013-03-13,32.29999923706055
2013-03-14,32.369998931884766
2013-03-15,30.09000015258789
2013-03-18,30.709999084472656
2013-03-19,30.5
2013-03-20,30.780000686645508
2013-03-21,30.959999084472656
2013-03-22,30.649999618530273
2013-03-25,30.719999313354492
2013-03-26,30.75
2013-03-27,30.25
2013-03-28,30.25
2013-04-01,30.34000015258789
2013-04-02,30.530000686645508
2013-04-03,30.3799991607666
2013-04-04,30.670000076293945
2013-04-05,30.1299991607666
2013-04-08,30.34000015258789
2013-04-09,30.65999984741211
2013-04-10,31.530000686645508
2013-04-11,32.40999984741211
2013-04-12,32.22999954223633
2013-04-15,31.610000610351562
2013-04-16,32.869998931884766
2013-04-17,31.889999389648438
2013-04-18,31.510000228881836
2013-04-19,32.40999984741211
2013-04-22,32.61000061035156
2013-04-23,32.599998474121094
2013-04-24,31.079999923706055
2013-04-25,31.799999237060547
2013-04-26,31.989999771118164
2013-04-29,31.420000076293945
2013-04-30,32.47999954223633
2013-05-01,31.829999923706055
2013-05-02,31.989999771118164
2013-05-03,32.439998626708984
2013-05-06,31.959999084472656
2013-05-07,31.8700008392334
2013-05-08,32.20000076293945
2013-05-09,30.950000762939453
2013-05-10,30.200000762939453
2013-05-13,29.329999923706055
2013-05-14,29.979999542236328
2013-05-15,30.270000457763672
2013-05-16,29.989999771118164
2013-05-17,30.190000534057617
2013-05-20,30.260000228881836
2013-05-21,30.760000228881836
2013-05-22,30.1200008392334
2013-05-23,29.780000686645508
2013-05-24,30.100000381469727
2013-05-28,30.479999542236328
2013-05-29,29.690000534057617
2013-05-30,29.489999771118164
2013-05-31,29.15999984741211
2013-06-03,29.389999389648438
2013-06-04,27.81999969482422
2013-06-05,27.010000228881836
2013-06-06,26.25
2013-06-07,26.739999771118164
2013-06-10,26.770000457763672
2013-06-11,26.110000610351562
2013-06-12,26.030000686645508
2013-06-13,26.860000610351562
2013-06-14,26.799999237060547
2013-06-17,26.68000030517578
2013-06-18,26.65999984741211
2013-06-19,26.489999771118164
2013-06-20,25.649999618530273
2013-06-21,25.09000015258789
2013-06-24,24.190000534057617
2013-06-25,24.989999771118164
2013-06-26,24.959999084472656
2013-06-27,25.170000076293945
2013-06-28,25.6299991607666
2013-07-01,25.209999084472656
2013-07-02,25.229999542236328
2013-07-03,25.06999969482422
2013-07-05,25.360000610351562
2013-07-08,25.690000534057617
2013-07-09,26.6200008392334
2013-07-10,25.790000915527344
2013-07-11,26.360000610351562
2013-07-12,26.75
2013-07-15,27.0
2013-07-16,26.540000915527344
2013-07-17,26.850000381469727
2013-07-18,27.510000228881836
2013-07-19,28.299999237060547
2013-07-22,28.84000015258789
2013-07-23,28.68000030517578
2013-07-24,28.5
2013-07-25,28.200000762939453
2013-07-26,28.239999771118164
2013-07-29,27.68000030517578
2013-07-30,27.989999771118164
2013-07-31,27.989999771118164
2013-08-01,28.809999465942383
2013-08-02,28.510000228881836
2013-08-05,28.489999771118164
2013-08-06,28.309999465942383
2013-08-07,27.979999542236328
2013-08-08,27.209999084472656
2013-08-09,27.049999237060547
2013-08-12,26.920000076293945
2013-08-13,26.989999771118164
2013-08-14,26.8700008392334
2013-08-15,25.969999313354492
2013-08-16,25.700000762939453
2013-08-19,24.75
2013-08-20,25.40999984741211
2013-08-21,25.670000076293945
2013-08-22,26.510000228881836
2013-08-23,26.530000686645508
2013-08-26,26.700000762939453
2013-08-27,25.520000457763672
2013-08-28,26.139999389648438
2013-08-29,26.3700008392334
2013-08-30,26.18000030517578
2013-09-03,25.3799991607666
2013-09-04,25.1200008392334
2013-09-05,25.510000228881836
2013-09-06,25.049999237060547
2013-09-09,25.3700008392334
2013-09-10,25.450000762939453
2013-09-11,25.420000076293945
2013-09-12,25.690000534057617
2013-09-13,25.809999465942383
2013-09-16,25.829999923706055
2013-09-17,26.31999969482422
2013-09-18,26.309999465942383
2013-09-19,25.729999542236328
2013-09-20,25.1299991607666
2013-09-23,25.260000228881836
