,FOXWU
2021-01-20,10.380000114440918
2021-01-21,10.385000228881836
2021-01-22,10.430000305175781
2021-01-25,10.5
2021-01-26,10.449999809265137
2021-01-27,10.260000228881836
2021-01-28,10.3100004196167
2021-01-29,10.300000190734863
2021-02-01,10.359999656677246
2021-02-02,10.399999618530273
2021-02-03,10.369999885559082
2021-02-04,10.4399995803833
2021-02-05,10.40999984741211
2021-02-08,10.4399995803833
2021-02-09,10.399999618530273
2021-02-10,10.420000076293945
2021-02-11,10.4399995803833
2021-02-12,10.369999885559082
2021-02-16,10.449999809265137
2021-02-17,10.449999809265137
2021-02-18,10.454999923706055
2021-02-19,10.579999923706055
2021-02-22,10.670000076293945
2021-02-23,10.579999923706055
2021-02-24,10.609999656677246
2021-02-25,10.720000267028809
2021-02-26,10.729999542236328
2021-03-01,10.699999809265137
2021-03-02,10.550000190734863
2021-03-03,10.465999603271484
2021-03-04,10.449999809265137
2021-03-05,10.430000305175781
2021-03-08,10.520000457763672
2021-03-09,10.510000228881836
2021-03-10,10.529999732971191
2021-03-11,10.399999618530273
2021-03-12,10.539999961853027
2021-03-15,10.529999732971191
2021-03-16,10.369999885559082
2021-03-17,10.369999885559082
2021-03-18,10.300000190734863
2021-03-19,10.3100004196167
2021-03-22,10.34000015258789
2021-03-23,10.109999656677246
2021-03-24,10.161999702453613
2021-03-25,10.119999885559082
2021-03-26,10.119999885559082
2021-03-29,10.270000457763672
2021-03-30,10.279999732971191
2021-03-31,10.350000381469727
2021-04-01,10.149999618530273
2021-04-05,10.319999694824219
2021-04-06,10.229999542236328
2021-04-07,10.399999618530273
2021-04-08,10.449999809265137
2021-04-09,10.295999526977539
2021-04-12,10.359999656677246
2021-04-13,10.34000015258789
2021-04-14,10.279999732971191
2021-04-15,10.100000381469727
2021-04-16,10.260000228881836
2021-04-19,10.489999771118164
2021-04-20,10.239999771118164
2021-04-21,10.239999771118164
2021-04-22,10.239999771118164
2021-04-23,10.239999771118164
2021-04-26,10.140000343322754
2021-04-27,10.140000343322754
2021-04-28,10.119999885559082
2021-04-29,10.119999885559082
2021-04-30,10.319999694824219
2021-05-03,10.319999694824219
2021-05-04,10.289999961853027
2021-05-05,10.36400032043457
2021-05-06,10.36400032043457
2021-05-07,10.36400032043457
2021-05-10,10.199999809265137
2021-05-11,10.149999618530273
2021-05-12,10.149999618530273
2021-05-13,10.149999618530273
2021-05-14,10.149999618530273
