,ALCO
1973-05-03,3.625
1973-05-04,3.625
1973-05-07,3.625
1973-05-08,3.6875
1973-05-09,3.6875
1973-05-10,3.6875
1973-05-11,3.6875
1973-05-14,3.6875
1973-05-15,3.6875
1973-05-16,3.75
1973-05-17,4.0625
1973-05-18,3.6875
1973-05-21,3.5625
1973-05-22,3.625
1973-05-23,3.75
1973-05-24,3.875
1973-05-25,4.0625
1973-05-29,4.0625
1973-05-30,4.0
1973-05-31,4.0
1973-06-01,3.9375
1973-06-04,3.6875
1973-06-05,3.75
1973-06-06,3.6875
1973-06-07,3.6875
1973-06-08,3.8125
1973-06-11,3.75
1973-06-12,3.75
1973-06-13,3.75
1973-06-14,3.75
1973-06-15,3.75
1973-06-18,3.75
1973-06-19,3.6875
1973-06-20,3.6875
1973-06-21,3.625
1973-06-22,3.5
1973-06-25,3.5
1973-06-26,3.5
1973-06-27,3.5
1973-06-28,3.5
1973-06-29,3.3125
1973-07-02,3.3125
1973-07-03,3.375
1973-07-05,3.375
1973-07-06,3.375
1973-07-09,3.375
1973-07-10,3.4375
1973-07-11,3.625
1973-07-12,3.5
1973-07-13,3.5
1973-07-16,3.5
1973-07-17,3.5
1973-07-18,3.5
1973-07-19,3.6875
1973-07-20,3.75
1973-07-23,3.75
1973-07-24,3.6875
1973-07-25,3.875
1973-07-26,3.875
1973-07-27,3.8125
1973-07-30,3.8125
1973-07-31,3.8125
1973-08-01,3.75
1973-08-02,3.6875
1973-08-03,3.6875
1973-08-06,3.625
1973-08-07,3.6875
1973-08-08,3.625
1973-08-09,3.625
1973-08-10,3.5625
1973-08-13,3.5625
1973-08-14,3.625
1973-08-15,3.625
1973-08-16,3.625
1973-08-17,3.6875
1973-08-20,3.6875
1973-08-21,3.75
1973-08-22,3.8125
1973-08-23,3.875
1973-08-24,3.8125
1973-08-27,3.8125
1973-08-28,3.8125
1973-08-29,3.8125
1973-08-30,3.8125
1973-08-31,3.8125
1973-09-04,3.75
1973-09-05,3.8125
1973-09-06,3.75
1973-09-07,3.8125
1973-09-10,3.8125
1973-09-11,3.8125
1973-09-12,3.8125
1973-09-13,3.75
1973-09-14,3.75
1973-09-17,3.75
1973-09-18,3.6875
1973-09-19,3.625
1973-09-20,3.625
1973-09-21,3.625
1973-09-24,3.5625
1973-09-25,3.5625
1973-09-26,3.5625
1973-09-27,3.5
1973-09-28,3.4375
1973-10-01,3.5
1973-10-02,3.5625
1973-10-03,3.5625
1973-10-04,3.5625
1973-10-05,3.5
1973-10-08,3.4375
1973-10-09,3.4375
1973-10-10,3.4375
1973-10-11,3.5
1973-10-12,3.5
1973-10-15,3.4375
1973-10-16,3.375
1973-10-17,3.5
1973-10-18,3.5
1973-10-19,3.5
1973-10-22,3.4375
1973-10-23,3.4375
1973-10-24,3.5
1973-10-25,3.5
1973-10-26,3.5
1973-10-29,3.4375
1973-10-30,3.375
1973-10-31,3.375
1973-11-01,3.375
1973-11-02,3.375
1973-11-05,3.25
