,MUT
2002-07-15,80.66000366210938
2002-07-16,78.70999908447266
2002-07-17,78.52999877929688
2002-07-18,77.26000213623047
2002-07-19,74.36000061035156
2002-07-22,71.88999938964844
2002-07-23,70.48999786376953
2002-07-24,75.5999984741211
2002-07-25,75.98999786376953
2002-07-26,76.6500015258789
2002-07-29,80.93000030517578
2002-07-30,80.27999877929688
2002-07-31,80.33999633789062
2002-08-01,79.05999755859375
2002-08-02,76.41000366210938
2002-08-05,74.30999755859375
2002-08-06,76.61000061035156
2002-08-07,78.08999633789062
2002-08-08,81.05000305175781
2002-08-09,81.33999633789062
2002-08-12,80.83000183105469
2002-08-13,78.86000061035156
2002-08-14,80.79000091552734
2002-08-15,80.83999633789062
2002-08-16,80.16000366210938
2002-08-19,82.16999816894531
2002-08-20,80.66999816894531
2002-08-21,81.27999877929688
2002-08-22,82.30999755859375
2002-08-23,80.33000183105469
2002-08-26,81.0999984741211
2002-08-27,80.19000244140625
2002-08-28,79.43000030517578
2002-08-29,79.44999694824219
2002-08-30,79.47000122070312
2002-09-03,76.55999755859375
2002-09-04,77.16999816894531
2002-09-05,75.33999633789062
2002-09-06,76.12999725341797
2002-09-09,77.08000183105469
2002-09-10,77.23999786376953
2002-09-11,77.19000244140625
2002-09-12,75.55999755859375
2002-09-13,73.7300033569336
2002-09-16,73.80999755859375
2002-09-17,72.45999908447266
2002-09-18,72.02999877929688
2002-09-19,69.66999816894531
2002-09-20,69.72000122070312
2002-09-23,68.93000030517578
2002-09-24,66.91000366210938
2002-09-25,68.68000030517578
2002-09-26,70.20999908447266
2002-09-27,66.6500015258789
2002-09-30,65.95999908447266
2002-10-01,68.93000030517578
2002-10-02,66.5999984741211
2002-10-03,66.62000274658203
2002-10-04,64.36000061035156
2002-10-07,63.79999923706055
2002-10-08,63.41999816894531
2002-10-09,61.31999969482422
2002-10-10,63.54999923706055
2002-10-11,66.4000015258789
2002-10-14,66.66999816894531
2002-10-15,70.5199966430664
2002-10-16,69.06999969482422
2002-10-17,71.73999786376953
2002-10-18,71.80999755859375
2002-10-21,74.6500015258789
2002-10-22,74.0999984741211
2002-10-23,74.06999969482422
2002-10-24,73.29000091552734
2002-10-25,73.9800033569336
2002-10-28,73.7300033569336
2002-10-29,73.2300033569336
2002-10-30,73.16999816894531
2002-10-31,72.66000366210938
2002-11-01,74.41999816894531
2002-11-04,75.0
2002-11-05,76.0199966430664
2002-11-06,77.51000213623047
2002-11-07,75.48999786376953
2002-11-08,75.2300033569336
2002-11-11,73.73999786376953
2002-11-12,72.8499984741211
2002-11-13,72.75
2002-11-14,73.73999786376953
2002-11-15,74.44000244140625
2002-11-18,74.06999969482422
2002-11-19,74.37999725341797
2002-11-20,75.47000122070312
2002-11-21,78.66999816894531
2002-11-22,78.43000030517578
2002-11-25,79.31999969482422
2002-11-26,77.9000015258789
2002-11-27,80.38999938964844
2002-11-29,80.66000366210938
2002-12-02,80.31999969482422
2002-12-03,78.68000030517578
2002-12-04,78.56999969482422
2002-12-05,77.75
2002-12-06,78.16999816894531
2002-12-09,76.5199966430664
2002-12-10,77.6500015258789
2002-12-11,78.16999816894531
2002-12-12,77.19000244140625
2002-12-13,76.36000061035156
2002-12-16,78.58000183105469
2002-12-17,78.2699966430664
2002-12-18,77.45999908447266
2002-12-19,76.48999786376953
2002-12-20,77.68000030517578
2002-12-23,77.3499984741211
2002-12-24,76.94000244140625
2002-12-26,77.30999755859375
2002-12-27,75.95999908447266
2002-12-30,76.44999694824219
2002-12-31,76.4800033569336
2003-01-02,79.33999633789062
2003-01-03,79.47000122070312
2003-01-06,82.19999694824219
2003-01-07,82.12000274658203
2003-01-08,79.93000030517578
2003-01-09,81.8499984741211
2003-01-10,81.7699966430664
2003-01-13,81.88999938964844
2003-01-14,82.54000091552734
2003-01-15,81.13999938964844
2003-01-16,80.80000305175781
2003-01-17,80.27999877929688
2003-01-21,78.48999786376953
2003-01-22,76.0
2003-01-23,76.41999816894531
2003-01-24,73.86000061035156
2003-01-27,72.41000366210938
2003-01-28,72.8499984741211
2003-01-29,72.61000061035156
2003-01-30,71.2300033569336
2003-01-31,72.69000244140625
2003-02-03,73.62999725341797
2003-02-04,72.9000015258789
2003-02-05,72.81999969482422
2003-02-06,71.79000091552734
2003-02-07,71.41000366210938
2003-02-10,71.38999938964844
2003-02-11,70.63999938964844
2003-02-12,69.63999938964844
2003-02-13,69.30999755859375
2003-02-14,70.44999694824219
2003-02-18,71.91999816894531
2003-02-19,71.33999633789062
2003-02-20,70.75
2003-02-21,71.38999938964844
2003-02-24,70.0199966430664
2003-02-25,70.5
2003-02-26,70.0199966430664
2003-02-27,70.98999786376953
2003-02-28,70.8499984741211
2003-03-03,70.7699966430664
2003-03-04,69.0999984741211
2003-03-05,69.8499984741211
2003-03-06,68.37999725341797
2003-03-07,68.76000213623047
2003-03-10,67.08000183105469
