,AUTL
2018-06-22,25.0
2018-06-25,26.190000534057617
2018-06-26,27.75
2018-06-27,26.639999389648438
2018-06-28,26.18000030517578
2018-06-29,26.790000915527344
2018-07-02,25.030000686645508
2018-07-03,23.84000015258789
2018-07-05,26.360000610351562
2018-07-06,26.34000015258789
2018-07-09,25.979999542236328
2018-07-10,25.90999984741211
2018-07-11,23.309999465942383
2018-07-12,21.110000610351562
2018-07-13,20.860000610351562
2018-07-16,22.75
2018-07-17,21.770000457763672
2018-07-18,22.600000381469727
2018-07-19,23.360000610351562
2018-07-20,25.200000762939453
2018-07-23,24.90999984741211
2018-07-24,23.5
2018-07-25,24.350000381469727
2018-07-26,24.489999771118164
2018-07-27,24.209999084472656
2018-07-30,23.68000030517578
2018-07-31,23.479999542236328
2018-08-01,23.360000610351562
2018-08-02,23.850000381469727
2018-08-03,23.600000381469727
2018-08-06,24.389999389648438
2018-08-07,25.229999542236328
2018-08-08,25.280000686645508
2018-08-09,24.84000015258789
2018-08-10,26.899999618530273
2018-08-13,27.899999618530273
2018-08-14,27.670000076293945
2018-08-15,28.5
2018-08-16,30.399999618530273
2018-08-17,30.6299991607666
2018-08-20,29.75
2018-08-21,29.149999618530273
2018-08-22,29.600000381469727
2018-08-23,28.899999618530273
2018-08-24,29.040000915527344
2018-08-27,29.5
2018-08-28,29.229999542236328
2018-08-29,29.75
2018-08-30,29.920000076293945
2018-08-31,29.700000762939453
2018-09-04,29.260000228881836
2018-09-05,29.940000534057617
2018-09-06,29.639999389648438
2018-09-07,31.0
2018-09-10,33.33000183105469
2018-09-11,31.25
2018-09-12,29.729999542236328
2018-09-13,28.700000762939453
2018-09-14,30.0
2018-09-17,29.84000015258789
2018-09-18,29.049999237060547
2018-09-19,29.440000534057617
2018-09-20,28.5
2018-09-21,29.639999389648438
2018-09-24,27.200000762939453
2018-09-25,27.25
2018-09-26,27.100000381469727
2018-09-27,29.030000686645508
2018-09-28,30.670000076293945
2018-10-01,30.639999389648438
2018-10-02,29.809999465942383
2018-10-03,28.65999984741211
2018-10-04,24.709999084472656
2018-10-05,27.5
2018-10-08,28.639999389648438
2018-10-09,27.1200008392334
2018-10-10,24.649999618530273
2018-10-11,24.209999084472656
2018-10-12,25.5
2018-10-15,24.889999389648438
2018-10-16,28.299999237060547
2018-10-17,28.100000381469727
2018-10-18,31.0
2018-10-19,31.25
2018-10-22,32.79999923706055
2018-10-23,30.639999389648438
2018-10-24,29.959999084472656
2018-10-25,31.100000381469727
2018-10-26,29.0
2018-10-29,27.649999618530273
2018-10-30,27.600000381469727
2018-10-31,28.5
2018-11-01,31.5
2018-11-02,31.75
2018-11-05,31.84000015258789
2018-11-06,28.540000915527344
2018-11-07,31.200000762939453
2018-11-08,38.88999938964844
2018-11-09,48.0099983215332
2018-11-12,35.5
2018-11-13,39.4900016784668
2018-11-14,37.0
2018-11-15,35.709999084472656
2018-11-16,34.9900016784668
2018-11-19,36.79999923706055
2018-11-20,41.20000076293945
2018-11-21,45.709999084472656
2018-11-23,45.0
2018-11-26,40.880001068115234
2018-11-27,37.0
2018-11-28,39.93000030517578
2018-11-29,38.779998779296875
2018-11-30,39.02000045776367
2018-12-03,41.18000030517578
2018-12-04,42.689998626708984
2018-12-06,41.0
2018-12-07,37.0
2018-12-10,36.0099983215332
2018-12-11,34.33000183105469
2018-12-12,32.720001220703125
2018-12-13,31.989999771118164
2018-12-14,32.83000183105469
2018-12-17,31.34000015258789
2018-12-18,30.290000915527344
2018-12-19,29.899999618530273
2018-12-20,29.860000610351562
2018-12-21,29.1299991607666
2018-12-24,28.799999237060547
2018-12-26,31.25
2018-12-27,27.760000228881836
2018-12-28,30.75
2018-12-31,32.84000015258789
2019-01-02,33.36000061035156
2019-01-03,34.34000015258789
2019-01-04,34.709999084472656
2019-01-07,34.369998931884766
2019-01-08,34.68000030517578
2019-01-09,34.189998626708984
2019-01-10,34.029998779296875
2019-01-11,33.91999816894531
2019-01-14,32.04999923706055
2019-01-15,32.0
2019-01-16,30.8700008392334
2019-01-17,31.399999618530273
2019-01-18,31.030000686645508
2019-01-22,28.649999618530273
2019-01-23,26.3700008392334
2019-01-24,25.450000762939453
2019-01-25,26.0
2019-01-28,27.350000381469727
2019-01-29,27.5
2019-01-30,26.459999084472656
2019-01-31,26.40999984741211
2019-02-01,25.510000228881836
2019-02-04,27.0
2019-02-05,26.149999618530273
2019-02-06,28.0
2019-02-07,27.875
2019-02-08,28.770000457763672
2019-02-11,30.940000534057617
2019-02-12,28.899999618530273
2019-02-13,29.260000228881836
2019-02-14,29.450000762939453
2019-02-15,29.200000762939453
2019-02-19,27.979999542236328
2019-02-20,27.780000686645508
2019-02-21,27.1299991607666
2019-02-22,28.889999389648438
2019-02-25,27.969999313354492
2019-02-26,27.010000228881836
2019-02-27,28.489999771118164
2019-02-28,27.350000381469727
2019-03-01,27.649999618530273
2019-03-04,27.329999923706055
2019-03-05,28.010000228881836
2019-03-06,27.549999237060547
2019-03-07,28.579999923706055
2019-03-08,27.059999465942383
2019-03-11,25.90999984741211
2019-03-12,24.770000457763672
2019-03-13,25.530000686645508
2019-03-14,24.90999984741211
2019-03-15,24.700000762939453
2019-03-18,24.75
2019-03-19,24.950000762939453
2019-03-20,24.399999618530273
2019-03-21,25.190000534057617
2019-03-22,24.3799991607666
2019-03-25,24.459999084472656
2019-03-26,26.389999389648438
2019-03-27,27.739999771118164
2019-03-28,30.239999771118164
2019-03-29,31.469999313354492
2019-04-01,30.299999237060547
2019-04-02,29.81999969482422
2019-04-03,30.799999237060547
2019-04-04,30.959999084472656
2019-04-05,31.020000457763672
2019-04-08,31.25
2019-04-09,26.75
2019-04-10,24.299999237060547
2019-04-11,25.649999618530273
2019-04-12,26.1200008392334
2019-04-15,28.0
2019-04-16,26.899999618530273
2019-04-17,25.729999542236328
2019-04-18,26.3700008392334
2019-04-22,26.34000015258789
2019-04-23,25.969999313354492
2019-04-24,26.68000030517578
2019-04-25,26.280000686645508
2019-04-26,26.889999389648438
2019-04-29,26.579999923706055
2019-04-30,26.18000030517578
2019-05-01,27.559999465942383
2019-05-02,26.09000015258789
2019-05-03,24.700000762939453
2019-05-06,24.8700008392334
2019-05-07,25.290000915527344
2019-05-08,23.25
2019-05-09,22.030000686645508
2019-05-10,23.190000534057617
2019-05-13,22.389999389648438
2019-05-14,23.84000015258789
2019-05-15,23.899999618530273
2019-05-16,23.040000915527344
2019-05-17,22.59000015258789
2019-05-20,22.010000228881836
2019-05-21,21.979999542236328
2019-05-22,21.760000228881836
2019-05-23,20.760000228881836
2019-05-24,21.079999923706055
2019-05-28,21.860000610351562
2019-05-29,20.549999237060547
2019-05-30,21.149999618530273
2019-05-31,20.6299991607666
2019-06-03,19.190000534057617
2019-06-04,16.799999237060547
2019-06-05,16.690000534057617
2019-06-06,16.559999465942383
