,FPA
2011-04-20,30.780000686645508
2011-04-21,30.780000686645508
2011-04-25,31.059999465942383
2011-04-26,31.1200008392334
2011-04-27,31.1200008392334
2011-04-28,30.829999923706055
2011-04-29,30.81999969482422
2011-05-02,30.81999969482422
2011-05-03,30.5
2011-05-04,29.969999313354492
2011-05-05,29.600000381469727
2011-05-06,29.600000381469727
2011-05-09,30.229999542236328
2011-05-10,30.229999542236328
2011-05-11,30.229999542236328
2011-05-12,29.809999465942383
2011-05-13,29.389999389648438
2011-05-16,29.5
2011-05-17,29.5
2011-05-18,30.030000686645508
2011-05-19,29.850000381469727
2011-05-20,29.799999237060547
2011-05-23,29.799999237060547
2011-05-24,29.799999237060547
2011-05-25,29.799999237060547
2011-05-26,29.649999618530273
2011-05-27,29.649999618530273
2011-05-31,30.56999969482422
2011-06-01,30.56999969482422
2011-06-02,30.670000076293945
2011-06-03,30.350000381469727
2011-06-06,30.139999389648438
2011-06-07,30.139999389648438
2011-06-08,29.729999542236328
2011-06-09,29.68000030517578
2011-06-10,29.68000030517578
2011-06-13,29.68000030517578
2011-06-14,29.68000030517578
2011-06-15,29.309999465942383
2011-06-16,29.309999465942383
2011-06-17,29.309999465942383
2011-06-20,29.309999465942383
2011-06-21,29.309999465942383
2011-06-22,29.309999465942383
2011-06-23,28.770000457763672
2011-06-24,28.770000457763672
2011-06-27,29.18000030517578
2011-06-28,29.450000762939453
2011-06-29,30.030000686645508
2011-06-30,30.030000686645508
2011-07-01,30.860000610351562
2011-07-05,30.739999771118164
2011-07-06,30.739999771118164
2011-07-07,31.190000534057617
2011-07-08,30.959999084472656
2011-07-11,30.40999984741211
2011-07-12,30.06999969482422
2011-07-13,30.700000762939453
2011-07-14,30.700000762939453
2011-07-15,30.700000762939453
2011-07-18,30.31999969482422
2011-07-19,30.600000381469727
2011-07-20,30.739999771118164
2011-07-21,31.229999542236328
2011-07-22,31.399999618530273
2011-07-25,31.229999542236328
2011-07-26,31.469999313354492
2011-07-27,31.15999984741211
2011-07-28,31.34000015258789
2011-07-29,31.219999313354492
2011-08-01,31.260000228881836
2011-08-02,30.799999237060547
2011-08-03,29.940000534057617
2011-08-04,28.270000457763672
2011-08-05,29.420000076293945
2011-08-08,25.34000015258789
2011-08-09,25.59000015258789
2011-08-10,25.670000076293945
2011-08-11,26.670000076293945
2011-08-12,26.670000076293945
2011-08-15,27.0
2011-08-16,27.100000381469727
2011-08-17,27.290000915527344
2011-08-18,26.399999618530273
2011-08-19,25.350000381469727
2011-08-22,24.719999313354492
2011-08-23,25.3700008392334
2011-08-24,25.65999984741211
2011-08-25,25.270000457763672
2011-08-26,25.700000762939453
2011-08-29,26.920000076293945
2011-08-30,26.690000534057617
2011-08-31,26.690000534057617
2011-09-01,27.940000534057617
2011-09-02,26.8700008392334
2011-09-06,25.760000228881836
2011-09-07,26.8799991607666
2011-09-08,26.8799991607666
2011-09-09,25.739999771118164
2011-09-12,24.799999237060547
2011-09-13,24.799999237060547
2011-09-14,24.520000457763672
2011-09-15,24.940000534057617
2011-09-16,25.18000030517578
2011-09-19,24.59000015258789
2011-09-20,24.420000076293945
2011-09-21,24.420000076293945
2011-09-22,22.049999237060547
2011-09-23,22.290000915527344
2011-09-26,21.540000915527344
2011-09-27,22.899999618530273
2011-09-28,22.899999618530273
2011-09-29,22.6299991607666
2011-09-30,21.479999542236328
2011-10-03,19.579999923706055
2011-10-04,19.899999618530273
2011-10-05,19.899999618530273
2011-10-06,21.3799991607666
2011-10-07,22.06999969482422
2011-10-10,22.06999969482422
2011-10-11,22.06999969482422
2011-10-12,24.079999923706055
2011-10-13,24.079999923706055
2011-10-14,24.079999923706055
2011-10-17,24.079999923706055
2011-10-18,24.079999923706055
2011-10-19,24.280000686645508
2011-10-20,24.280000686645508
2011-10-21,23.700000762939453
2011-10-24,24.75
2011-10-25,24.75
2011-10-26,24.75
2011-10-27,26.06999969482422
2011-10-28,26.06999969482422
2011-10-31,26.06999969482422
2011-11-01,24.110000610351562
2011-11-02,24.110000610351562
2011-11-03,25.190000534057617
2011-11-04,25.020000457763672
2011-11-07,25.020000457763672
2011-11-08,25.100000381469727
2011-11-09,24.40999984741211
2011-11-10,24.030000686645508
2011-11-11,24.030000686645508
2011-11-14,24.030000686645508
2011-11-15,24.579999923706055
2011-11-16,24.0
2011-11-17,24.010000228881836
2011-11-18,24.010000228881836
2011-11-21,24.010000228881836
2011-11-22,24.010000228881836
2011-11-23,22.56999969482422
2011-11-25,22.56999969482422
2011-11-28,23.25
2011-11-29,23.56999969482422
2011-11-30,24.8700008392334
2011-12-01,24.8700008392334
2011-12-02,24.309999465942383
2011-12-05,24.309999465942383
2011-12-06,24.309999465942383
2011-12-07,24.309999465942383
2011-12-08,24.030000686645508
2011-12-09,24.030000686645508
2011-12-12,24.030000686645508
2011-12-13,23.420000076293945
2011-12-14,23.420000076293945
2011-12-15,23.420000076293945
2011-12-16,22.899999618530273
2011-12-19,22.15999984741211
2011-12-20,22.15999984741211
2011-12-21,22.540000915527344
2011-12-22,23.1299991607666
2011-12-23,23.1299991607666
2011-12-27,22.979999542236328
2011-12-28,22.979999542236328
2011-12-29,23.059999465942383
2011-12-30,22.809999465942383
2012-01-03,22.809999465942383
2012-01-04,23.360000610351562
2012-01-05,23.360000610351562
2012-01-06,23.360000610351562
2012-01-09,23.360000610351562
2012-01-10,23.360000610351562
2012-01-11,23.360000610351562
2012-01-12,23.360000610351562
2012-01-13,23.43000030517578
2012-01-17,23.43000030517578
2012-01-18,24.079999923706055
