,FOUR
2020-06-05,33.540000915527344
2020-06-08,35.150001525878906
2020-06-09,35.5099983215332
2020-06-10,35.45000076293945
2020-06-11,31.75
2020-06-12,34.75
2020-06-15,35.52000045776367
2020-06-16,35.0
2020-06-17,36.369998931884766
2020-06-18,39.529998779296875
2020-06-19,41.75
2020-06-22,40.5099983215332
2020-06-23,40.5
2020-06-24,37.52000045776367
2020-06-25,36.029998779296875
2020-06-26,37.20000076293945
2020-06-29,35.93000030517578
2020-06-30,35.5
2020-07-01,34.0
2020-07-02,36.16999816894531
2020-07-06,39.38999938964844
2020-07-07,42.4900016784668
2020-07-08,44.75
2020-07-09,44.83000183105469
2020-07-10,44.880001068115234
2020-07-13,39.040000915527344
2020-07-14,37.7599983215332
2020-07-15,39.97999954223633
2020-07-16,39.41999816894531
2020-07-17,38.900001525878906
2020-07-20,38.04999923706055
2020-07-21,37.130001068115234
2020-07-22,35.79999923706055
2020-07-23,36.0
2020-07-24,35.400001525878906
2020-07-27,36.529998779296875
2020-07-28,36.7400016784668
2020-07-29,38.5
2020-07-30,37.58000183105469
2020-07-31,38.29999923706055
2020-08-03,39.599998474121094
2020-08-04,39.29999923706055
2020-08-05,39.40999984741211
2020-08-06,43.63999938964844
2020-08-07,44.31999969482422
2020-08-10,46.22999954223633
2020-08-11,45.380001068115234
2020-08-12,47.060001373291016
2020-08-13,48.88999938964844
2020-08-14,49.88999938964844
2020-08-17,49.540000915527344
2020-08-18,47.959999084472656
2020-08-19,49.900001525878906
2020-08-20,48.2400016784668
2020-08-21,50.16999816894531
2020-08-24,50.34000015258789
2020-08-25,52.720001220703125
2020-08-26,51.93000030517578
2020-08-27,51.2599983215332
2020-08-28,51.34000015258789
2020-08-31,50.369998931884766
2020-09-01,51.02000045776367
2020-09-02,51.27000045776367
2020-09-03,49.31999969482422
2020-09-04,49.529998779296875
2020-09-08,49.58000183105469
2020-09-09,48.95000076293945
2020-09-10,50.02000045776367
2020-09-11,46.29999923706055
2020-09-14,45.40999984741211
2020-09-15,46.5
2020-09-16,46.9900016784668
2020-09-17,44.56999969482422
2020-09-18,44.380001068115234
2020-09-21,45.36000061035156
2020-09-22,46.540000915527344
2020-09-23,46.63999938964844
2020-09-24,44.5
2020-09-25,45.380001068115234
2020-09-28,45.59000015258789
2020-09-29,47.2400016784668
2020-09-30,48.36000061035156
2020-10-01,49.689998626708984
2020-10-02,51.54999923706055
2020-10-05,52.209999084472656
2020-10-06,53.70000076293945
2020-10-07,53.45000076293945
2020-10-08,53.459999084472656
2020-10-09,55.709999084472656
2020-10-12,60.04999923706055
2020-10-13,58.20000076293945
2020-10-14,57.0
2020-10-15,58.439998626708984
2020-10-16,59.400001525878906
2020-10-19,57.7599983215332
2020-10-20,59.220001220703125
2020-10-21,56.810001373291016
2020-10-22,56.060001373291016
2020-10-23,55.97999954223633
2020-10-26,53.25
2020-10-27,55.77000045776367
2020-10-28,52.22999954223633
2020-10-29,52.77000045776367
2020-10-30,50.90999984741211
2020-11-02,47.81999969482422
2020-11-03,50.29999923706055
2020-11-04,54.0099983215332
2020-11-05,56.75
