,AGFY
2021-01-28,12.739999771118164
2021-01-29,11.399999618530273
2021-02-01,10.920000076293945
2021-02-02,14.199999809265137
2021-02-03,18.799999237060547
2021-02-04,17.25
2021-02-05,19.760000228881836
2021-02-08,19.809999465942383
2021-02-09,19.200000762939453
2021-02-10,18.889999389648438
2021-02-11,17.079999923706055
2021-02-12,18.940000534057617
2021-02-16,16.010000228881836
2021-02-17,13.84000015258789
2021-02-18,14.489999771118164
2021-02-19,14.029999732971191
2021-02-22,12.65999984741211
2021-02-23,12.899999618530273
2021-02-24,12.399999618530273
2021-02-25,12.039999961853027
2021-02-26,12.819999694824219
2021-03-01,12.890000343322754
2021-03-02,12.670000076293945
2021-03-03,12.25
2021-03-04,11.5600004196167
2021-03-05,12.899999618530273
2021-03-08,12.5
2021-03-09,13.140000343322754
2021-03-10,12.979999542236328
2021-03-11,13.149999618530273
2021-03-12,13.239999771118164
2021-03-15,13.989999771118164
2021-03-16,12.880000114440918
2021-03-17,12.5
2021-03-18,11.510000228881836
2021-03-19,11.920000076293945
2021-03-22,12.550000190734863
2021-03-23,11.890000343322754
2021-03-24,12.649999618530273
2021-03-25,12.0
2021-03-26,11.649999618530273
2021-03-29,11.869999885559082
2021-03-30,11.850000381469727
2021-03-31,12.479999542236328
2021-04-01,12.619999885559082
2021-04-05,13.449999809265137
2021-04-06,13.5
2021-04-07,12.949999809265137
2021-04-08,12.920000076293945
2021-04-09,12.630000114440918
2021-04-12,12.270000457763672
2021-04-13,11.90999984741211
2021-04-14,12.069999694824219
2021-04-15,11.979999542236328
2021-04-16,11.90999984741211
2021-04-19,11.829999923706055
2021-04-20,9.75
2021-04-21,9.800000190734863
2021-04-22,10.569999694824219
2021-04-23,10.149999618530273
2021-04-26,10.859999656677246
2021-04-27,12.289999961853027
2021-04-28,11.260000228881836
2021-04-29,11.770000457763672
2021-04-30,10.800000190734863
2021-05-03,10.350000381469727
2021-05-04,9.399999618530273
2021-05-05,9.170000076293945
2021-05-06,7.679999828338623
2021-05-07,7.989999771118164
2021-05-10,8.020000457763672
2021-05-11,7.929999828338623
2021-05-12,7.860000133514404
2021-05-13,6.920000076293945
2021-05-14,7.679999828338623
