,CTAQ
2021-02-01,10.319999694824219
2021-02-02,10.399999618530273
2021-02-03,10.369999885559082
2021-02-04,10.430000305175781
2021-02-05,10.369999885559082
2021-02-08,10.399999618530273
2021-02-09,10.270000457763672
2021-02-10,10.239999771118164
2021-02-11,10.260000228881836
2021-02-12,10.15999984741211
2021-02-16,10.380000114440918
2021-02-17,10.369999885559082
2021-02-18,10.649999618530273
2021-02-19,10.489999771118164
2021-02-22,10.329999923706055
2021-02-23,10.319999694824219
2021-02-24,10.260000228881836
2021-02-25,10.220000267028809
2021-02-26,10.149999618530273
2021-03-01,10.140000343322754
2021-03-02,9.949999809265137
2021-03-03,10.0
2021-03-04,9.8100004196167
2021-03-05,9.930000305175781
2021-03-08,9.949999809265137
2021-03-09,9.9399995803833
2021-03-10,9.920000076293945
2021-03-11,9.960000038146973
2021-03-12,9.949999809265137
2021-03-15,9.890000343322754
2021-03-16,9.779999732971191
2021-03-17,9.84000015258789
2021-03-18,9.84000015258789
2021-03-19,9.760000228881836
2021-03-22,9.75
2021-03-23,9.760000228881836
2021-03-24,9.739999771118164
2021-03-25,9.670000076293945
2021-03-26,9.8100004196167
2021-03-29,9.800000190734863
2021-03-30,9.779999732971191
2021-03-31,9.6899995803833
2021-04-01,9.75
2021-04-05,9.729999542236328
2021-04-06,9.779999732971191
2021-04-07,9.800000190734863
2021-04-08,9.800000190734863
2021-04-09,9.795000076293945
2021-04-12,9.899999618530273
2021-04-13,9.84000015258789
2021-04-14,9.899999618530273
2021-04-15,9.819999694824219
2021-04-16,9.859999656677246
2021-04-19,9.890000343322754
2021-04-20,9.850000381469727
2021-04-21,9.850000381469727
2021-04-22,9.829999923706055
2021-04-23,9.84000015258789
2021-04-26,9.84000015258789
2021-04-27,9.800000190734863
2021-04-28,9.850000381469727
2021-04-29,9.850000381469727
2021-04-30,9.8100004196167
2021-05-03,9.850000381469727
2021-05-04,9.800000190734863
2021-05-05,9.800000190734863
2021-05-06,9.779999732971191
2021-05-07,9.779999732971191
2021-05-10,9.739999771118164
2021-05-11,9.760000228881836
2021-05-12,9.75
2021-05-13,9.770000457763672
2021-05-14,9.739999771118164
