,CTAQU
2020-12-09,10.0
2020-12-10,10.149999618530273
2020-12-11,10.199999809265137
2020-12-14,10.279999732971191
2020-12-15,10.229999542236328
2020-12-16,10.199999809265137
2020-12-17,10.220000267028809
2020-12-18,10.210000038146973
2020-12-21,10.279999732971191
2020-12-22,10.3100004196167
2020-12-23,10.270000457763672
2020-12-24,10.380000114440918
2020-12-28,10.369999885559082
2020-12-29,10.25
2020-12-30,10.329999923706055
2020-12-31,10.260000228881836
2021-01-04,10.279999732971191
2021-01-05,10.369999885559082
2021-01-06,10.329999923706055
2021-01-07,10.369999885559082
2021-01-08,10.369999885559082
2021-01-11,10.430000305175781
2021-01-12,10.489999771118164
2021-01-13,10.449999809265137
2021-01-14,10.539999961853027
2021-01-15,10.59000015258789
2021-01-19,10.75
2021-01-20,10.736000061035156
2021-01-21,10.779999732971191
2021-01-22,10.850000381469727
2021-01-25,10.819999694824219
2021-01-26,10.5600004196167
2021-01-27,10.350000381469727
2021-01-28,10.420000076293945
2021-01-29,10.524999618530273
2021-02-01,10.6899995803833
2021-02-02,10.850000381469727
2021-02-03,10.829999923706055
2021-02-04,10.850000381469727
2021-02-05,10.859999656677246
2021-02-08,10.899999618530273
2021-02-09,10.859999656677246
2021-02-10,10.75
2021-02-11,10.75
2021-02-12,10.630999565124512
2021-02-16,10.760000228881836
2021-02-17,10.890000343322754
2021-02-18,11.079999923706055
2021-02-19,10.899999618530273
2021-02-22,10.850000381469727
2021-02-23,10.760000228881836
2021-02-24,10.699999809265137
2021-02-25,10.579999923706055
2021-02-26,10.5
2021-03-01,10.5600004196167
2021-03-02,10.430000305175781
2021-03-03,10.324999809265137
2021-03-04,10.140000343322754
2021-03-05,10.270000457763672
2021-03-08,10.229999542236328
2021-03-09,10.229999542236328
2021-03-10,10.300000190734863
2021-03-11,10.199999809265137
2021-03-12,10.229999542236328
2021-03-15,10.210000038146973
2021-03-16,10.050000190734863
2021-03-17,10.25
2021-03-18,10.119999885559082
2021-03-19,10.079999923706055
2021-03-22,10.09000015258789
2021-03-23,10.0
2021-03-24,9.960000038146973
2021-03-25,9.899999618530273
2021-03-26,9.930000305175781
2021-03-29,10.0
2021-03-30,10.09000015258789
2021-03-31,10.0600004196167
2021-04-01,10.100000381469727
2021-04-05,10.09000015258789
2021-04-06,10.09000015258789
2021-04-07,10.149999618530273
2021-04-08,10.149999618530273
2021-04-09,10.0600004196167
2021-04-12,10.149999618530273
2021-04-13,10.199999809265137
2021-04-14,10.119999885559082
2021-04-15,10.079999923706055
2021-04-16,10.079999923706055
2021-04-19,10.130000114440918
2021-04-20,10.0600004196167
2021-04-21,10.010000228881836
2021-04-22,10.050000190734863
2021-04-23,10.050000190734863
2021-04-26,10.055000305175781
2021-04-27,9.989999771118164
2021-04-28,10.050000190734863
2021-04-29,10.079999923706055
2021-04-30,10.050000190734863
2021-05-03,10.100000381469727
2021-05-04,10.0
2021-05-05,10.020000457763672
2021-05-06,10.0
2021-05-07,10.020000457763672
2021-05-10,10.020000457763672
2021-05-11,10.0
2021-05-12,10.020000457763672
2021-05-13,9.979999542236328
2021-05-14,9.970000267028809
