,AY
2014-06-13,37.0
2014-06-16,36.52000045776367
2014-06-17,36.5
2014-06-18,36.900001525878906
2014-06-19,37.36000061035156
2014-06-20,40.0
2014-06-23,39.220001220703125
2014-06-24,38.400001525878906
2014-06-25,38.22999954223633
2014-06-26,38.15999984741211
2014-06-27,38.06999969482422
2014-06-30,37.81999969482422
2014-07-01,37.38999938964844
2014-07-02,37.29999923706055
2014-07-03,37.27000045776367
2014-07-07,37.38999938964844
2014-07-08,37.400001525878906
2014-07-09,37.380001068115234
2014-07-10,37.41999816894531
2014-07-11,37.459999084472656
2014-07-14,38.630001068115234
2014-07-15,39.220001220703125
2014-07-16,40.380001068115234
2014-07-17,40.130001068115234
2014-07-18,39.900001525878906
2014-07-21,40.310001373291016
2014-07-22,39.689998626708984
2014-07-23,39.790000915527344
2014-07-24,40.06999969482422
2014-07-25,39.79999923706055
2014-07-28,39.34000015258789
2014-07-29,38.869998931884766
2014-07-30,37.83000183105469
2014-07-31,36.18000030517578
2014-08-01,36.13999938964844
2014-08-04,36.5
2014-08-05,36.16999816894531
2014-08-06,34.92900085449219
2014-08-07,34.52000045776367
2014-08-08,35.4900016784668
2014-08-11,35.279998779296875
2014-08-12,35.43000030517578
2014-08-13,37.09000015258789
2014-08-14,36.70000076293945
2014-08-15,36.65999984741211
2014-08-18,37.400001525878906
2014-08-19,36.90999984741211
2014-08-20,37.939998626708984
2014-08-21,37.310001373291016
2014-08-22,38.470001220703125
2014-08-25,38.16999816894531
2014-08-26,38.599998474121094
2014-08-27,38.70000076293945
2014-08-28,38.939998626708984
2014-08-29,40.11000061035156
2014-09-02,38.90999984741211
2014-09-03,40.099998474121094
2014-09-04,38.72999954223633
2014-09-05,38.59000015258789
2014-09-08,38.15999984741211
2014-09-09,37.72999954223633
2014-09-10,37.88999938964844
2014-09-11,37.650001525878906
2014-09-12,37.65999984741211
2014-09-15,36.7400016784668
2014-09-16,37.150001525878906
2014-09-17,37.439998626708984
2014-09-18,36.81999969482422
2014-09-19,37.68000030517578
2014-09-22,36.29999923706055
2014-09-23,37.2400016784668
2014-09-24,36.84000015258789
2014-09-25,35.27000045776367
2014-09-26,36.380001068115234
2014-09-29,35.59000015258789
2014-09-30,35.58000183105469
2014-10-01,33.90999984741211
2014-10-02,32.9900016784668
2014-10-03,34.0099983215332
2014-10-06,33.40999984741211
2014-10-07,32.619998931884766
2014-10-08,32.59000015258789
2014-10-09,31.34000015258789
2014-10-10,31.15999984741211
2014-10-13,30.93000030517578
2014-10-14,30.15999984741211
2014-10-15,29.81999969482422
2014-10-16,30.920000076293945
