,CBTX
2017-11-08,28.709999084472656
2017-11-09,28.489999771118164
2017-11-10,29.1200008392334
2017-11-13,28.75
2017-11-14,28.475000381469727
2017-11-15,28.68000030517578
2017-11-16,29.299999237060547
2017-11-17,28.959999084472656
2017-11-20,28.899999618530273
2017-11-21,28.93000030517578
2017-11-22,28.770000457763672
2017-11-24,28.440000534057617
2017-11-27,28.639999389648438
2017-11-28,28.889999389648438
2017-11-29,28.950000762939453
2017-11-30,28.709999084472656
2017-12-01,28.93000030517578
2017-12-04,28.649999618530273
2017-12-05,28.760000228881836
2017-12-06,28.799999237060547
2017-12-07,29.260000228881836
2017-12-08,28.700000762939453
2017-12-11,28.709999084472656
2017-12-12,28.610000610351562
2017-12-13,28.450000762939453
2017-12-14,28.489999771118164
2017-12-15,28.270000457763672
2017-12-18,28.56999969482422
2017-12-19,28.8700008392334
2017-12-20,29.06999969482422
2017-12-21,29.469999313354492
2017-12-22,29.520000457763672
2017-12-26,29.690000534057617
2017-12-27,29.350000381469727
2017-12-28,30.059999465942383
2017-12-29,29.65999984741211
2018-01-02,29.59000015258789
2018-01-03,29.360000610351562
2018-01-04,29.100000381469727
2018-01-05,28.850000381469727
2018-01-08,28.719999313354492
2018-01-09,28.889999389648438
2018-01-10,29.649999618530273
2018-01-11,29.899999618530273
2018-01-12,30.0
2018-01-16,29.020000457763672
2018-01-17,29.100000381469727
2018-01-18,29.020000457763672
2018-01-19,29.190000534057617
2018-01-22,29.040000915527344
2018-01-23,29.260000228881836
2018-01-24,29.020000457763672
2018-01-25,28.899999618530273
2018-01-26,28.770000457763672
2018-01-29,28.90999984741211
2018-01-30,28.579999923706055
2018-01-31,28.6200008392334
2018-02-01,28.860000610351562
2018-02-02,28.700000762939453
2018-02-05,28.6200008392334
2018-02-06,29.0
2018-02-07,28.75
2018-02-08,28.1200008392334
2018-02-09,28.360000610351562
2018-02-12,28.40999984741211
2018-02-13,28.290000915527344
2018-02-14,28.149999618530273
2018-02-15,28.15999984741211
2018-02-16,28.049999237060547
2018-02-20,27.889999389648438
