,ENZL
2010-09-02,26.110000610351562
2010-09-03,26.43000030517578
2010-09-07,26.920000076293945
2010-09-08,27.09000015258789
2010-09-09,27.1299991607666
2010-09-10,27.200000762939453
2010-09-13,27.6200008392334
2010-09-14,27.84000015258789
2010-09-15,27.520000457763672
2010-09-16,27.190000534057617
2010-09-17,27.31999969482422
2010-09-20,27.770000457763672
2010-09-21,27.889999389648438
2010-09-22,28.0
2010-09-23,27.530000686645508
2010-09-24,27.850000381469727
2010-09-27,27.899999618530273
2010-09-28,28.100000381469727
2010-09-29,27.809999465942383
2010-09-30,27.280000686645508
2010-10-01,28.219999313354492
2010-10-04,27.93000030517578
2010-10-05,28.549999237060547
2010-10-06,28.540000915527344
2010-10-07,28.31999969482422
2010-10-08,28.610000610351562
2010-10-11,28.440000534057617
2010-10-12,28.700000762939453
2010-10-13,28.979999542236328
2010-10-14,28.93000030517578
2010-10-15,28.81999969482422
2010-10-18,29.170000076293945
2010-10-19,28.100000381469727
2010-10-20,28.670000076293945
2010-10-21,28.440000534057617
2010-10-22,28.65999984741211
2010-10-25,29.06999969482422
2010-10-26,28.6200008392334
2010-10-27,28.350000381469727
2010-10-28,28.860000610351562
2010-10-29,29.40999984741211
2010-11-01,29.219999313354492
2010-11-02,29.959999084472656
2010-11-03,30.290000915527344
2010-11-04,31.149999618530273
2010-11-05,30.950000762939453
2010-11-08,30.459999084472656
2010-11-09,29.90999984741211
2010-11-10,30.6299991607666
2010-11-11,30.229999542236328
2010-11-12,29.899999618530273
2010-11-15,30.059999465942383
2010-11-16,29.530000686645508
2010-11-17,29.540000915527344
2010-11-18,29.989999771118164
2010-11-19,29.81999969482422
2010-11-22,29.809999465942383
2010-11-23,28.709999084472656
2010-11-24,29.299999237060547
2010-11-26,28.579999923706055
2010-11-29,28.68000030517578
2010-11-30,28.43000030517578
2010-12-01,28.899999618530273
2010-12-02,29.1200008392334
2010-12-03,29.420000076293945
2010-12-06,29.31999969482422
2010-12-07,29.100000381469727
2010-12-08,28.760000228881836
2010-12-09,28.649999618530273
2010-12-10,28.479999542236328
2010-12-13,28.889999389648438
2010-12-14,28.670000076293945
2010-12-15,28.190000534057617
2010-12-16,28.270000457763672
2010-12-17,28.450000762939453
2010-12-20,28.709999084472656
2010-12-21,28.239999771118164
2010-12-22,28.239999771118164
2010-12-23,28.420000076293945
2010-12-27,28.489999771118164
2010-12-28,28.809999465942383
2010-12-29,29.149999618530273
2010-12-30,29.239999771118164
2010-12-31,29.3799991607666
2011-01-03,29.420000076293945
2011-01-04,28.989999771118164
2011-01-05,29.0
2011-01-06,28.690000534057617
2011-01-07,28.649999618530273
2011-01-10,28.729999542236328
2011-01-11,28.829999923706055
2011-01-12,29.049999237060547
2011-01-13,29.360000610351562
2011-01-14,29.450000762939453
2011-01-18,29.329999923706055
2011-01-19,29.030000686645508
2011-01-20,28.719999313354492
2011-01-21,28.940000534057617
2011-01-24,29.1299991607666
2011-01-25,29.270000457763672
2011-01-26,29.549999237060547
2011-01-27,29.459999084472656
2011-01-28,29.280000686645508
2011-01-31,29.43000030517578
2011-02-01,29.899999618530273
2011-02-02,29.649999618530273
2011-02-03,29.440000534057617
2011-02-04,29.479999542236328
2011-02-07,29.760000228881836
2011-02-08,29.84000015258789
2011-02-09,29.56999969482422
2011-02-10,29.110000610351562
2011-02-11,29.1200008392334
2011-02-14,28.959999084472656
2011-02-15,28.8799991607666
2011-02-16,29.030000686645508
2011-02-17,29.329999923706055
2011-02-18,29.489999771118164
2011-02-22,28.309999465942383
2011-02-23,28.40999984741211
2011-02-24,28.469999313354492
2011-02-25,28.670000076293945
2011-02-28,28.739999771118164
2011-03-01,28.5
2011-03-02,28.690000534057617
2011-03-03,28.860000610351562
2011-03-04,28.579999923706055
2011-03-07,28.579999923706055
2011-03-08,28.719999313354492
2011-03-09,28.540000915527344
2011-03-10,28.18000030517578
2011-03-11,28.559999465942383
2011-03-14,28.139999389648438
2011-03-15,27.690000534057617
2011-03-16,27.079999923706055
2011-03-17,27.15999984741211
2011-03-18,27.549999237060547
2011-03-21,27.950000762939453
2011-03-22,28.149999618530273
2011-03-23,28.489999771118164
2011-03-24,28.979999542236328
2011-03-25,28.8799991607666
2011-03-28,29.06999969482422
2011-03-29,29.549999237060547
2011-03-30,29.729999542236328
2011-03-31,29.809999465942383
2011-04-01,30.1200008392334
2011-04-04,30.149999618530273
2011-04-05,30.239999771118164
2011-04-06,30.489999771118164
2011-04-07,30.360000610351562
2011-04-08,30.290000915527344
2011-04-11,30.479999542236328
2011-04-12,30.520000457763672
2011-04-13,30.729999542236328
2011-04-14,30.950000762939453
2011-04-15,31.329999923706055
2011-04-18,30.670000076293945
2011-04-19,30.700000762939453
2011-04-20,31.3700008392334
2011-04-21,31.670000076293945
2011-04-25,31.510000228881836
2011-04-26,31.959999084472656
2011-04-27,32.09000015258789
2011-04-28,31.940000534057617
2011-04-29,32.36000061035156
2011-05-02,31.860000610351562
2011-05-03,31.40999984741211
2011-05-04,31.239999771118164
2011-05-05,30.8799991607666
2011-05-06,31.5
2011-05-09,31.770000457763672
2011-05-10,32.029998779296875
2011-05-11,31.639999389648438
2011-05-12,32.11000061035156
2011-05-13,31.440000534057617
2011-05-16,31.549999237060547
2011-05-17,31.84000015258789
2011-05-18,32.150001525878906
2011-05-19,32.08000183105469
2011-05-20,32.189998626708984
2011-05-23,31.809999465942383
2011-05-24,32.47999954223633
2011-05-25,32.63999938964844
2011-05-26,32.650001525878906
2011-05-27,32.72999954223633
2011-05-31,33.529998779296875
2011-06-01,32.77000045776367
2011-06-02,33.029998779296875
2011-06-03,32.75
2011-06-06,32.70000076293945
2011-06-07,32.88999938964844
