,ANGI
2011-11-17,16.260000228881836
2011-11-18,15.800000190734863
2011-11-21,15.399999618530273
2011-11-22,16.1200008392334
2011-11-23,14.770000457763672
2011-11-25,13.5
2011-11-28,13.0
2011-11-29,11.800000190734863
2011-11-30,11.5600004196167
2011-12-01,12.550000190734863
2011-12-02,14.010000228881836
2011-12-05,13.630000114440918
2011-12-06,14.010000228881836
2011-12-07,15.609999656677246
2011-12-08,16.149999618530273
2011-12-09,16.030000686645508
2011-12-12,16.489999771118164
2011-12-13,16.75
2011-12-14,16.420000076293945
2011-12-15,16.0
2011-12-16,15.729999542236328
2011-12-19,15.649999618530273
2011-12-20,15.899999618530273
2011-12-21,16.0
2011-12-22,16.079999923706055
2011-12-23,16.530000686645508
2011-12-27,16.690000534057617
2011-12-28,16.389999389648438
2011-12-29,15.989999771118164
2011-12-30,16.100000381469727
2012-01-03,15.09000015258789
2012-01-04,14.09000015258789
2012-01-05,13.789999961853027
2012-01-06,13.229999542236328
2012-01-09,13.40999984741211
2012-01-10,13.859999656677246
2012-01-11,14.029999732971191
2012-01-12,15.029999732971191
2012-01-13,15.100000381469727
2012-01-17,15.75
2012-01-18,15.899999618530273
2012-01-19,15.899999618530273
2012-01-20,15.699999809265137
2012-01-23,15.800000190734863
2012-01-24,15.800000190734863
2012-01-25,15.640000343322754
2012-01-26,15.59000015258789
2012-01-27,15.199999809265137
2012-01-30,14.720000267028809
2012-01-31,14.739999771118164
2012-02-01,14.229999542236328
2012-02-02,14.680000305175781
2012-02-03,14.90999984741211
2012-02-06,14.729999542236328
2012-02-07,15.430000305175781
2012-02-08,16.270000457763672
2012-02-09,16.049999237060547
2012-02-10,16.139999389648438
2012-02-13,16.40999984741211
2012-02-14,15.609999656677246
2012-02-15,15.050000190734863
2012-02-16,15.40999984741211
2012-02-17,14.920000076293945
2012-02-21,14.930000305175781
2012-02-22,14.460000038146973
2012-02-23,15.470000267028809
2012-02-24,15.609999656677246
2012-02-27,15.84000015258789
2012-02-28,15.979999542236328
2012-02-29,16.0
2012-03-01,16.1200008392334
2012-03-02,15.25
2012-03-05,15.609999656677246
2012-03-06,14.789999961853027
2012-03-07,15.5
2012-03-08,15.479999542236328
2012-03-09,15.5
2012-03-12,15.930000305175781
2012-03-13,16.040000915527344
2012-03-14,15.729999542236328
2012-03-15,16.1299991607666
2012-03-16,16.079999923706055
2012-03-19,17.829999923706055
2012-03-20,17.280000686645508
2012-03-21,16.799999237060547
2012-03-22,17.040000915527344
2012-03-23,17.059999465942383
2012-03-26,17.56999969482422
2012-03-27,17.899999618530273
2012-03-28,18.90999984741211
2012-03-29,17.969999313354492
2012-03-30,18.889999389648438
2012-04-02,18.350000381469727
2012-04-03,17.489999771118164
2012-04-04,16.860000610351562
2012-04-05,16.020000457763672
2012-04-09,14.949999809265137
2012-04-10,14.520000457763672
2012-04-11,14.579999923706055
2012-04-12,15.119999885559082
2012-04-13,14.640000343322754
2012-04-16,14.989999771118164
2012-04-17,15.420000076293945
2012-04-18,15.260000228881836
2012-04-19,14.670000076293945
2012-04-20,14.609999656677246
2012-04-23,14.630000114440918
2012-04-24,14.260000228881836
2012-04-25,13.960000038146973
2012-04-26,13.880000114440918
2012-04-27,14.0600004196167
2012-04-30,13.949999809265137
2012-05-01,13.539999961853027
2012-05-02,14.270000457763672
2012-05-03,14.109999656677246
2012-05-04,14.069999694824219
2012-05-07,14.0
2012-05-08,14.220000267028809
2012-05-09,14.5600004196167
2012-05-10,14.579999923706055
2012-05-11,14.40999984741211
2012-05-14,14.010000228881836
2012-05-15,13.140000343322754
2012-05-16,13.529999732971191
2012-05-17,13.350000381469727
2012-05-18,13.069999694824219
2012-05-21,12.890000343322754
2012-05-22,12.699999809265137
2012-05-23,12.25
2012-05-24,12.399999618530273
2012-05-25,12.399999618530273
