,CRON
2018-02-27,7.619999885559082
2018-02-28,9.170000076293945
2018-03-01,9.6899995803833
2018-03-02,9.399999618530273
2018-03-05,9.770000457763672
2018-03-06,9.90999984741211
2018-03-07,9.8100004196167
2018-03-08,9.539999961853027
2018-03-09,9.319999694824219
2018-03-12,8.75
2018-03-13,8.630000114440918
2018-03-14,8.399999618530273
2018-03-15,8.130000114440918
2018-03-16,7.820000171661377
2018-03-19,8.75
2018-03-20,8.1899995803833
2018-03-21,8.0
2018-03-22,7.389999866485596
2018-03-23,7.46999979019165
2018-03-26,7.460000038146973
2018-03-27,7.03000020980835
2018-03-28,6.510000228881836
2018-03-29,6.730000019073486
2018-04-02,6.25
2018-04-03,5.599999904632568
2018-04-04,5.599999904632568
2018-04-05,5.900000095367432
2018-04-06,5.630000114440918
2018-04-09,5.570000171661377
2018-04-10,6.369999885559082
2018-04-11,6.360000133514404
2018-04-12,6.679999828338623
2018-04-13,7.119999885559082
2018-04-16,7.730000019073486
2018-04-17,7.440000057220459
2018-04-18,7.329999923706055
2018-04-19,7.409999847412109
2018-04-20,7.369999885559082
2018-04-23,7.019999980926514
2018-04-24,7.0
2018-04-25,6.880000114440918
2018-04-26,6.920000076293945
2018-04-27,6.800000190734863
2018-04-30,6.909999847412109
2018-05-01,6.21999979019165
2018-05-02,5.809999942779541
2018-05-03,5.869999885559082
2018-05-04,5.880000114440918
2018-05-07,5.670000076293945
2018-05-08,5.539999961853027
2018-05-09,5.519999980926514
2018-05-10,5.599999904632568
2018-05-11,6.119999885559082
2018-05-14,6.559999942779541
2018-05-15,6.269999980926514
2018-05-16,6.039999961853027
2018-05-17,5.800000190734863
2018-05-18,6.230000019073486
2018-05-21,6.570000171661377
2018-05-22,6.239999771118164
2018-05-23,6.210000038146973
2018-05-24,6.130000114440918
2018-05-25,6.010000228881836
2018-05-29,6.019999980926514
2018-05-30,6.380000114440918
2018-05-31,6.239999771118164
2018-06-01,6.840000152587891
2018-06-04,7.0
2018-06-05,6.989999771118164
2018-06-06,7.929999828338623
2018-06-07,7.659999847412109
2018-06-08,7.230000019073486
2018-06-11,6.960000038146973
2018-06-12,6.769999980926514
2018-06-13,7.119999885559082
2018-06-14,6.929999828338623
2018-06-15,7.019999980926514
2018-06-18,6.78000020980835
2018-06-19,6.860000133514404
2018-06-20,7.21999979019165
2018-06-21,7.670000076293945
2018-06-22,7.239999771118164
2018-06-25,6.900000095367432
2018-06-26,6.789999961853027
2018-06-27,6.179999828338623
2018-06-28,6.420000076293945
2018-06-29,6.519999980926514
2018-07-02,6.960000038146973
2018-07-03,6.78000020980835
2018-07-05,6.96999979019165
2018-07-06,6.960000038146973
2018-07-09,6.949999809265137
2018-07-10,6.980000019073486
2018-07-11,6.96999979019165
2018-07-12,7.050000190734863
2018-07-13,7.059999942779541
2018-07-16,6.730000019073486
2018-07-17,6.920000076293945
2018-07-18,6.78000020980835
2018-07-19,6.829999923706055
2018-07-20,6.539999961853027
2018-07-23,6.460000038146973
2018-07-24,6.269999980926514
2018-07-25,6.289999961853027
2018-07-26,6.139999866485596
2018-07-27,6.230000019073486
2018-07-30,5.920000076293945
2018-07-31,6.050000190734863
2018-08-01,5.78000020980835
2018-08-02,6.019999980926514
2018-08-03,5.860000133514404
2018-08-06,5.880000114440918
2018-08-07,5.71999979019165
2018-08-08,5.769999980926514
2018-08-09,6.099999904632568
2018-08-10,5.960000038146973
2018-08-13,5.829999923706055
2018-08-14,5.650000095367432
2018-08-15,6.380000114440918
2018-08-16,6.320000171661377
2018-08-17,6.539999961853027
2018-08-20,7.320000171661377
2018-08-21,8.289999961853027
2018-08-22,8.15999984741211
2018-08-23,8.539999961853027
2018-08-24,9.9399995803833
2018-08-27,12.039999961853027
2018-08-28,11.079999923706055
2018-08-29,12.739999771118164
2018-08-30,9.119999885559082
2018-08-31,9.880000114440918
2018-09-04,11.149999618530273
2018-09-05,12.449999809265137
2018-09-06,11.619999885559082
2018-09-07,11.989999771118164
2018-09-10,12.100000381469727
2018-09-11,11.989999771118164
2018-09-12,11.270000457763672
2018-09-13,10.109999656677246
2018-09-14,10.380000114440918
2018-09-17,10.180000305175781
2018-09-18,11.5600004196167
2018-09-19,12.6899995803833
2018-09-20,13.75
2018-09-21,12.510000228881836
2018-09-24,11.859999656677246
2018-09-25,11.470000267028809
2018-09-26,11.130000114440918
2018-09-27,10.9399995803833
2018-09-28,11.119999885559082
2018-10-01,11.319999694824219
2018-10-02,10.720000267028809
2018-10-03,10.6899995803833
2018-10-04,10.220000267028809
2018-10-05,9.770000457763672
2018-10-08,9.699999809265137
2018-10-09,9.34000015258789
2018-10-10,9.600000381469727
2018-10-11,9.050000190734863
2018-10-12,9.859999656677246
2018-10-15,11.739999771118164
2018-10-16,11.520000457763672
2018-10-17,10.649999618530273
2018-10-18,10.720000267028809
2018-10-19,9.710000038146973
2018-10-22,8.520000457763672
2018-10-23,8.34000015258789
2018-10-24,7.630000114440918
2018-10-25,8.109999656677246
2018-10-26,7.78000020980835
2018-10-29,6.800000190734863
2018-10-30,7.050000190734863
2018-10-31,7.420000076293945
2018-11-01,7.699999809265137
2018-11-02,8.0600004196167
2018-11-05,8.25
2018-11-06,9.050000190734863
2018-11-07,9.8100004196167
2018-11-08,8.9399995803833
2018-11-09,8.550000190734863
2018-11-12,8.449999809265137
2018-11-13,8.3100004196167
2018-11-14,8.119999885559082
2018-11-15,8.59000015258789
2018-11-16,8.5600004196167
2018-11-19,8.239999771118164
2018-11-20,8.199999809265137
2018-11-21,8.529999732971191
2018-11-23,8.8100004196167
2018-11-26,8.329999923706055
2018-11-27,8.289999961853027
2018-11-28,8.699999809265137
2018-11-29,8.90999984741211
2018-11-30,9.149999618530273
2018-12-03,10.170000076293945
2018-12-04,10.739999771118164
2018-12-06,10.449999809265137
2018-12-07,12.720000267028809
2018-12-10,12.880000114440918
2018-12-11,12.819999694824219
2018-12-12,11.920000076293945
2018-12-13,11.380000114440918
2018-12-14,11.279999732971191
2018-12-17,11.130000114440918
2018-12-18,11.539999961853027
2018-12-19,11.170000076293945
2018-12-20,11.130000114440918
2018-12-21,10.210000038146973
2018-12-24,10.100000381469727
2018-12-26,10.180000305175781
2018-12-27,10.319999694824219
2018-12-28,10.420000076293945
2018-12-31,10.390000343322754
2019-01-02,11.3100004196167
2019-01-03,11.539999961853027
