,ADMP
1995-08-14,892.5
1995-08-15,828.75
1995-08-16,935.0
1995-08-17,956.25
1995-08-18,1020.0
1995-08-21,1105.0
1995-08-22,1083.75
1995-08-23,1062.5
1995-08-24,1147.5
1995-08-25,1126.25
1995-08-28,1105.0
1995-08-29,977.5
1995-08-30,1020.0
1995-08-31,1041.25
1995-09-01,1062.5
1995-09-05,1062.5
1995-09-06,998.75
1995-09-07,913.75
1995-09-08,956.25
1995-09-11,935.0
1995-09-12,956.25
1995-09-13,977.5
1995-09-14,935.0
1995-09-15,977.5
1995-09-18,913.75
1995-09-19,913.75
1995-09-20,956.25
1995-09-21,932.34375
1995-09-22,892.5
1995-09-25,892.5
1995-09-26,892.5
1995-09-27,828.75
1995-09-28,850.0
1995-09-29,850.0
1995-10-02,850.0
1995-10-03,828.75
1995-10-04,828.75
1995-10-05,828.75
1995-10-06,828.75
1995-10-09,828.75
1995-10-10,871.25
1995-10-11,871.25
1995-10-12,850.0
1995-10-13,892.5
1995-10-16,977.5
1995-10-17,956.25
1995-10-18,977.5
1995-10-19,1020.0
1995-10-20,1009.375
1995-10-23,956.25
1995-10-24,913.75
1995-10-25,935.0
1995-10-26,988.125
1995-10-27,1041.25
1995-10-30,1020.0
1995-10-31,998.75
1995-11-01,1041.25
1995-11-02,998.75
1995-11-03,1062.5
1995-11-06,1020.0
1995-11-07,977.5
1995-11-08,913.75
1995-11-09,956.25
1995-11-10,935.0
1995-11-13,935.0
1995-11-14,892.5
1995-11-15,892.5
1995-11-16,892.5
1995-11-17,871.25
1995-11-20,871.25
1995-11-21,871.25
1995-11-22,892.5
1995-11-24,892.5
1995-11-27,871.25
1995-11-28,871.25
1995-11-29,850.0
1995-11-30,807.5
1995-12-01,786.25
1995-12-04,786.25
1995-12-05,807.5
1995-12-06,786.25
1995-12-07,765.0
1995-12-08,765.0
1995-12-11,765.0
1995-12-12,743.75
1995-12-13,786.25
1995-12-14,807.5
1995-12-15,807.5
1995-12-18,807.5
1995-12-19,796.875
1995-12-20,828.75
1995-12-21,850.0
1995-12-22,913.75
1995-12-26,850.0
1995-12-27,871.25
1995-12-28,892.5
1995-12-29,871.25
1996-01-02,892.5
1996-01-03,913.75
1996-01-04,913.75
1996-01-05,871.25
1996-01-08,892.5
1996-01-09,913.75
1996-01-10,871.25
1996-01-11,913.75
1996-01-12,892.5
1996-01-15,980.15625
1996-01-16,1020.0
1996-01-17,1020.0
1996-01-18,935.0
1996-01-19,935.0
1996-01-22,998.75
1996-01-23,998.75
1996-01-24,956.25
1996-01-25,913.75
1996-01-26,913.75
1996-01-29,913.75
1996-01-30,913.75
1996-01-31,913.75
1996-02-01,956.25
1996-02-02,913.75
1996-02-05,956.25
1996-02-06,913.75
1996-02-07,1030.625
1996-02-08,1020.0
1996-02-09,1147.5
1996-02-12,1062.5
1996-02-13,1009.375
1996-02-14,977.5
1996-02-15,977.5
1996-02-16,1020.0
1996-02-20,998.75
1996-02-21,1041.25
1996-02-22,1083.75
1996-02-23,1083.75
1996-02-26,1020.0
1996-02-27,1020.0
1996-02-28,1020.0
1996-02-29,998.75
1996-03-01,956.25
1996-03-04,913.75
1996-03-05,935.0
1996-03-06,935.0
1996-03-07,935.0
1996-03-08,913.75
1996-03-11,913.75
1996-03-12,935.0
1996-03-13,935.0
1996-03-14,977.5
1996-03-15,977.5
1996-03-18,913.75
1996-03-19,935.0
1996-03-20,892.5
1996-03-21,913.75
1996-03-22,956.25
1996-03-25,977.5
1996-03-26,935.0
1996-03-27,935.0
1996-03-28,956.25
1996-03-29,956.25
1996-04-01,977.5
1996-04-02,1083.75
1996-04-03,1062.5
1996-04-04,1126.25
1996-04-08,1126.25
1996-04-09,1126.25
1996-04-10,1041.25
1996-04-11,1041.25
1996-04-12,1041.25
1996-04-15,1105.0
1996-04-16,1105.0
1996-04-17,1083.75
1996-04-18,1062.5
1996-04-19,1083.75
1996-04-22,1062.5
1996-04-23,1062.5
1996-04-24,1062.5
1996-04-25,1083.75
1996-04-26,1083.75
1996-04-29,1083.75
1996-04-30,1062.5
1996-05-01,1083.75
1996-05-02,1105.0
1996-05-03,1105.0
1996-05-06,1062.5
1996-05-07,1041.25
1996-05-08,1020.0
1996-05-09,1020.0
1996-05-10,977.5
1996-05-13,1014.6875
1996-05-14,1020.0
1996-05-15,1041.25
1996-05-16,1211.25
1996-05-17,1211.25
1996-05-20,1232.5
1996-05-21,1168.75
1996-05-22,1232.5
1996-05-23,1487.5
1996-05-24,1445.0
1996-05-28,1530.0
1996-05-29,1381.25
1996-05-30,1487.5
1996-05-31,1487.5
1996-06-03,1445.0
1996-06-04,1530.0
1996-06-05,1508.75
1996-06-06,1530.0
1996-06-07,1551.25
1996-06-10,1551.25
1996-06-11,1445.0
1996-06-12,1508.75
1996-06-13,1508.75
1996-06-14,1466.25
1996-06-17,1487.5
1996-06-18,1445.0
1996-06-19,1445.0
1996-06-20,1445.0
1996-06-21,1402.5
1996-06-24,1402.5
1996-06-25,1503.4375
1996-06-26,1360.0
1996-06-27,1423.75
1996-06-28,1530.0
1996-07-01,1423.75
1996-07-02,1466.25
1996-07-03,1413.125
1996-07-05,1381.25
1996-07-08,1338.75
1996-07-09,1232.5
1996-07-10,1232.5
1996-07-11,1020.0
1996-07-12,1062.5
1996-07-15,956.25
1996-07-16,935.0
1996-07-17,977.5
1996-07-18,1009.375
1996-07-19,977.5
1996-07-22,977.5
1996-07-23,956.25
1996-07-24,935.0
1996-07-25,828.75
1996-07-26,892.5
1996-07-29,935.0
1996-07-30,935.0
1996-07-31,913.75
1996-08-01,807.5
1996-08-02,892.5
1996-08-05,871.25
1996-08-06,892.5
1996-08-07,850.0
1996-08-08,892.5
1996-08-09,871.25
1996-08-12,850.0
1996-08-13,871.25
1996-08-14,850.0
1996-08-15,892.5
1996-08-16,860.625
1996-08-19,871.25
1996-08-20,892.5
1996-08-21,892.5
1996-08-22,913.75
1996-08-23,998.75
1996-08-26,945.625
1996-08-27,956.25
1996-08-28,998.75
1996-08-29,988.125
1996-08-30,988.125
1996-09-03,988.125
1996-09-04,977.5
1996-09-05,956.25
1996-09-06,1041.25
1996-09-09,1083.75
1996-09-10,1073.125
1996-09-11,1062.5
1996-09-12,998.75
1996-09-13,998.75
1996-09-16,998.75
1996-09-17,956.25
1996-09-18,977.5
1996-09-19,977.5
1996-09-20,977.5
1996-09-23,977.5
1996-09-24,977.5
1996-09-25,998.75
1996-09-26,1009.375
1996-09-27,1009.375
1996-09-30,998.75
1996-10-01,1009.375
1996-10-02,977.5
1996-10-03,966.875
1996-10-04,966.875
1996-10-07,956.25
1996-10-08,913.75
1996-10-09,913.75
1996-10-10,956.25
1996-10-11,956.25
1996-10-14,956.25
1996-10-15,935.0
1996-10-16,977.5
1996-10-17,892.5
1996-10-18,913.75
1996-10-21,850.0
1996-10-22,850.0
1996-10-23,850.0
1996-10-24,807.5
1996-10-25,839.375
1996-10-28,807.5
1996-10-29,786.25
1996-10-30,786.25
1996-10-31,828.75
1996-11-01,828.75
1996-11-04,828.75
1996-11-05,850.0
1996-11-06,786.25
1996-11-07,796.875
1996-11-08,828.75
1996-11-11,786.25
1996-11-12,850.0
1996-11-13,828.75
1996-11-14,828.75
1996-11-15,765.0
1996-11-18,826.09375
1996-11-19,765.0
1996-11-20,775.625
1996-11-21,807.5
1996-11-22,828.75
1996-11-25,796.875
1996-11-26,807.5
1996-11-27,807.5
1996-11-29,786.25
1996-12-02,807.5
1996-12-03,786.25
1996-12-04,807.5
1996-12-05,828.75
1996-12-06,786.25
1996-12-09,765.0
1996-12-10,765.0
1996-12-11,765.0
1996-12-12,850.0
1996-12-13,850.0
1996-12-16,765.0
1996-12-17,765.0
1996-12-18,743.75
1996-12-19,743.75
1996-12-20,765.0
1996-12-23,786.25
1996-12-24,765.0
1996-12-26,765.0
1996-12-27,765.0
1996-12-30,765.0
1996-12-31,765.0
1997-01-02,807.5
1997-01-03,807.5
1997-01-06,828.75
1997-01-07,828.75
1997-01-08,850.0
1997-01-09,871.25
1997-01-10,850.0
1997-01-13,807.5
1997-01-14,850.0
1997-01-15,807.5
1997-01-16,850.0
1997-01-17,807.5
1997-01-20,850.0
1997-01-21,807.5
1997-01-22,807.5
1997-01-23,807.5
1997-01-24,807.5
1997-01-27,850.0
1997-01-28,786.25
1997-01-29,786.25
1997-01-30,807.5
1997-01-31,815.46875
1997-02-03,850.0
1997-02-04,807.5
1997-02-05,786.25
1997-02-06,786.25
1997-02-07,828.75
1997-02-10,765.0
1997-02-11,828.75
1997-02-12,775.625
1997-02-13,775.625
1997-02-14,786.25
1997-02-18,807.5
1997-02-19,722.5
1997-02-20,743.75
1997-02-21,727.8125
1997-02-24,786.25
1997-02-25,743.75
1997-02-26,765.0
1997-02-27,743.75
1997-02-28,743.75
1997-03-03,743.75
1997-03-04,754.375
1997-03-05,765.0
1997-03-06,786.25
1997-03-07,786.25
1997-03-10,722.5
1997-03-11,722.5
1997-03-12,701.25
1997-03-13,765.0
1997-03-14,743.75
1997-03-17,722.5
1997-03-18,765.0
1997-03-19,765.0
1997-03-20,743.75
