,APR
2021-02-11,23.360000610351562
2021-02-12,20.989999771118164
2021-02-16,21.600000381469727
2021-02-17,21.149999618530273
2021-02-18,20.75
2021-02-19,21.139999389648438
2021-02-22,21.850000381469727
2021-02-23,21.299999237060547
2021-02-24,21.31999969482422
2021-02-25,22.690000534057617
2021-02-26,21.540000915527344
2021-03-01,20.440000534057617
2021-03-02,21.56999969482422
2021-03-03,21.760000228881836
2021-03-04,22.149999618530273
2021-03-05,21.59000015258789
2021-03-08,21.600000381469727
2021-03-09,21.700000762939453
2021-03-10,22.25
2021-03-11,22.540000915527344
2021-03-12,22.84000015258789
2021-03-15,23.31999969482422
2021-03-16,23.6299991607666
2021-03-17,23.920000076293945
2021-03-18,24.510000228881836
2021-03-19,24.200000762939453
2021-03-22,23.25
2021-03-23,22.540000915527344
2021-03-24,22.709999084472656
2021-03-25,22.239999771118164
2021-03-26,22.489999771118164
2021-03-29,25.010000228881836
2021-03-30,25.6299991607666
2021-03-31,27.93000030517578
2021-04-01,28.360000610351562
2021-04-05,29.899999618530273
2021-04-06,31.479999542236328
2021-04-07,29.15999984741211
2021-04-08,29.639999389648438
2021-04-09,30.809999465942383
2021-04-12,29.850000381469727
2021-04-13,29.979999542236328
2021-04-14,29.850000381469727
2021-04-15,29.860000610351562
2021-04-16,29.850000381469727
2021-04-19,29.56999969482422
2021-04-20,28.25
2021-04-21,30.329999923706055
2021-04-22,30.049999237060547
2021-04-23,29.920000076293945
2021-04-26,29.600000381469727
2021-04-27,29.950000762939453
2021-04-28,30.43000030517578
2021-04-29,31.219999313354492
2021-04-30,29.950000762939453
2021-05-03,29.209999084472656
2021-05-04,29.600000381469727
2021-05-05,29.290000915527344
2021-05-06,27.469999313354492
2021-05-07,28.059999465942383
2021-05-10,28.530000686645508
2021-05-11,28.719999313354492
2021-05-12,29.1200008392334
2021-05-13,28.34000015258789
2021-05-14,29.040000915527344
