,CRKN
2021-01-08,4.800000190734863
2021-01-11,4.25
2021-01-12,3.549999952316284
2021-01-13,3.549999952316284
2021-01-14,3.549999952316284
2021-01-15,3.549999952316284
2021-01-19,5.25
2021-01-20,5.400000095367432
2021-01-21,5.5
2021-01-22,5.75
2021-01-25,7.0
2021-01-26,4.650000095367432
2021-01-27,4.389999866485596
2021-01-28,4.940000057220459
2021-01-29,5.440000057220459
2021-02-01,5.03000020980835
2021-02-02,5.079999923706055
2021-02-03,5.099999904632568
2021-02-04,5.010000228881836
2021-02-05,4.949999809265137
2021-02-08,4.980000019073486
2021-02-09,5.480000019073486
2021-02-10,5.550000190734863
2021-02-11,5.480000019073486
2021-02-12,5.65500020980835
2021-02-16,5.599999904632568
2021-02-17,5.429999828338623
2021-02-18,5.550000190734863
2021-02-19,5.489999771118164
2021-02-22,5.340000152587891
2021-02-23,5.0
2021-02-24,5.130000114440918
2021-02-25,4.739999771118164
2021-02-26,4.25
2021-03-01,4.800000190734863
2021-03-02,4.5
2021-03-03,4.320000171661377
2021-03-04,3.990000009536743
2021-03-05,4.21999979019165
2021-03-08,4.25
2021-03-09,4.510000228881836
2021-03-10,4.510000228881836
2021-03-11,4.889999866485596
2021-03-12,5.440000057220459
2021-03-15,5.199999809265137
2021-03-16,5.059999942779541
2021-03-17,4.760000228881836
2021-03-18,4.800000190734863
2021-03-19,4.96999979019165
2021-03-22,4.789999961853027
2021-03-23,4.650000095367432
2021-03-24,4.71999979019165
2021-03-25,4.449999809265137
2021-03-26,4.5
2021-03-29,4.5
2021-03-30,4.269999980926514
2021-03-31,4.309999942779541
2021-04-01,4.610000133514404
2021-04-05,4.300000190734863
2021-04-06,4.28000020980835
2021-04-07,4.25
2021-04-08,4.170000076293945
2021-04-09,4.150000095367432
2021-04-12,3.880000114440918
2021-04-13,3.880000114440918
2021-04-14,3.799999952316284
2021-04-15,3.690000057220459
2021-04-16,3.609999895095825
2021-04-19,3.430000066757202
2021-04-20,3.2200000286102295
2021-04-21,3.5
2021-04-22,3.4700000286102295
2021-04-23,3.380000114440918
2021-04-26,3.8299999237060547
2021-04-27,4.360000133514404
2021-04-28,4.079999923706055
2021-04-29,4.110000133514404
2021-04-30,4.03000020980835
2021-05-03,3.9700000286102295
2021-05-04,4.389999866485596
2021-05-05,4.309999942779541
2021-05-06,4.159999847412109
2021-05-07,4.21999979019165
2021-05-10,4.0
2021-05-11,3.940000057220459
2021-05-12,3.7899999618530273
2021-05-13,3.700000047683716
2021-05-14,3.6500000953674316
