,SOI
2017-05-12,11.550000190734863
2017-05-15,11.75
2017-05-16,12.029999732971191
2017-05-17,12.039999961853027
2017-05-18,12.0
2017-05-19,11.850000381469727
2017-05-22,11.829999923706055
2017-05-23,11.850000381469727
2017-05-24,12.0
2017-05-25,12.0
2017-05-26,11.979999542236328
2017-05-30,11.869999885559082
2017-05-31,11.5
2017-06-01,11.699999809265137
2017-06-02,11.670000076293945
2017-06-05,11.5600004196167
2017-06-06,11.539999961853027
2017-06-07,10.359999656677246
2017-06-08,10.039999961853027
2017-06-09,9.970000267028809
2017-06-12,10.390000343322754
2017-06-13,11.34000015258789
2017-06-14,11.15999984741211
2017-06-15,11.130000114440918
2017-06-16,11.25
2017-06-19,11.260000228881836
2017-06-20,10.710000038146973
2017-06-21,10.899999618530273
2017-06-22,10.3100004196167
2017-06-23,10.729999542236328
2017-06-26,10.739999771118164
2017-06-27,11.100000381469727
2017-06-28,11.430000305175781
2017-06-29,11.770000457763672
2017-06-30,11.529999732971191
2017-07-03,11.619999885559082
2017-07-05,11.380000114440918
2017-07-06,11.609999656677246
2017-07-07,11.59000015258789
2017-07-10,11.979999542236328
2017-07-11,12.0
2017-07-12,11.710000038146973
2017-07-13,11.949999809265137
2017-07-14,12.09000015258789
2017-07-17,12.930000305175781
2017-07-18,12.880000114440918
2017-07-19,13.859999656677246
2017-07-20,12.710000038146973
2017-07-21,12.760000228881836
2017-07-24,12.720000267028809
2017-07-25,12.289999961853027
2017-07-26,12.779999732971191
2017-07-27,12.9399995803833
2017-07-28,13.100000381469727
2017-07-31,13.050000190734863
2017-08-01,12.859999656677246
2017-08-02,12.569999694824219
2017-08-03,12.65999984741211
2017-08-04,13.4399995803833
2017-08-07,13.420000076293945
2017-08-08,12.989999771118164
2017-08-09,12.710000038146973
2017-08-10,12.119999885559082
2017-08-11,11.829999923706055
2017-08-14,12.300000190734863
2017-08-15,12.140000343322754
2017-08-16,12.390000343322754
2017-08-17,12.270000457763672
2017-08-18,12.8100004196167
2017-08-21,13.25
2017-08-22,13.489999771118164
2017-08-23,13.289999961853027
2017-08-24,13.539999961853027
2017-08-25,13.270000457763672
2017-08-28,13.229999542236328
2017-08-29,13.449999809265137
2017-08-30,13.729999542236328
2017-08-31,14.15999984741211
2017-09-01,14.430000305175781
2017-09-05,14.75
2017-09-06,15.619999885559082
2017-09-07,14.84000015258789
2017-09-08,14.319999694824219
2017-09-11,15.149999618530273
2017-09-12,15.979999542236328
2017-09-13,16.079999923706055
2017-09-14,15.699999809265137
2017-09-15,15.960000038146973
2017-09-18,16.389999389648438
2017-09-19,16.06999969482422
2017-09-20,16.290000915527344
2017-09-21,16.1299991607666
