,FGEN
2015-08-04,23.799999237060547
2015-08-05,23.610000610351562
2015-08-06,22.09000015258789
2015-08-07,22.18000030517578
2015-08-10,22.600000381469727
2015-08-11,21.979999542236328
2015-08-12,22.3799991607666
2015-08-13,22.18000030517578
2015-08-14,25.899999618530273
2015-08-17,25.510000228881836
2015-08-18,24.770000457763672
2015-08-19,24.8799991607666
2015-08-20,23.850000381469727
2015-08-21,22.959999084472656
2015-08-24,21.799999237060547
2015-08-25,22.639999389648438
2015-08-26,23.040000915527344
2015-08-27,23.84000015258789
2015-08-28,24.579999923706055
2015-08-31,24.5
2015-09-01,22.84000015258789
2015-09-02,23.540000915527344
2015-09-03,22.6299991607666
2015-09-04,23.170000076293945
2015-09-08,26.239999771118164
2015-09-09,26.1299991607666
2015-09-10,28.0
2015-09-11,27.700000762939453
2015-09-14,28.030000686645508
2015-09-15,28.239999771118164
2015-09-16,27.959999084472656
2015-09-17,29.309999465942383
2015-09-18,29.760000228881836
2015-09-21,27.860000610351562
2015-09-22,27.690000534057617
2015-09-23,27.950000762939453
2015-09-24,26.600000381469727
2015-09-25,24.68000030517578
2015-09-28,22.889999389648438
2015-09-29,21.65999984741211
2015-09-30,21.920000076293945
2015-10-01,21.6299991607666
2015-10-02,22.5
2015-10-05,22.579999923706055
2015-10-06,21.389999389648438
2015-10-07,21.770000457763672
2015-10-08,21.549999237060547
2015-10-09,21.770000457763672
2015-10-12,21.3799991607666
2015-10-13,20.530000686645508
2015-10-14,20.709999084472656
2015-10-15,22.31999969482422
2015-10-16,21.8700008392334
2015-10-19,25.469999313354492
2015-10-20,23.8700008392334
2015-10-21,23.43000030517578
2015-10-22,21.690000534057617
2015-10-23,22.34000015258789
2015-10-26,22.059999465942383
2015-10-27,23.100000381469727
2015-10-28,24.770000457763672
2015-10-29,23.639999389648438
2015-10-30,23.309999465942383
2015-11-02,24.889999389648438
2015-11-03,26.760000228881836
2015-11-04,26.770000457763672
2015-11-05,25.549999237060547
2015-11-06,25.450000762939453
2015-11-09,26.450000762939453
2015-11-10,27.040000915527344
2015-11-11,25.290000915527344
2015-11-12,25.260000228881836
2015-11-13,26.200000762939453
2015-11-16,26.239999771118164
2015-11-17,27.899999618530273
2015-11-18,27.479999542236328
2015-11-19,26.790000915527344
2015-11-20,27.389999389648438
2015-11-23,28.3700008392334
2015-11-24,29.700000762939453
2015-11-25,29.520000457763672
2015-11-27,29.719999313354492
2015-11-30,29.739999771118164
2015-12-01,29.8799991607666
2015-12-02,30.200000762939453
2015-12-03,29.850000381469727
2015-12-04,30.3700008392334
2015-12-07,29.540000915527344
2015-12-08,30.729999542236328
2015-12-09,28.8700008392334
2015-12-10,30.649999618530273
2015-12-11,28.8700008392334
2015-12-14,29.09000015258789
2015-12-15,29.469999313354492
2015-12-16,30.780000686645508
2015-12-17,30.6299991607666
2015-12-18,29.149999618530273
2015-12-21,29.8700008392334
2015-12-22,29.600000381469727
2015-12-23,31.209999084472656
2015-12-24,30.959999084472656
2015-12-28,30.079999923706055
2015-12-29,31.360000610351562
2015-12-30,31.049999237060547
2015-12-31,30.469999313354492
2016-01-04,30.5
2016-01-05,30.06999969482422
2016-01-06,27.06999969482422
2016-01-07,27.06999969482422
2016-01-08,26.0
2016-01-11,25.079999923706055
2016-01-12,24.739999771118164
2016-01-13,23.31999969482422
2016-01-14,24.0
2016-01-15,22.530000686645508
2016-01-19,21.420000076293945
2016-01-20,21.520000457763672
2016-01-21,20.450000762939453
2016-01-22,20.920000076293945
2016-01-25,21.200000762939453
2016-01-26,20.549999237060547
2016-01-27,19.280000686645508
2016-01-28,18.969999313354492
2016-01-29,20.280000686645508
2016-02-01,19.459999084472656
2016-02-02,18.479999542236328
2016-02-03,18.360000610351562
2016-02-04,17.540000915527344
2016-02-05,16.639999389648438
2016-02-08,14.760000228881836
2016-02-09,15.329999923706055
2016-02-10,15.079999923706055
2016-02-11,17.190000534057617
2016-02-12,17.700000762939453
2016-02-16,18.559999465942383
2016-02-17,19.809999465942383
2016-02-18,19.309999465942383
2016-02-19,19.799999237060547
2016-02-22,19.389999389648438
2016-02-23,17.979999542236328
2016-02-24,18.510000228881836
2016-02-25,18.260000228881836
2016-02-26,18.190000534057617
2016-02-29,17.329999923706055
2016-03-01,18.0
2016-03-02,18.479999542236328
2016-03-03,18.770000457763672
2016-03-04,19.56999969482422
2016-03-07,20.280000686645508
2016-03-08,18.530000686645508
2016-03-09,18.5
2016-03-10,17.829999923706055
2016-03-11,18.600000381469727
2016-03-14,19.479999542236328
2016-03-15,17.43000030517578
2016-03-16,17.079999923706055
2016-03-17,16.479999542236328
2016-03-18,17.6299991607666
2016-03-21,18.579999923706055
2016-03-22,19.1200008392334
2016-03-23,18.81999969482422
2016-03-24,19.209999084472656
2016-03-28,19.020000457763672
2016-03-29,19.90999984741211
2016-03-30,20.6200008392334
