,AIQ
2018-05-16,15.03600025177002
2018-05-17,15.100000381469727
2018-05-18,14.984000205993652
2018-05-21,15.015000343322754
2018-05-22,14.949999809265137
2018-05-23,15.020000457763672
2018-05-24,15.0600004196167
2018-05-25,15.029999732971191
2018-05-29,14.869999885559082
2018-05-30,15.050000190734863
2018-05-31,15.005999565124512
2018-06-01,15.239999771118164
2018-06-04,15.444999694824219
2018-06-05,15.562000274658203
2018-06-06,15.65999984741211
2018-06-07,15.510000228881836
2018-06-08,15.550000190734863
2018-06-11,15.630000114440918
2018-06-12,15.640000343322754
2018-06-13,15.680999755859375
2018-06-14,15.800000190734863
2018-06-15,15.75
2018-06-18,15.75
2018-06-19,15.640000343322754
2018-06-20,15.680000305175781
2018-06-21,15.494999885559082
2018-06-22,15.40999984741211
2018-06-25,14.973999977111816
2018-06-26,15.0649995803833
2018-06-27,14.710000038146973
2018-06-28,14.944999694824219
2018-06-29,14.979999542236328
2018-07-02,15.001999855041504
2018-07-03,15.050000190734863
2018-07-05,15.199999809265137
2018-07-06,15.413999557495117
2018-07-09,15.539999961853027
2018-07-10,15.59000015258789
2018-07-11,15.484999656677246
2018-07-12,15.779999732971191
2018-07-13,15.788000106811523
2018-07-16,15.75
2018-07-17,15.767000198364258
2018-07-18,15.791999816894531
2018-07-19,15.680000305175781
2018-07-20,15.640000343322754
2018-07-23,15.640000343322754
2018-07-24,15.5600004196167
2018-07-25,15.800000190734863
2018-07-26,15.664999961853027
2018-07-27,15.347999572753906
2018-07-30,15.020000457763672
2018-07-31,15.036999702453613
2018-08-01,15.029999732971191
2018-08-02,15.138999938964844
2018-08-03,15.170000076293945
2018-08-06,15.204000473022461
2018-08-07,15.33899974822998
2018-08-08,15.329999923706055
2018-08-09,15.380000114440918
2018-08-10,15.279999732971191
2018-08-13,15.25
2018-08-14,15.293999671936035
2018-08-15,15.083999633789062
2018-08-16,15.14799976348877
2018-08-17,15.199999809265137
2018-08-20,15.260000228881836
2018-08-21,15.345000267028809
2018-08-22,15.34000015258789
2018-08-23,15.430000305175781
2018-08-24,15.670999526977539
2018-08-27,15.819999694824219
2018-08-28,15.866999626159668
2018-08-29,16.040000915527344
2018-08-30,15.880000114440918
2018-08-31,15.829999923706055
2018-09-04,15.859999656677246
2018-09-05,15.600000381469727
2018-09-06,15.407999992370605
2018-09-07,15.494000434875488
2018-09-10,15.5600004196167
2018-09-11,15.62600040435791
2018-09-12,15.70300006866455
2018-09-13,15.800000190734863
2018-09-14,15.887999534606934
2018-09-17,15.609999656677246
2018-09-18,15.739999771118164
2018-09-19,15.670000076293945
2018-09-20,15.814000129699707
2018-09-21,15.8149995803833
2018-09-24,15.779999732971191
2018-09-25,15.850000381469727
2018-09-26,15.899999618530273
2018-09-27,15.899999618530273
2018-09-28,15.833000183105469
2018-10-01,15.866000175476074
2018-10-02,15.62600040435791
2018-10-03,15.739999771118164
2018-10-04,15.39900016784668
2018-10-05,15.3100004196167
2018-10-08,15.130000114440918
2018-10-09,14.994999885559082
2018-10-10,14.300000190734863
2018-10-11,14.177000045776367
2018-10-12,14.574999809265137
2018-10-15,14.454999923706055
2018-10-16,14.819999694824219
2018-10-17,14.859999656677246
2018-10-18,14.4399995803833
2018-10-19,14.3100004196167
2018-10-22,14.40999984741211
2018-10-23,14.338000297546387
2018-10-24,13.529999732971191
2018-10-25,13.90999984741211
2018-10-26,13.631999969482422
2018-10-29,13.180000305175781
2018-10-30,13.46500015258789
2018-10-31,13.90999984741211
2018-11-01,14.15999984741211
2018-11-02,14.0600004196167
2018-11-05,13.991000175476074
2018-11-06,14.050000190734863
2018-11-07,14.5
2018-11-08,14.317999839782715
2018-11-09,14.100000381469727
2018-11-12,13.684000015258789
2018-11-13,13.826000213623047
2018-11-14,13.760000228881836
2018-11-15,13.98799991607666
2018-11-16,13.90999984741211
2018-11-19,13.229999542236328
2018-11-20,13.11299991607666
2018-11-21,13.380000114440918
2018-11-23,13.369999885559082
2018-11-26,13.65999984741211
2018-11-27,13.59000015258789
2018-11-28,14.069999694824219
2018-11-29,14.09000015258789
2018-11-30,14.199999809265137
2018-12-03,14.5
2018-12-04,13.90999984741211
2018-12-06,13.871999740600586
2018-12-07,13.630000114440918
2018-12-10,13.739999771118164
2018-12-11,13.859999656677246
2018-12-12,14.109999656677246
2018-12-13,13.920000076293945
2018-12-14,13.663000106811523
2018-12-17,13.1899995803833
2018-12-18,13.359000205993652
2018-12-19,13.145000457763672
2018-12-20,12.890000343322754
2018-12-21,12.5649995803833
2018-12-24,12.246000289916992
2018-12-26,12.760000228881836
2018-12-27,12.630000114440918
2018-12-28,12.84000015258789
2018-12-31,12.859999656677246
2019-01-02,13.010000228881836
2019-01-03,12.670000076293945
2019-01-04,13.180000305175781
2019-01-07,13.430000305175781
2019-01-08,13.5600004196167
2019-01-09,13.694999694824219
2019-01-10,13.770000457763672
2019-01-11,13.789999961853027
2019-01-14,13.670000076293945
2019-01-15,13.880000114440918
2019-01-16,13.869999885559082
2019-01-17,13.970000267028809
2019-01-18,14.180000305175781
2019-01-22,13.920000076293945
2019-01-23,13.9399995803833
2019-01-24,14.079999923706055
2019-01-25,14.34000015258789
2019-01-28,14.223999977111816
2019-01-29,14.029999732971191
2019-01-30,14.359999656677246
2019-01-31,14.550000190734863
2019-02-01,14.647000312805176
2019-02-04,14.810999870300293
2019-02-05,14.98900032043457
2019-02-06,14.979999542236328
2019-02-07,14.687999725341797
2019-02-08,14.730999946594238
2019-02-11,14.869999885559082
2019-02-12,15.050000190734863
2019-02-13,15.015000343322754
