,CTSH
1998-06-19,0.20833300054073334
1998-06-22,0.20833300054073334
1998-06-23,0.20833300054073334
1998-06-24,0.21354199945926666
1998-06-25,0.234375
1998-06-26,0.25260400772094727
1998-06-29,0.2591150104999542
1998-06-30,0.25130200386047363
1998-07-01,0.24739600718021393
1998-07-02,0.25
1998-07-06,0.25260400772094727
1998-07-07,0.25130200386047363
1998-07-08,0.25260400772094727
1998-07-09,0.29427099227905273
1998-07-10,0.29947900772094727
1998-07-13,0.2877599895000458
1998-07-14,0.31510400772094727
1998-07-15,0.33333298563957214
1998-07-16,0.32552099227905273
1998-07-17,0.3359380066394806
1998-07-20,0.3515630066394806
1998-07-21,0.37239599227905273
1998-07-22,0.36197900772094727
1998-07-23,0.3515630066394806
1998-07-24,0.3359380066394806
1998-07-27,0.3359380066394806
1998-07-28,0.3203130066394806
1998-07-29,0.33333298563957214
1998-07-30,0.34114599227905273
1998-07-31,0.33333298563957214
1998-08-03,0.33072900772094727
1998-08-04,0.3320310115814209
1998-08-05,0.34505200386047363
1998-08-06,0.3346349895000458
1998-08-07,0.35416701436042786
1998-08-10,0.3554689884185791
1998-08-11,0.3515630066394806
1998-08-12,0.35677099227905273
1998-08-13,0.36458298563957214
1998-08-14,0.37239599227905273
1998-08-17,0.36197900772094727
1998-08-18,0.39583298563957214
1998-08-19,0.390625
1998-08-20,0.3828130066394806
1998-08-21,0.375
1998-08-24,0.37239599227905273
1998-08-25,0.39322900772094727
1998-08-26,0.3658849895000458
1998-08-27,0.328125
1998-08-28,0.32291701436042786
1998-08-31,0.25
1998-09-01,0.3125
1998-09-02,0.30989599227905273
1998-09-03,0.296875
1998-09-04,0.30208298563957214
1998-09-08,0.33854201436042786
1998-09-09,0.32682299613952637
1998-09-10,0.3242189884185791
1998-09-11,0.3242189884185791
1998-09-14,0.328125
1998-09-15,0.31770798563957214
1998-09-16,0.3125
1998-09-17,0.3059900104999542
1998-09-18,0.30989599227905273
1998-09-21,0.32291701436042786
1998-09-22,0.31510400772094727
1998-09-23,0.33333298563957214
1998-09-24,0.3203130066394806
