,AMCX
2011-06-16,35.4900016784668
2011-06-17,35.04999923706055
2011-06-20,34.95000076293945
2011-06-21,35.0
2011-06-22,35.540000915527344
2011-06-23,35.0
2011-06-24,35.54999923706055
2011-06-27,36.209999084472656
2011-06-28,37.5
2011-06-29,39.90999984741211
2011-06-30,43.5
2011-07-01,39.849998474121094
2011-07-05,38.529998779296875
2011-07-06,38.779998779296875
2011-07-07,39.52000045776367
2011-07-08,38.540000915527344
2011-07-11,37.060001373291016
2011-07-12,37.04999923706055
2011-07-13,37.0099983215332
2011-07-14,37.25
2011-07-15,37.09000015258789
2011-07-18,36.459999084472656
2011-07-19,36.970001220703125
2011-07-20,37.31999969482422
2011-07-21,38.290000915527344
2011-07-22,37.5099983215332
2011-07-25,37.630001068115234
2011-07-26,37.619998931884766
2011-07-27,37.349998474121094
2011-07-28,37.45000076293945
2011-07-29,37.189998626708984
2011-08-01,37.29999923706055
2011-08-02,37.0099983215332
2011-08-03,36.13999938964844
2011-08-04,35.040000915527344
2011-08-05,35.220001220703125
2011-08-08,30.709999084472656
2011-08-09,31.059999465942383
2011-08-10,30.280000686645508
2011-08-11,34.310001373291016
2011-08-12,33.66999816894531
2011-08-15,33.97999954223633
2011-08-16,34.54999923706055
2011-08-17,34.4900016784668
2011-08-18,32.959999084472656
2011-08-19,33.04999923706055
2011-08-22,32.22999954223633
2011-08-23,33.060001373291016
2011-08-24,33.720001220703125
2011-08-25,33.2599983215332
2011-08-26,34.29999923706055
2011-08-29,34.81999969482422
2011-08-30,36.4900016784668
2011-08-31,37.0
2011-09-01,35.939998626708984
2011-09-02,34.02000045776367
2011-09-06,32.869998931884766
2011-09-07,33.970001220703125
2011-09-08,33.40999984741211
2011-09-09,32.97999954223633
2011-09-12,32.79999923706055
2011-09-13,33.83000183105469
2011-09-14,36.25
2011-09-15,36.33000183105469
2011-09-16,36.349998474121094
2011-09-19,36.459999084472656
2011-09-20,35.9900016784668
2011-09-21,35.47999954223633
2011-09-22,34.0099983215332
2011-09-23,34.099998474121094
2011-09-26,34.40999984741211
2011-09-27,34.029998779296875
2011-09-28,33.40999984741211
2011-09-29,33.189998626708984
2011-09-30,31.950000762939453
2011-10-03,31.459999084472656
2011-10-04,30.989999771118164
2011-10-05,31.0
2011-10-06,32.70000076293945
2011-10-07,32.630001068115234
2011-10-10,33.11000061035156
2011-10-11,32.81999969482422
2011-10-12,31.5
2011-10-13,31.5
2011-10-14,32.54999923706055
2011-10-17,32.7400016784668
2011-10-18,33.59000015258789
2011-10-19,34.060001373291016
2011-10-20,33.689998626708984
2011-10-21,33.84000015258789
2011-10-24,34.09000015258789
2011-10-25,33.08000183105469
2011-10-26,33.349998474121094
2011-10-27,34.0
2011-10-28,33.4900016784668
2011-10-31,32.619998931884766
