,ARKO
2019-07-23,9.899999618530273
2019-07-24,9.9399995803833
2019-07-25,9.894000053405762
2019-07-26,9.894000053405762
2019-07-29,9.894000053405762
2019-07-30,9.939000129699707
2019-07-31,9.939000129699707
2019-08-01,9.939000129699707
2019-08-02,9.939000129699707
2019-08-05,9.939000129699707
2019-08-06,9.850000381469727
2019-08-07,9.850000381469727
2019-08-08,9.850000381469727
2019-08-09,9.850000381469727
2019-08-12,9.949999809265137
2019-08-13,9.949999809265137
2019-08-14,9.949999809265137
2019-08-15,9.949999809265137
2019-08-16,9.949999809265137
2019-08-19,9.949999809265137
2019-08-20,9.949999809265137
2019-08-21,9.9399995803833
2019-08-22,9.9399995803833
2019-08-23,9.9399995803833
2019-08-26,9.9399995803833
2019-08-27,9.9399995803833
2019-08-28,9.9399995803833
2019-08-29,9.9399995803833
2019-08-30,9.9399995803833
2019-09-03,9.829999923706055
2019-09-04,9.829999923706055
2019-09-05,9.930000305175781
2019-09-06,9.930000305175781
2019-09-09,9.930000305175781
2019-09-10,9.899999618530273
2019-09-11,16.65999984741211
2019-09-12,16.579999923706055
2019-09-13,16.8799991607666
2019-09-16,16.309999465942383
2019-09-17,16.139999389648438
2019-09-18,16.219999313354492
2019-09-19,16.149999618530273
2019-09-20,16.209999084472656
2019-09-23,16.43000030517578
2019-09-24,16.09000015258789
2019-09-25,16.200000762939453
2019-09-26,15.829999923706055
2019-09-27,9.90999984741211
2019-09-30,9.899999618530273
2019-10-01,9.899999618530273
2019-10-02,9.899999618530273
2019-10-03,9.90999984741211
2019-10-04,9.90999984741211
2019-10-07,9.90999984741211
2019-10-08,9.930000305175781
2019-10-09,9.930000305175781
2019-10-10,9.899999618530273
2019-10-11,9.899999618530273
2019-10-14,9.850000381469727
2019-10-15,9.850000381469727
2019-10-16,9.850000381469727
2019-10-17,9.850000381469727
2019-10-18,9.850000381469727
2019-10-21,9.850000381469727
2019-10-22,9.899999618530273
2019-10-23,9.890000343322754
2019-10-24,9.890000343322754
2019-10-25,9.859999656677246
2019-10-28,9.885000228881836
2019-10-29,9.890000343322754
2019-10-30,9.890000343322754
2019-10-31,9.890000343322754
2019-11-01,9.899999618530273
2019-11-04,9.920000076293945
2019-11-05,9.920000076293945
2019-11-06,9.89900016784668
2019-11-07,9.920000076293945
2019-11-08,9.920000076293945
2019-11-11,9.920000076293945
2019-11-12,9.949999809265137
2019-11-13,9.944000244140625
2019-11-14,9.949999809265137
2019-11-15,9.949999809265137
2019-11-18,9.949999809265137
2019-11-19,9.944999694824219
2019-11-20,9.960000038146973
2019-11-21,9.960000038146973
2019-11-22,9.960000038146973
2019-11-25,9.960000038146973
2019-11-26,9.954999923706055
2019-11-27,9.949999809265137
2019-11-29,9.979999542236328
2019-12-02,9.979999542236328
2019-12-03,9.979999542236328
2019-12-04,9.967000007629395
2019-12-05,9.967000007629395
2019-12-06,9.967000007629395
2019-12-09,9.979999542236328
2019-12-10,9.96500015258789
2019-12-11,9.96500015258789
2019-12-12,10.020000457763672
2019-12-13,10.020000457763672
2019-12-16,10.0
2019-12-17,10.0
2019-12-18,10.0
