,CD
2020-09-30,16.229999542236328
2020-10-01,13.899999618530273
2020-10-02,14.0
2020-10-05,14.229999542236328
2020-10-06,15.100000381469727
2020-10-07,15.920000076293945
2020-10-08,14.84000015258789
2020-10-09,15.40999984741211
2020-10-12,14.739999771118164
2020-10-13,14.380000114440918
2020-10-14,14.0
2020-10-15,14.0
2020-10-16,13.819999694824219
2020-10-19,13.989999771118164
2020-10-20,13.510000228881836
2020-10-21,13.5
2020-10-22,13.59000015258789
2020-10-23,13.59000015258789
2020-10-26,13.630000114440918
2020-10-27,13.529999732971191
2020-10-28,13.579999923706055
2020-10-29,13.600000381469727
2020-10-30,13.9399995803833
2020-11-02,13.84000015258789
2020-11-03,14.100000381469727
2020-11-04,14.850000381469727
2020-11-05,14.739999771118164
2020-11-06,15.880000114440918
2020-11-09,15.399999618530273
2020-11-10,15.029999732971191
2020-11-11,14.880000114440918
2020-11-12,15.069999694824219
2020-11-13,15.039999961853027
2020-11-16,16.420000076293945
2020-11-17,16.309999465942383
2020-11-18,16.34000015258789
2020-11-19,16.540000915527344
2020-11-20,15.449999809265137
2020-11-23,15.510000228881836
2020-11-24,17.639999389648438
2020-11-25,18.940000534057617
2020-11-27,19.1299991607666
2020-11-30,18.469999313354492
2020-12-01,18.09000015258789
2020-12-02,18.75
2020-12-03,17.889999389648438
2020-12-04,18.079999923706055
2020-12-07,17.549999237060547
2020-12-08,18.399999618530273
2020-12-09,17.860000610351562
2020-12-10,18.549999237060547
2020-12-11,19.790000915527344
2020-12-14,18.709999084472656
2020-12-15,18.170000076293945
2020-12-16,18.18000030517578
2020-12-17,18.81999969482422
2020-12-18,19.59000015258789
2020-12-21,18.520000457763672
2020-12-22,19.0
2020-12-23,19.799999237060547
2020-12-24,19.09000015258789
2020-12-28,18.940000534057617
2020-12-29,19.290000915527344
2020-12-30,20.299999237060547
2020-12-31,23.959999084472656
2021-01-04,19.0
2021-01-05,18.350000381469727
2021-01-06,17.969999313354492
2021-01-07,18.549999237060547
2021-01-08,18.59000015258789
2021-01-11,18.260000228881836
2021-01-12,17.84000015258789
2021-01-13,17.5
2021-01-14,17.579999923706055
2021-01-15,17.65999984741211
2021-01-19,18.25
2021-01-20,18.170000076293945
2021-01-21,18.31999969482422
2021-01-22,18.100000381469727
2021-01-25,18.93000030517578
2021-01-26,18.100000381469727
2021-01-27,16.610000610351562
2021-01-28,16.579999923706055
2021-01-29,16.600000381469727
2021-02-01,17.139999389648438
2021-02-02,17.770000457763672
2021-02-03,18.450000762939453
2021-02-04,19.290000915527344
2021-02-05,19.579999923706055
2021-02-08,20.520000457763672
2021-02-09,20.530000686645508
2021-02-10,20.3799991607666
2021-02-11,21.6200008392334
2021-02-12,20.860000610351562
2021-02-16,21.18000030517578
2021-02-17,20.950000762939453
2021-02-18,21.049999237060547
2021-02-19,21.920000076293945
2021-02-22,21.0
2021-02-23,21.56999969482422
2021-02-24,21.8799991607666
2021-02-25,20.770000457763672
2021-02-26,23.649999618530273
2021-03-01,20.200000762939453
2021-03-02,20.610000610351562
2021-03-03,20.290000915527344
2021-03-04,19.020000457763672
2021-03-05,18.639999389648438
2021-03-08,16.969999313354492
2021-03-09,18.790000915527344
2021-03-10,18.520000457763672
2021-03-11,18.690000534057617
2021-03-12,19.75
2021-03-15,19.100000381469727
2021-03-16,18.729999542236328
2021-03-17,18.850000381469727
2021-03-18,17.760000228881836
2021-03-19,17.969999313354492
2021-03-22,17.549999237060547
2021-03-23,17.549999237060547
2021-03-24,15.890000343322754
2021-03-25,16.530000686645508
2021-03-26,16.799999237060547
2021-03-29,15.359999656677246
2021-03-30,16.510000228881836
2021-03-31,16.540000915527344
2021-04-01,16.829999923706055
2021-04-05,16.90999984741211
2021-04-06,16.299999237060547
2021-04-07,15.869999885559082
2021-04-08,15.3100004196167
2021-04-09,15.119999885559082
2021-04-12,14.300000190734863
2021-04-13,14.529999732971191
2021-04-14,15.59000015258789
2021-04-15,14.619999885559082
2021-04-16,14.619999885559082
2021-04-19,14.649999618530273
2021-04-20,14.180000305175781
2021-04-21,13.789999961853027
2021-04-22,13.720000267028809
2021-04-23,13.899999618530273
2021-04-26,14.09000015258789
2021-04-27,14.199999809265137
2021-04-28,14.300000190734863
2021-04-29,14.25
2021-04-30,13.1899995803833
2021-05-03,13.430000305175781
2021-05-04,13.0600004196167
2021-05-05,13.829999923706055
2021-05-06,13.970000267028809
2021-05-07,13.859999656677246
2021-05-10,13.760000228881836
2021-05-11,14.0600004196167
2021-05-12,14.550000190734863
2021-05-13,13.760000228881836
2021-05-14,14.6899995803833
