,AMPGW
2021-02-18,1.6100000143051147
2021-02-19,2.2300000190734863
2021-02-22,2.3499999046325684
2021-02-23,2.7699999809265137
2021-02-24,3.0
2021-02-25,2.6500000953674316
2021-02-26,2.6700000762939453
2021-03-01,2.880000114440918
2021-03-02,2.609999895095825
2021-03-03,2.569999933242798
2021-03-04,2.4700000286102295
2021-03-05,3.0369999408721924
2021-03-08,3.8499999046325684
2021-03-09,4.0
2021-03-10,3.9000000953674316
2021-03-11,3.8399999141693115
2021-03-12,4.179999828338623
2021-03-15,3.5999999046325684
2021-03-16,2.8989999294281006
2021-03-17,3.0299999713897705
2021-03-18,2.509999990463257
2021-03-19,2.549999952316284
2021-03-22,2.299999952316284
2021-03-23,2.4000000953674316
2021-03-24,2.940000057220459
2021-03-25,3.200000047683716
2021-03-26,3.809999942779541
2021-03-29,4.315000057220459
2021-03-30,4.380000114440918
2021-03-31,4.380000114440918
2021-04-01,4.559999942779541
2021-04-05,5.25
2021-04-06,4.0
2021-04-07,3.8499999046325684
2021-04-08,4.0
2021-04-09,3.624000072479248
2021-04-12,3.5399999618530273
2021-04-13,3.0
2021-04-14,2.759999990463257
2021-04-15,2.619999885559082
2021-04-16,2.5799999237060547
2021-04-19,2.440000057220459
2021-04-20,2.359999895095825
2021-04-21,2.374000072479248
2021-04-22,2.559999942779541
2021-04-23,2.700000047683716
2021-04-26,2.4200000762939453
2021-04-27,2.4000000953674316
2021-04-28,2.4000000953674316
2021-04-29,2.4000000953674316
2021-04-30,2.4000000953674316
2021-05-03,2.309999942779541
2021-05-04,1.850000023841858
2021-05-05,1.9900000095367432
2021-05-06,2.200000047683716
2021-05-07,2.0
2021-05-10,1.7000000476837158
2021-05-11,1.5499999523162842
2021-05-12,1.399999976158142
2021-05-13,1.6100000143051147
2021-05-14,1.6100000143051147
