,AHACU
2020-09-18,10.0
2020-09-21,9.920999526977539
2020-09-22,9.920000076293945
2020-09-23,9.9399995803833
2020-09-24,9.9399995803833
2020-09-25,9.9399995803833
2020-09-28,9.949999809265137
2020-09-29,9.979999542236328
2020-09-30,9.920000076293945
2020-10-01,9.920000076293945
2020-10-02,9.960000038146973
2020-10-05,9.90999984741211
2020-10-06,9.9399995803833
2020-10-07,9.979999542236328
2020-10-08,9.968999862670898
2020-10-09,9.927000045776367
2020-10-12,9.949999809265137
2020-10-13,10.0
2020-10-14,9.979999542236328
2020-10-15,9.979999542236328
2020-10-16,9.975000381469727
2020-10-19,9.970000267028809
2020-10-20,9.9399995803833
2020-10-21,9.89799976348877
2020-10-22,9.880000114440918
2020-10-23,9.899999618530273
2020-10-26,9.890000343322754
2020-10-27,9.890000343322754
2020-10-28,9.890000343322754
2020-10-29,9.890000343322754
2020-10-30,9.869999885559082
2020-11-02,9.869999885559082
2020-11-03,9.909000396728516
2020-11-04,9.909000396728516
2020-11-05,9.914999961853027
2020-11-06,9.880999565124512
2020-11-09,9.880000114440918
2020-11-10,9.930000305175781
2020-11-11,9.906999588012695
2020-11-12,9.899999618530273
2020-11-13,9.899999618530273
2020-11-16,9.850000381469727
2020-11-17,9.883000373840332
2020-11-18,9.850000381469727
2020-11-19,9.899999618530273
2020-11-20,9.850000381469727
2020-11-23,9.864999771118164
2020-11-24,9.930000305175781
2020-11-25,9.960000038146973
2020-11-27,9.9399995803833
2020-11-30,9.970000267028809
2020-12-01,9.970000267028809
2020-12-02,10.020000457763672
2020-12-03,9.979999542236328
2020-12-04,10.039999961853027
2020-12-07,10.029999732971191
2020-12-08,10.020000457763672
2020-12-09,10.09000015258789
2020-12-10,10.09000015258789
2020-12-11,10.210000038146973
2020-12-14,10.15999984741211
2020-12-15,10.25
2020-12-16,10.25
2020-12-17,10.3100004196167
2020-12-18,10.390000343322754
2020-12-21,10.369999885559082
2020-12-22,10.420000076293945
2020-12-23,10.399999618530273
2020-12-24,10.399999618530273
2020-12-28,10.449999809265137
2020-12-29,10.489999771118164
2020-12-30,10.449999809265137
2020-12-31,10.569999694824219
2021-01-04,10.550000190734863
2021-01-05,10.449999809265137
2021-01-06,10.380000114440918
2021-01-07,10.489999771118164
2021-01-08,10.65999984741211
2021-01-11,10.699999809265137
2021-01-12,10.699999809265137
2021-01-13,10.6899995803833
2021-01-14,10.687999725341797
2021-01-15,10.75
2021-01-19,10.84000015258789
2021-01-20,10.850000381469727
2021-01-21,10.760000228881836
2021-01-22,10.800000190734863
2021-01-25,10.859999656677246
2021-01-26,10.760000228881836
2021-01-27,10.725000381469727
2021-01-28,10.65999984741211
2021-01-29,10.65999984741211
2021-02-01,10.850000381469727
2021-02-02,11.84000015258789
2021-02-03,11.010000228881836
2021-02-04,11.010000228881836
2021-02-05,11.130000114440918
2021-02-08,11.270000457763672
2021-02-09,11.199999809265137
2021-02-10,11.25
2021-02-11,11.069999694824219
2021-02-12,11.199999809265137
2021-02-16,11.3100004196167
2021-02-17,14.229999542236328
2021-02-18,14.71500015258789
2021-02-19,15.640000343322754
2021-02-22,17.020000457763672
2021-02-23,15.489999771118164
2021-02-24,15.079999923706055
2021-02-25,12.930000305175781
2021-02-26,13.119999885559082
2021-03-01,13.789999961853027
2021-03-02,12.699999809265137
2021-03-03,12.300000190734863
2021-03-04,11.34000015258789
2021-03-05,12.029999732971191
2021-03-08,12.119999885559082
2021-03-09,12.979999542236328
2021-03-10,13.0
2021-03-11,13.0
2021-03-12,12.755000114440918
2021-03-15,13.069999694824219
2021-03-16,13.039999961853027
2021-03-17,13.041000366210938
2021-03-18,12.220000267028809
2021-03-19,12.550000190734863
2021-03-22,13.850000381469727
2021-03-23,12.6899995803833
2021-03-24,12.010000228881836
2021-03-25,12.050000190734863
2021-03-26,12.050000190734863
2021-03-29,12.449999809265137
2021-03-30,13.010000228881836
2021-03-31,12.494999885559082
2021-04-01,12.0600004196167
2021-04-05,12.199999809265137
2021-04-06,11.975000381469727
2021-04-07,11.880000114440918
2021-04-08,12.25
2021-04-09,12.25
2021-04-12,12.204000473022461
2021-04-13,12.722999572753906
2021-04-14,12.5
2021-04-15,12.199999809265137
2021-04-16,12.303000450134277
2021-04-19,12.229999542236328
2021-04-20,11.699999809265137
2021-04-21,11.680000305175781
2021-04-22,12.510000228881836
2021-04-23,11.394000053405762
2021-04-26,11.394000053405762
2021-04-27,11.550000190734863
2021-04-28,11.373000144958496
2021-04-29,11.020000457763672
2021-04-30,11.210000038146973
2021-05-03,11.3100004196167
2021-05-04,11.100000381469727
2021-05-05,11.0
2021-05-06,11.050000190734863
2021-05-07,11.020000457763672
2021-05-10,11.5
2021-05-11,10.836999893188477
2021-05-12,10.8100004196167
2021-05-13,11.1899995803833
2021-05-14,10.930000305175781
