,FLACW
2021-02-10,2.549999952316284
2021-02-11,2.559999942779541
2021-02-12,2.325000047683716
2021-02-16,2.3550000190734863
2021-02-17,2.489000082015991
2021-02-18,2.490000009536743
2021-02-19,2.490000009536743
2021-02-22,2.240000009536743
2021-02-23,2.0
2021-02-24,1.7100000381469727
2021-02-25,1.590000033378601
2021-02-26,1.659999966621399
2021-03-01,1.600000023841858
2021-03-02,1.399999976158142
2021-03-03,1.309999942779541
2021-03-04,1.1299999952316284
2021-03-05,1.1299999952316284
2021-03-08,1.2280000448226929
2021-03-09,1.600000023841858
2021-03-10,1.25
2021-03-11,1.350000023841858
2021-03-12,1.350000023841858
2021-03-15,1.3300000429153442
2021-03-16,1.3300000429153442
2021-03-17,1.1299999952316284
2021-03-18,1.1299999952316284
2021-03-19,1.1299999952316284
2021-03-22,1.059999942779541
2021-03-23,0.8799999952316284
2021-03-24,0.9100000262260437
2021-03-25,0.9200000166893005
2021-03-26,0.9990000128746033
2021-03-29,0.949999988079071
2021-03-30,0.800000011920929
2021-03-31,0.8999999761581421
2021-04-01,0.8999999761581421
2021-04-05,0.8500000238418579
2021-04-06,0.9300000071525574
2021-04-07,0.9399999976158142
2021-04-08,1.2799999713897705
2021-04-09,1.100000023841858
2021-04-12,1.100000023841858
2021-04-13,1.2599999904632568
2021-04-14,1.100000023841858
2021-04-15,0.9660000205039978
2021-04-16,1.090000033378601
2021-04-19,1.090000033378601
2021-04-20,0.800000011920929
2021-04-21,0.8899999856948853
2021-04-22,0.8899999856948853
2021-04-23,0.8899999856948853
2021-04-26,0.8899999856948853
2021-04-27,1.0
2021-04-28,1.0
2021-04-29,1.100000023841858
2021-04-30,1.1200000047683716
2021-05-03,1.065000057220459
2021-05-04,1.0
2021-05-05,1.0
2021-05-06,1.0
2021-05-07,1.0
2021-05-10,1.024999976158142
2021-05-11,1.024999976158142
2021-05-12,0.8450000286102295
2021-05-13,0.8299999833106995
2021-05-14,0.8299999833106995
