,BSBE
2018-10-18,25.010000228881836
2018-10-19,24.899999618530273
2018-10-22,24.90999984741211
2018-10-23,24.90999984741211
2018-10-24,24.90999984741211
2018-10-25,24.90999984741211
2018-10-26,24.90999984741211
2018-10-29,24.90999984741211
2018-10-30,24.90999984741211
2018-10-31,24.90999984741211
2018-11-01,24.84000015258789
2018-11-02,24.93000030517578
2018-11-05,24.93000030517578
2018-11-06,24.93000030517578
2018-11-07,24.940000534057617
2018-11-08,24.920000076293945
2018-11-09,24.920000076293945
2018-11-12,24.920000076293945
2018-11-13,24.84000015258789
2018-11-14,25.020000457763672
2018-11-15,25.020000457763672
2018-11-16,25.020000457763672
2018-11-19,24.90999984741211
2018-11-20,24.90999984741211
2018-11-21,24.780000686645508
2018-11-23,24.780000686645508
2018-11-26,24.780000686645508
2018-11-27,24.760000228881836
2018-11-28,24.889999389648438
2018-11-29,24.889999389648438
2018-11-30,24.84000015258789
2018-12-03,24.8799991607666
2018-12-04,24.8799991607666
2018-12-06,24.889999389648438
2018-12-07,24.920000076293945
2018-12-10,24.93000030517578
2018-12-11,24.93000030517578
2018-12-12,24.93000030517578
2018-12-13,24.93000030517578
2018-12-14,24.940000534057617
2018-12-17,24.959999084472656
2018-12-18,24.989999771118164
2018-12-19,24.979999542236328
2018-12-20,24.979999542236328
2018-12-21,24.979999542236328
2018-12-24,24.850000381469727
2018-12-26,24.829999923706055
2018-12-27,24.940000534057617
2018-12-28,24.93000030517578
2018-12-31,24.920000076293945
2019-01-02,24.959999084472656
2019-01-03,25.0
2019-01-04,25.030000686645508
2019-01-07,25.020000457763672
2019-01-08,25.010000228881836
2019-01-09,25.100000381469727
2019-01-10,25.100000381469727
2019-01-11,25.079999923706055
2019-01-14,25.06999969482422
2019-01-15,25.06999969482422
2019-01-16,25.1299991607666
2019-01-17,25.15999984741211
2019-01-18,25.15999984741211
2019-01-22,25.079999923706055
2019-01-23,25.110000610351562
2019-01-24,25.15999984741211
2019-01-25,25.15999984741211
2019-01-28,25.15999984741211
2019-01-29,25.149999618530273
2019-01-30,25.190000534057617
2019-01-31,25.280000686645508
2019-02-01,25.229999542236328
2019-02-04,25.229999542236328
2019-02-05,25.290000915527344
2019-02-06,25.280000686645508
2019-02-07,25.290000915527344
2019-02-08,25.290000915527344
2019-02-11,25.270000457763672
2019-02-12,25.329999923706055
2019-02-13,25.31999969482422
2019-02-14,25.31999969482422
2019-02-15,25.329999923706055
2019-02-19,25.270000457763672
2019-02-20,25.270000457763672
2019-02-21,25.270000457763672
2019-02-22,25.280000686645508
2019-02-25,25.280000686645508
2019-02-26,25.31999969482422
2019-02-27,25.350000381469727
2019-02-28,25.350000381469727
2019-03-01,25.31999969482422
2019-03-04,25.3700008392334
2019-03-05,25.329999923706055
