,APVO
2016-07-20,112.0
2016-07-21,112.0
2016-07-22,110.18000030517578
2016-07-25,94.5
2016-07-26,96.5999984741211
2016-07-27,77.13999938964844
2016-07-28,70.13999938964844
2016-07-29,51.939998626708984
2016-08-01,40.459999084472656
2016-08-02,41.439998626708984
2016-08-03,41.15999984741211
2016-08-04,42.97999954223633
2016-08-05,39.47999954223633
2016-08-08,38.36000061035156
2016-08-09,36.959999084472656
2016-08-10,37.79999923706055
2016-08-11,38.779998779296875
2016-08-12,42.97999954223633
2016-08-15,44.2400016784668
2016-08-16,42.279998779296875
2016-08-17,45.08000183105469
2016-08-18,44.65999984741211
2016-08-19,46.619998931884766
2016-08-22,44.939998626708984
2016-08-23,45.08000183105469
2016-08-24,42.279998779296875
2016-08-25,41.720001220703125
2016-08-26,42.279998779296875
2016-08-29,40.18000030517578
2016-08-30,40.040000915527344
2016-08-31,38.08000183105469
2016-09-01,37.099998474121094
2016-09-02,37.099998474121094
2016-09-06,33.599998474121094
2016-09-07,32.20000076293945
2016-09-08,30.799999237060547
2016-09-09,35.13999938964844
2016-09-12,35.41999816894531
2016-09-13,33.599998474121094
2016-09-14,34.29999923706055
2016-09-15,32.900001525878906
2016-09-16,31.5
2016-09-19,31.639999389648438
2016-09-20,33.040000915527344
2016-09-21,35.560001373291016
2016-09-22,38.5
2016-09-23,39.060001373291016
2016-09-26,38.08000183105469
2016-09-27,38.5
2016-09-28,36.68000030517578
2016-09-29,35.84000015258789
2016-09-30,35.84000015258789
2016-10-03,35.0
2016-10-04,36.2599983215332
2016-10-05,39.060001373291016
2016-10-06,38.63999938964844
2016-10-07,39.619998931884766
2016-10-10,39.619998931884766
2016-10-11,37.099998474121094
2016-10-12,37.2400016784668
2016-10-13,35.84000015258789
2016-10-14,33.599998474121094
2016-10-17,33.040000915527344
2016-10-18,33.18000030517578
2016-10-19,32.47999954223633
2016-10-20,32.34000015258789
2016-10-21,32.060001373291016
2016-10-24,32.34000015258789
2016-10-25,32.34000015258789
2016-10-26,32.060001373291016
2016-10-27,30.520000457763672
2016-10-28,30.799999237060547
2016-10-31,30.940000534057617
2016-11-01,29.399999618530273
2016-11-02,26.8799991607666
2016-11-03,26.31999969482422
2016-11-04,26.040000915527344
2016-11-07,26.739999771118164
2016-11-08,27.440000534057617
2016-11-09,27.860000610351562
2016-11-10,29.260000228881836
2016-11-11,31.360000610351562
2016-11-14,32.34000015258789
2016-11-15,27.440000534057617
2016-11-16,27.440000534057617
2016-11-17,27.15999984741211
2016-11-18,28.420000076293945
2016-11-21,28.420000076293945
2016-11-22,28.559999465942383
2016-11-23,28.280000686645508
2016-11-25,28.139999389648438
2016-11-28,25.899999618530273
2016-11-29,26.600000381469727
2016-11-30,26.600000381469727
2016-12-01,26.040000915527344
2016-12-02,26.600000381469727
2016-12-05,27.020000457763672
2016-12-06,26.8799991607666
2016-12-07,26.040000915527344
2016-12-08,27.719999313354492
2016-12-09,27.860000610351562
2016-12-12,27.719999313354492
2016-12-13,28.139999389648438
2016-12-14,27.020000457763672
2016-12-15,25.6200008392334
2016-12-16,30.100000381469727
2016-12-19,27.579999923706055
2016-12-20,30.239999771118164
2016-12-21,30.100000381469727
2016-12-22,29.81999969482422
2016-12-23,30.799999237060547
2016-12-27,31.780000686645508
2016-12-28,31.079999923706055
2016-12-29,33.31999969482422
2016-12-30,34.15999984741211
2017-01-03,35.0
2017-01-04,40.040000915527344
2017-01-05,39.900001525878906
2017-01-06,36.959999084472656
2017-01-09,35.70000076293945
2017-01-10,37.099998474121094
2017-01-11,35.560001373291016
2017-01-12,34.86000061035156
2017-01-13,35.97999954223633
2017-01-17,36.400001525878906
2017-01-18,37.52000045776367
2017-01-19,36.119998931884766
2017-01-20,32.900001525878906
2017-01-23,32.20000076293945
2017-01-24,30.520000457763672
2017-01-25,28.420000076293945
2017-01-26,28.84000015258789
2017-01-27,28.700000762939453
2017-01-30,28.420000076293945
2017-01-31,27.860000610351562
2017-02-01,27.860000610351562
2017-02-02,27.579999923706055
2017-02-03,26.8799991607666
2017-02-06,27.299999237060547
2017-02-07,27.579999923706055
2017-02-08,26.739999771118164
2017-02-09,27.299999237060547
2017-02-10,27.299999237060547
2017-02-13,26.8799991607666
2017-02-14,26.18000030517578
2017-02-15,27.299999237060547
2017-02-16,31.360000610351562
2017-02-17,29.81999969482422
2017-02-21,29.540000915527344
2017-02-22,26.600000381469727
2017-02-23,27.579999923706055
2017-02-24,27.440000534057617
2017-02-27,28.979999542236328
2017-02-28,28.0
2017-03-01,28.280000686645508
2017-03-02,27.299999237060547
2017-03-03,26.8799991607666
2017-03-06,26.459999084472656
2017-03-07,25.899999618530273
2017-03-08,25.479999542236328
2017-03-09,25.200000762939453
2017-03-10,24.920000076293945
2017-03-13,25.479999542236328
2017-03-14,27.860000610351562
2017-03-15,26.31999969482422
2017-03-16,26.600000381469727
2017-03-17,27.299999237060547
