,DMTK
2017-08-10,19.399999618530273
2017-08-11,19.399999618530273
2017-08-14,19.399999618530273
2017-08-15,19.399999618530273
2017-08-16,19.399999618530273
2017-08-17,19.360000610351562
2017-08-18,19.360000610351562
2017-08-21,19.360000610351562
2017-08-22,19.360000610351562
2017-08-23,19.360000610351562
2017-08-24,19.360000610351562
2017-08-25,19.360000610351562
2017-08-28,19.399999618530273
2017-08-29,19.399999618530273
2017-08-30,19.399999618530273
2017-08-31,19.479999542236328
2017-09-01,19.479999542236328
2017-09-05,19.479999542236328
2017-09-06,19.559999465942383
2017-09-07,19.559999465942383
2017-09-08,19.559999465942383
2017-09-11,19.559999465942383
2017-09-12,19.559999465942383
2017-09-13,19.559999465942383
2017-09-14,19.559999465942383
2017-09-15,19.559999465942383
2017-09-18,19.559999465942383
2017-09-19,19.559999465942383
2017-09-20,19.559999465942383
2017-09-21,19.559999465942383
2017-09-22,19.559999465942383
2017-09-25,19.520000457763672
2017-09-26,19.5
2017-09-27,19.5
2017-09-28,19.5
2017-09-29,19.5
2017-10-02,19.5
2017-10-03,19.5
2017-10-04,19.5
2017-10-05,19.440000534057617
2017-10-06,19.440000534057617
2017-10-09,19.479999542236328
2017-10-10,19.520000457763672
2017-10-11,19.520000457763672
2017-10-12,19.520000457763672
2017-10-13,19.520000457763672
2017-10-16,19.700000762939453
2017-10-17,19.5
2017-10-18,19.5
2017-10-19,19.5
2017-10-20,19.5
2017-10-23,19.5
2017-10-24,19.5
2017-10-25,19.5
2017-10-26,19.459999084472656
2017-10-27,19.459999084472656
2017-10-30,19.459999084472656
2017-10-31,19.459999084472656
2017-11-01,19.459999084472656
2017-11-02,19.459999084472656
2017-11-03,19.459999084472656
2017-11-06,19.459999084472656
2017-11-07,19.3799991607666
2017-11-08,19.440000534057617
2017-11-09,19.420000076293945
2017-11-10,19.420000076293945
2017-11-13,19.440000534057617
2017-11-14,19.440000534057617
2017-11-15,19.440000534057617
2017-11-16,19.440000534057617
2017-11-17,19.440000534057617
2017-11-20,19.440000534057617
2017-11-21,19.440000534057617
2017-11-22,19.440000534057617
2017-11-24,19.440000534057617
2017-11-27,19.440000534057617
2017-11-28,19.440000534057617
2017-11-29,19.440000534057617
2017-11-30,19.440000534057617
2017-12-01,19.440000534057617
2017-12-04,19.440000534057617
2017-12-05,19.440000534057617
2017-12-06,19.440000534057617
2017-12-07,19.459999084472656
2017-12-08,19.459999084472656
2017-12-11,19.540000915527344
2017-12-12,19.540000915527344
2017-12-13,19.540000915527344
2017-12-14,19.540000915527344
2017-12-15,19.479999542236328
2017-12-18,19.479999542236328
2017-12-19,19.479999542236328
2017-12-20,19.479999542236328
2017-12-21,19.479999542236328
2017-12-22,19.479999542236328
2017-12-26,19.479999542236328
2017-12-27,19.5
2017-12-28,19.5
2017-12-29,19.5
2018-01-02,19.5
2018-01-03,19.5
2018-01-04,19.51799964904785
2018-01-05,19.51799964904785
2018-01-08,19.520000457763672
2018-01-09,19.540000915527344
2018-01-10,19.540000915527344
2018-01-11,19.540000915527344
2018-01-12,19.540000915527344
2018-01-16,19.540000915527344
2018-01-17,19.540000915527344
2018-01-18,19.540000915527344
2018-01-19,19.540000915527344
2018-01-22,19.5
2018-01-23,19.540000915527344
2018-01-24,19.540000915527344
2018-01-25,19.559999465942383
2018-01-26,19.559999465942383
2018-01-29,19.559999465942383
2018-01-30,19.559999465942383
2018-01-31,19.559999465942383
2018-02-01,19.559999465942383
2018-02-02,19.559999465942383
2018-02-05,19.559999465942383
2018-02-06,19.540000915527344
2018-02-07,19.520000457763672
2018-02-08,19.520000457763672
2018-02-09,19.520000457763672
2018-02-12,19.520000457763672
2018-02-13,19.5
2018-02-14,19.540000915527344
2018-02-15,19.459999084472656
2018-02-16,19.520000457763672
2018-02-20,19.520000457763672
2018-02-21,19.579999923706055
2018-02-22,19.579999923706055
2018-02-23,19.579999923706055
2018-02-26,19.639999389648438
2018-02-27,19.639999389648438
2018-02-28,19.639999389648438
2018-03-01,19.639999389648438
2018-03-02,19.639999389648438
2018-03-05,19.6200008392334
2018-03-06,19.65999984741211
2018-03-07,19.68000030517578
