,BVXV
2015-05-11,5.0
2015-05-12,3.990000009536743
2015-05-13,4.690000057220459
2015-05-14,4.239999771118164
2015-05-15,4.480000019073486
2015-05-18,4.519999980926514
2015-05-19,4.710000038146973
2015-05-20,4.590000152587891
2015-05-21,4.5
2015-05-22,4.5
2015-05-26,4.460000038146973
2015-05-27,4.5
2015-05-28,4.300000190734863
2015-05-29,4.349999904632568
2015-06-01,4.349999904632568
2015-06-02,4.269999980926514
2015-06-03,4.260000228881836
2015-06-04,4.440000057220459
2015-06-05,4.5
2015-06-08,4.800000190734863
2015-06-09,4.880000114440918
2015-06-10,5.159999847412109
2015-06-11,4.900000095367432
2015-06-12,5.0
2015-06-15,4.96999979019165
2015-06-16,4.940000057220459
2015-06-17,5.079999923706055
2015-06-18,5.039999961853027
2015-06-19,4.960000038146973
2015-06-22,5.050000190734863
2015-06-23,4.989999771118164
2015-06-24,5.0
2015-06-25,4.96999979019165
2015-06-26,5.394999980926514
2015-06-29,5.099999904632568
2015-06-30,4.949999809265137
2015-07-01,4.519999980926514
2015-07-02,4.690000057220459
2015-07-06,4.670000076293945
2015-07-07,4.659999847412109
2015-07-08,4.340000152587891
2015-07-09,4.570000171661377
2015-07-10,4.630000114440918
2015-07-13,4.570000171661377
2015-07-14,4.559999942779541
2015-07-15,4.550000190734863
2015-07-16,4.539999961853027
2015-07-17,4.550000190734863
2015-07-20,4.480000019073486
2015-07-21,4.429999828338623
2015-07-22,4.380000114440918
2015-07-23,4.380000114440918
2015-07-24,4.309999942779541
2015-07-27,4.239999771118164
2015-07-28,4.269999980926514
2015-07-29,4.230000019073486
2015-07-30,4.130000114440918
2015-07-31,4.25
2015-08-03,4.349999904632568
2015-08-04,4.25
2015-08-05,4.130000114440918
2015-08-06,4.210000038146973
2015-08-07,4.199999809265137
2015-08-10,4.090000152587891
2015-08-11,3.990000009536743
2015-08-12,4.050000190734863
2015-08-13,4.329999923706055
2015-08-14,4.25
2015-08-17,4.172999858856201
2015-08-18,4.099999904632568
2015-08-19,4.050000190734863
