,DLCAU
2021-01-13,10.65999984741211
2021-01-14,10.84000015258789
2021-01-15,10.979999542236328
2021-01-19,10.850000381469727
2021-01-20,10.789999961853027
2021-01-21,10.850000381469727
2021-01-22,10.699999809265137
2021-01-25,10.899999618530273
2021-01-26,10.770000457763672
2021-01-27,10.449999809265137
2021-01-28,10.369999885559082
2021-01-29,10.479999542236328
2021-02-01,10.670000076293945
2021-02-02,10.760000228881836
2021-02-03,10.920000076293945
2021-02-04,11.0
2021-02-05,10.800000190734863
2021-02-08,10.899999618530273
2021-02-09,10.805000305175781
2021-02-10,10.789999961853027
2021-02-11,10.829999923706055
2021-02-12,10.770000457763672
2021-02-16,10.800000190734863
2021-02-17,10.699999809265137
2021-02-18,10.770000457763672
2021-02-19,10.8100004196167
2021-02-22,10.710000038146973
2021-02-23,10.619999885559082
2021-02-24,10.5600004196167
2021-02-25,10.524999618530273
2021-02-26,10.53499984741211
2021-03-01,10.369999885559082
2021-03-02,10.279999732971191
2021-03-03,10.350000381469727
2021-03-04,10.069999694824219
2021-03-05,10.279999732971191
2021-03-08,10.25
2021-03-09,10.170000076293945
2021-03-10,10.170000076293945
2021-03-11,10.239999771118164
2021-03-12,10.220000267028809
2021-03-15,10.15999984741211
2021-03-16,10.149999618530273
2021-03-17,10.199999809265137
2021-03-18,10.225000381469727
2021-03-19,10.140000343322754
2021-03-22,10.119999885559082
2021-03-23,10.140000343322754
2021-03-24,10.029999732971191
2021-03-25,9.960000038146973
2021-03-26,10.020000457763672
2021-03-29,9.960000038146973
2021-03-30,9.989999771118164
2021-03-31,10.0600004196167
2021-04-01,10.050000190734863
2021-04-05,10.020000457763672
2021-04-06,10.039999961853027
2021-04-07,10.069999694824219
2021-04-08,10.239999771118164
2021-04-09,10.3100004196167
2021-04-12,10.199999809265137
2021-04-13,10.229999542236328
2021-04-14,10.319999694824219
2021-04-15,10.329999923706055
2021-04-16,10.220000267028809
2021-04-19,10.210000038146973
2021-04-20,10.130000114440918
2021-04-21,10.140000343322754
2021-04-22,10.100000381469727
2021-04-23,10.140000343322754
2021-04-26,10.239999771118164
2021-04-27,10.140000343322754
2021-04-28,10.130000114440918
2021-04-29,10.079999923706055
2021-04-30,10.0600004196167
2021-05-03,10.130000114440918
2021-05-04,10.09000015258789
2021-05-05,10.079999923706055
2021-05-06,10.100000381469727
2021-05-07,10.050000190734863
2021-05-10,10.050000190734863
2021-05-11,10.010000228881836
2021-05-12,10.0
2021-05-13,10.0
2021-05-14,9.989999771118164
