,BRPM
2021-04-13,9.699999809265137
2021-04-14,9.800000190734863
2021-04-15,9.819999694824219
2021-04-16,9.829999923706055
2021-04-19,9.8100004196167
2021-04-20,9.710000038146973
2021-04-21,9.779999732971191
2021-04-22,9.779999732971191
2021-04-23,9.729999542236328
2021-04-26,9.710000038146973
2021-04-27,9.75
2021-04-28,9.75
2021-04-29,9.75
2021-04-30,9.75
2021-05-03,9.789999961853027
2021-05-04,9.789999961853027
2021-05-05,9.850000381469727
2021-05-06,9.880000114440918
2021-05-07,9.859999656677246
2021-05-10,9.859999656677246
2021-05-11,9.770000457763672
2021-05-12,9.800000190734863
2021-05-13,9.739999771118164
2021-05-14,9.800000190734863
