,CXSE
2012-09-20,24.860000610351562
2012-09-21,25.0
2012-09-24,25.030000686645508
2012-09-25,24.764999389648438
2012-09-26,24.424999237060547
2012-09-27,24.934999465942383
2012-09-28,24.875
2012-10-01,25.05500030517578
2012-10-02,24.940000534057617
2012-10-03,25.014999389648438
2012-10-04,25.260000228881836
2012-10-05,25.5
2012-10-08,25.174999237060547
2012-10-09,25.0
2012-10-10,25.18000030517578
2012-10-11,25.549999237060547
2012-10-12,25.6200008392334
2012-10-15,25.760000228881836
2012-10-16,26.104999542236328
2012-10-17,26.415000915527344
2012-10-18,26.575000762939453
2012-10-19,26.344999313354492
2012-10-22,26.459999084472656
2012-10-23,26.170000076293945
2012-10-24,26.274999618530273
2012-10-25,26.475000381469727
2012-10-26,26.09000015258789
2012-10-31,26.19499969482422
2012-11-01,26.975000381469727
2012-11-02,26.790000915527344
2012-11-05,27.024999618530273
2012-11-06,27.149999618530273
2012-11-07,26.575000762939453
2012-11-08,26.075000762939453
2012-11-09,26.09000015258789
2012-11-12,26.2549991607666
2012-11-13,25.760000228881836
2012-11-14,25.290000915527344
2012-11-15,25.469999313354492
2012-11-16,25.375
2012-11-19,25.94499969482422
2012-11-20,25.6299991607666
2012-11-21,25.790000915527344
2012-11-23,26.229999542236328
2012-11-26,26.28499984741211
2012-11-27,25.899999618530273
2012-11-28,26.059999465942383
2012-11-29,26.1200008392334
2012-11-30,26.190000534057617
2012-12-03,26.104999542236328
2012-12-04,26.209999084472656
2012-12-05,26.850000381469727
2012-12-06,26.915000915527344
2012-12-07,27.024999618530273
2012-12-10,27.219999313354492
2012-12-11,27.260000228881836
2012-12-12,27.2450008392334
2012-12-13,26.959999084472656
2012-12-14,27.190000534057617
2012-12-17,27.264999389648438
2012-12-18,27.350000381469727
2012-12-19,27.454999923706055
2012-12-20,27.635000228881836
2012-12-21,27.2450008392334
2012-12-24,27.25
2012-12-26,27.510000228881836
2012-12-27,27.375
2012-12-28,27.415000915527344
2012-12-31,27.764999389648438
2013-01-02,28.565000534057617
2013-01-03,28.375
2013-01-04,28.489999771118164
2013-01-07,28.270000457763672
2013-01-08,28.0
2013-01-09,28.204999923706055
2013-01-10,28.645000457763672
2013-01-11,28.184999465942383
2013-01-14,28.06999969482422
2013-01-15,28.079999923706055
2013-01-16,28.0049991607666
2013-01-17,28.19499969482422
2013-01-18,28.28499984741211
2013-01-22,28.28499984741211
2013-01-23,28.1299991607666
2013-01-24,28.049999237060547
2013-01-25,27.7549991607666
2013-01-28,27.65999984741211
2013-01-29,28.2450008392334
2013-01-30,28.200000762939453
2013-01-31,28.09000015258789
2013-02-01,28.2450008392334
2013-02-04,27.559999465942383
2013-02-05,27.815000534057617
2013-02-06,27.7549991607666
2013-02-07,27.3799991607666
2013-02-08,27.69499969482422
2013-02-11,27.684999465942383
2013-02-12,27.719999313354492
2013-02-13,27.854999542236328
2013-02-14,27.7450008392334
2013-02-15,27.719999313354492
2013-02-19,27.329999923706055
2013-02-20,27.05500030517578
2013-02-21,26.719999313354492
2013-02-22,26.670000076293945
2013-02-25,26.424999237060547
2013-02-26,26.424999237060547
2013-02-27,26.780000686645508
2013-02-28,26.905000686645508
2013-03-01,26.924999237060547
2013-03-04,26.600000381469727
2013-03-05,26.850000381469727
2013-03-06,26.899999618530273
2013-03-07,26.96500015258789
2013-03-08,27.309999465942383
2013-03-11,26.899999618530273
2013-03-12,26.334999084472656
2013-03-13,26.010000228881836
2013-03-14,26.34000015258789
2013-03-15,25.979999542236328
2013-03-18,25.684999465942383
2013-03-19,25.594999313354492
2013-03-20,26.049999237060547
2013-03-21,25.764999389648438
2013-03-22,26.0
2013-03-25,25.920000076293945
2013-03-26,26.100000381469727
2013-03-27,26.06999969482422
2013-03-28,26.079999923706055
2013-04-01,25.799999237060547
2013-04-02,25.799999237060547
2013-04-03,25.364999771118164
2013-04-04,25.424999237060547
2013-04-05,25.075000762939453
2013-04-08,25.145000457763672
2013-04-09,25.670000076293945
2013-04-10,25.78499984741211
2013-04-11,25.725000381469727
2013-04-12,25.454999923706055
2013-04-15,24.690000534057617
2013-04-16,24.764999389648438
2013-04-17,24.420000076293945
2013-04-18,24.579999923706055
2013-04-19,24.940000534057617
2013-04-22,25.290000915527344
2013-04-23,25.204999923706055
2013-04-24,25.524999618530273
2013-04-25,25.719999313354492
2013-04-26,25.454999923706055
2013-04-29,25.59000015258789
2013-04-30,25.764999389648438
2013-05-01,25.565000534057617
2013-05-02,25.55500030517578
2013-05-03,25.850000381469727
2013-05-06,25.889999389648438
2013-05-07,26.09000015258789
2013-05-08,26.354999542236328
2013-05-09,26.155000686645508
2013-05-10,26.18000030517578
2013-05-13,25.864999771118164
2013-05-14,25.889999389648438
2013-05-15,26.020000457763672
2013-05-16,25.950000762939453
2013-05-17,26.1200008392334
2013-05-20,26.264999389648438
2013-05-21,26.290000915527344
2013-05-22,25.834999084472656
2013-05-23,25.540000915527344
2013-05-24,25.344999313354492
2013-05-28,25.700000762939453
2013-05-29,25.5
2013-05-30,25.415000915527344
2013-05-31,25.049999237060547
2013-06-03,25.174999237060547
2013-06-04,24.9950008392334
2013-06-05,24.790000915527344
2013-06-06,24.774999618530273
2013-06-07,24.649999618530273
2013-06-10,24.440000534057617
