,EXLS
2006-10-20,18.84000015258789
2006-10-23,18.290000915527344
2006-10-24,17.690000534057617
2006-10-25,19.5
2006-10-26,20.100000381469727
2006-10-27,20.600000381469727
2006-10-30,20.690000534057617
2006-10-31,20.799999237060547
2006-11-01,20.149999618530273
2006-11-02,20.670000076293945
2006-11-03,20.299999237060547
2006-11-06,19.5
2006-11-07,19.010000228881836
2006-11-08,19.1200008392334
2006-11-09,20.0
2006-11-10,19.809999465942383
2006-11-13,19.6200008392334
2006-11-14,20.190000534057617
2006-11-15,21.34000015258789
2006-11-16,25.799999237060547
2006-11-17,25.479999542236328
2006-11-20,25.31999969482422
2006-11-21,25.360000610351562
2006-11-22,24.809999465942383
2006-11-24,24.489999771118164
2006-11-27,24.469999313354492
2006-11-28,24.5
2006-11-29,22.469999313354492
2006-11-30,22.59000015258789
2006-12-01,22.43000030517578
2006-12-04,22.049999237060547
2006-12-05,20.989999771118164
2006-12-06,21.0
2006-12-07,20.799999237060547
2006-12-08,20.780000686645508
2006-12-11,20.829999923706055
2006-12-12,21.34000015258789
2006-12-13,21.350000381469727
2006-12-14,21.920000076293945
2006-12-15,22.049999237060547
2006-12-18,22.0
2006-12-19,21.3700008392334
2006-12-20,21.81999969482422
2006-12-21,21.639999389648438
2006-12-22,21.100000381469727
2006-12-26,20.959999084472656
2006-12-27,20.920000076293945
2006-12-28,20.850000381469727
2006-12-29,21.040000915527344
2007-01-03,20.579999923706055
2007-01-04,21.0
2007-01-05,21.100000381469727
2007-01-08,21.09000015258789
2007-01-09,21.049999237060547
2007-01-10,21.56999969482422
2007-01-11,22.389999389648438
2007-01-12,22.709999084472656
2007-01-16,23.020000457763672
2007-01-17,22.989999771118164
2007-01-18,23.010000228881836
2007-01-19,23.559999465942383
2007-01-22,23.399999618530273
2007-01-23,23.34000015258789
2007-01-24,23.360000610351562
2007-01-25,23.709999084472656
2007-01-26,23.729999542236328
2007-01-29,24.399999618530273
2007-01-30,24.739999771118164
2007-01-31,24.719999313354492
2007-02-01,24.920000076293945
2007-02-02,25.190000534057617
2007-02-05,26.190000534057617
2007-02-06,26.579999923706055
2007-02-07,26.670000076293945
2007-02-08,26.809999465942383
2007-02-09,26.950000762939453
2007-02-12,26.790000915527344
2007-02-13,26.84000015258789
2007-02-14,25.40999984741211
2007-02-15,24.479999542236328
2007-02-16,24.0
2007-02-20,23.860000610351562
2007-02-21,23.899999618530273
2007-02-22,24.65999984741211
2007-02-23,24.670000076293945
2007-02-26,24.389999389648438
2007-02-27,23.479999542236328
2007-02-28,22.65999984741211
2007-03-01,23.43000030517578
2007-03-02,22.8799991607666
2007-03-05,23.559999465942383
2007-03-06,22.860000610351562
2007-03-07,22.690000534057617
2007-03-08,22.90999984741211
2007-03-09,23.520000457763672
