,RIO
1990-06-28,9.96875
1990-06-29,10.0625
1990-07-02,10.03125
1990-07-03,10.0625
1990-07-05,9.6875
1990-07-06,9.75
1990-07-09,9.8125
1990-07-10,9.875
1990-07-11,9.9375
1990-07-12,9.96875
1990-07-13,10.125
1990-07-16,10.25
1990-07-17,10.4375
1990-07-18,10.3125
1990-07-19,10.34375
1990-07-20,10.3125
1990-07-23,10.28125
1990-07-24,10.3125
1990-07-25,10.375
1990-07-26,10.3125
1990-07-27,10.25
1990-07-30,10.28125
1990-07-31,10.4375
1990-08-01,10.4375
1990-08-02,10.3125
1990-08-03,10.34375
1990-08-06,9.9375
1990-08-07,9.9375
1990-08-08,9.6875
1990-08-09,9.8125
1990-08-10,9.90625
1990-08-13,10.15625
1990-08-14,10.3125
1990-08-15,10.28125
1990-08-16,10.25
1990-08-17,10.0
1990-08-20,9.6875
1990-08-21,9.375
1990-08-22,9.3125
1990-08-23,9.1875
1990-08-24,9.1875
1990-08-27,9.125
1990-08-28,9.125
1990-08-29,9.25
1990-08-30,9.21875
1990-08-31,9.0625
1990-09-04,8.8125
1990-09-05,8.90625
1990-09-06,8.84375
1990-09-07,8.59375
1990-09-10,8.59375
1990-09-11,8.40625
1990-09-12,8.46875
1990-09-13,8.375
1990-09-14,8.1875
1990-09-17,8.15625
1990-09-18,8.1875
1990-09-19,8.09375
1990-09-20,7.8125
1990-09-21,7.6875
1990-09-24,7.5
1990-09-25,7.5625
1990-09-26,7.75
1990-09-27,7.65625
1990-09-28,7.53125
1990-10-01,7.71875
1990-10-02,7.75
1990-10-03,8.0625
1990-10-04,8.1875
1990-10-05,8.625
1990-10-08,8.625
1990-10-09,8.0
1990-10-10,8.0625
1990-10-11,7.9375
1990-10-12,8.3125
1990-10-15,8.25
1990-10-16,8.25
1990-10-17,8.0
1990-10-18,8.09375
1990-10-19,8.125
1990-10-22,8.25
1990-10-23,8.34375
1990-10-24,8.40625
1990-10-25,8.40625
1990-10-26,8.3125
1990-10-29,8.3125
1990-10-30,8.125
1990-10-31,8.125
1990-11-01,8.0625
1990-11-02,8.03125
1990-11-05,8.0
1990-11-06,8.15625
1990-11-07,8.1875
1990-11-08,8.125
1990-11-09,8.15625
1990-11-12,8.34375
1990-11-13,8.28125
1990-11-14,8.28125
1990-11-15,8.28125
1990-11-16,8.3125
1990-11-19,8.40625
1990-11-20,8.5
1990-11-21,8.71875
1990-11-23,8.8125
1990-11-26,8.8125
1990-11-27,8.96875
1990-11-28,8.71875
1990-11-29,8.53125
1990-11-30,8.53125
1990-12-03,8.5625
1990-12-04,8.4375
1990-12-05,8.4375
1990-12-06,8.75
1990-12-07,8.75
1990-12-10,8.75
1990-12-11,8.75
1990-12-12,8.75
1990-12-13,8.8125
1990-12-14,8.8125
1990-12-17,8.8125
1990-12-18,8.84375
1990-12-19,8.8125
1990-12-20,8.8125
1990-12-21,8.6875
1990-12-24,8.5625
1990-12-26,8.65625
1990-12-27,8.6875
1990-12-28,8.6875
1990-12-31,8.59375
1991-01-02,8.59375
1991-01-03,8.4375
1991-01-04,8.3125
1991-01-07,8.25
1991-01-08,8.25
1991-01-09,8.34375
1991-01-10,8.34375
1991-01-11,8.34375
1991-01-14,8.03125
1991-01-15,8.0
1991-01-16,7.90625
1991-01-17,7.90625
1991-01-18,8.1875
1991-01-21,8.09375
1991-01-22,8.0
1991-01-23,8.125
1991-01-24,8.25
1991-01-25,8.46875
1991-01-28,8.53125
1991-01-29,8.625
1991-01-30,8.625
1991-01-31,8.90625
1991-02-01,9.125
1991-02-04,9.375
1991-02-05,9.40625
1991-02-06,9.15625
1991-02-07,9.25
1991-02-08,9.25
1991-02-11,9.5
1991-02-12,9.4375
1991-02-13,9.59375
1991-02-14,9.6875
1991-02-15,9.6875
1991-02-19,9.71875
1991-02-20,9.71875
1991-02-21,9.875
1991-02-22,9.9375
1991-02-25,9.8125
1991-02-26,9.78125
1991-02-27,9.78125
1991-02-28,10.03125
1991-03-01,10.03125
1991-03-04,10.03125
1991-03-05,10.125
1991-03-06,10.1875
1991-03-07,10.1875
1991-03-08,10.125
1991-03-11,10.03125
1991-03-12,9.9375
1991-03-13,9.875
1991-03-14,9.875
1991-03-15,10.1875
1991-03-18,10.0625
1991-03-19,9.5625
1991-03-20,9.65625
1991-03-21,9.78125
1991-03-22,9.78125
1991-03-25,9.59375
1991-03-26,9.625
1991-03-27,9.71875
1991-03-28,9.75
1991-04-01,9.75
1991-04-02,9.75
1991-04-03,10.125
1991-04-04,10.28125
1991-04-05,10.0625
1991-04-08,10.0625
1991-04-09,10.125
1991-04-10,10.125
1991-04-11,10.125
1991-04-12,10.125
1991-04-15,10.125
1991-04-16,9.9375
1991-04-17,9.8125
1991-04-18,9.8125
1991-04-19,9.625
1991-04-22,9.4375
1991-04-23,9.4375
1991-04-24,9.40625
1991-04-25,9.375
1991-04-26,9.46875
1991-04-29,9.375
1991-04-30,9.375
1991-05-01,9.375
1991-05-02,9.4375
1991-05-03,9.5
1991-05-06,9.5
1991-05-07,9.75
1991-05-08,9.75
1991-05-09,9.6875
1991-05-10,9.625
1991-05-13,9.6875
1991-05-14,9.375
1991-05-15,9.1875
1991-05-16,9.25
1991-05-17,9.25
1991-05-20,9.125
1991-05-21,9.125
1991-05-22,9.125
1991-05-23,9.0625
1991-05-24,9.03125
1991-05-28,9.125
1991-05-29,9.1875
1991-05-30,9.125
1991-05-31,9.125
1991-06-03,9.125
1991-06-04,9.09375
1991-06-05,9.25
1991-06-06,9.25
1991-06-07,9.3125
1991-06-10,9.53125
