,BRPA
2017-12-04,9.600000381469727
2017-12-05,9.600000381469727
2017-12-06,9.600000381469727
2017-12-07,9.640000343322754
2017-12-08,9.65999984741211
2017-12-11,9.680000305175781
2017-12-12,9.680000305175781
2017-12-13,9.680000305175781
2017-12-14,9.699999809265137
2017-12-15,9.75
2017-12-18,9.699999809265137
2017-12-19,9.699999809265137
2017-12-20,9.699999809265137
2017-12-21,9.666000366210938
2017-12-22,9.680000305175781
2017-12-26,9.680000305175781
2017-12-27,9.739999771118164
2017-12-28,9.680000305175781
2017-12-29,9.680000305175781
2018-01-02,9.6899995803833
2018-01-03,9.729999542236328
2018-01-04,9.729999542236328
2018-01-05,9.699999809265137
2018-01-08,9.699999809265137
2018-01-09,9.680000305175781
2018-01-10,9.680000305175781
2018-01-11,9.680000305175781
2018-01-12,9.680000305175781
2018-01-16,9.680000305175781
2018-01-17,9.680000305175781
2018-01-18,9.680000305175781
2018-01-19,9.680000305175781
2018-01-22,9.680000305175781
2018-01-23,9.680000305175781
2018-01-24,9.680000305175781
2018-01-25,9.699999809265137
2018-01-26,9.699999809265137
2018-01-29,9.699999809265137
2018-01-30,9.720000267028809
2018-01-31,9.720000267028809
2018-02-01,9.720000267028809
2018-02-02,9.720000267028809
2018-02-05,9.739999771118164
2018-02-06,9.739999771118164
2018-02-07,9.739999771118164
2018-02-08,9.739999771118164
2018-02-09,9.75
2018-02-12,9.800000190734863
2018-02-13,9.800000190734863
2018-02-14,9.800000190734863
2018-02-15,9.800000190734863
2018-02-16,9.800000190734863
2018-02-20,9.765000343322754
2018-02-21,9.760000228881836
2018-02-22,9.760000228881836
2018-02-23,9.760000228881836
2018-02-26,9.770000457763672
2018-02-27,9.829999923706055
2018-02-28,9.789999961853027
2018-03-01,9.859999656677246
2018-03-02,9.859999656677246
2018-03-05,9.859999656677246
2018-03-06,9.859999656677246
2018-03-07,9.859999656677246
2018-03-08,9.859999656677246
2018-03-09,9.859999656677246
2018-03-12,9.859999656677246
2018-03-13,9.859999656677246
2018-03-14,9.859999656677246
2018-03-15,9.859999656677246
2018-03-16,9.75
2018-03-19,9.75
2018-03-20,9.75
2018-03-21,9.770000457763672
2018-03-22,9.760000228881836
2018-03-23,9.819999694824219
2018-03-26,9.819999694824219
2018-03-27,9.819999694824219
2018-03-28,9.819999694824219
2018-03-29,9.819999694824219
2018-04-02,9.779999732971191
2018-04-03,9.829999923706055
2018-04-04,9.829999923706055
2018-04-05,9.829999923706055
2018-04-06,9.829999923706055
2018-04-09,9.829999923706055
2018-04-10,9.84000015258789
2018-04-11,9.829999923706055
2018-04-12,9.829999923706055
2018-04-13,9.8100004196167
2018-04-16,9.8100004196167
2018-04-17,9.8100004196167
2018-04-18,9.8100004196167
2018-04-19,9.819999694824219
2018-04-20,9.850000381469727
2018-04-23,9.850000381469727
2018-04-24,9.850000381469727
2018-04-25,9.850000381469727
2018-04-26,9.850000381469727
2018-04-27,9.850000381469727
2018-04-30,9.850000381469727
2018-05-01,9.850000381469727
2018-05-02,9.850000381469727
2018-05-03,9.850000381469727
2018-05-04,9.850000381469727
2018-05-07,9.850000381469727
2018-05-08,9.850000381469727
2018-05-09,9.850000381469727
2018-05-10,9.850000381469727
2018-05-11,9.850000381469727
2018-05-14,9.850000381469727
2018-05-15,9.850000381469727
2018-05-16,9.850000381469727
2018-05-17,9.850000381469727
2018-05-18,9.850000381469727
2018-05-21,9.899999618530273
2018-05-22,9.899999618530273
2018-05-23,9.899999618530273
2018-05-24,9.899999618530273
2018-05-25,9.899999618530273
2018-05-29,9.899999618530273
2018-05-30,9.859999656677246
