,CCLP
2011-06-15,19.0
2011-06-16,19.0
2011-06-17,18.549999237060547
2011-06-20,18.020000457763672
2011-06-21,17.979999542236328
2011-06-22,18.09000015258789
2011-06-23,17.8799991607666
2011-06-24,17.739999771118164
2011-06-27,17.950000762939453
2011-06-28,18.200000762939453
2011-06-29,18.700000762939453
2011-06-30,18.68000030517578
2011-07-01,19.010000228881836
2011-07-05,19.06999969482422
2011-07-06,19.149999618530273
2011-07-07,19.18000030517578
2011-07-08,19.200000762939453
2011-07-11,19.010000228881836
2011-07-12,18.899999618530273
2011-07-13,18.729999542236328
2011-07-14,18.540000915527344
2011-07-15,18.450000762939453
2011-07-18,18.170000076293945
2011-07-19,19.229999542236328
2011-07-20,19.329999923706055
2011-07-21,19.239999771118164
2011-07-22,19.100000381469727
2011-07-25,19.229999542236328
2011-07-26,19.190000534057617
2011-07-27,19.0
2011-07-28,19.1299991607666
2011-07-29,18.90999984741211
2011-08-01,19.030000686645508
2011-08-02,18.420000076293945
2011-08-03,18.649999618530273
2011-08-04,18.020000457763672
2011-08-05,16.440000534057617
2011-08-08,15.579999923706055
2011-08-09,18.350000381469727
2011-08-10,16.75
2011-08-11,17.190000534057617
2011-08-12,17.0
2011-08-15,16.299999237060547
2011-08-16,15.279999732971191
2011-08-17,15.600000381469727
2011-08-18,15.8100004196167
2011-08-19,15.25
2011-08-22,14.819999694824219
2011-08-23,14.989999771118164
2011-08-24,16.079999923706055
2011-08-25,15.59000015258789
2011-08-26,15.149999618530273
2011-08-29,15.489999771118164
2011-08-30,15.390000343322754
2011-08-31,15.510000228881836
2011-09-01,15.15999984741211
2011-09-02,15.029999732971191
2011-09-06,14.239999771118164
2011-09-07,14.380000114440918
2011-09-08,15.25
2011-09-09,15.510000228881836
2011-09-12,15.3100004196167
2011-09-13,15.350000381469727
2011-09-14,14.9399995803833
2011-09-15,15.0
2011-09-16,15.300000190734863
2011-09-19,15.0
2011-09-20,15.050000190734863
2011-09-21,15.210000038146973
2011-09-22,15.039999961853027
2011-09-23,14.5
2011-09-26,14.479999542236328
2011-09-27,14.880000114440918
2011-09-28,15.109999656677246
2011-09-29,14.84000015258789
2011-09-30,15.40999984741211
2011-10-03,14.970000267028809
2011-10-04,14.899999618530273
2011-10-05,14.720000267028809
2011-10-06,14.800000190734863
2011-10-07,14.600000381469727
2011-10-10,15.34000015258789
2011-10-11,14.9399995803833
2011-10-12,15.050000190734863
2011-10-13,15.050000190734863
2011-10-14,14.960000038146973
2011-10-17,15.020000457763672
2011-10-18,15.59000015258789
2011-10-19,15.25
2011-10-20,15.25
2011-10-21,15.3100004196167
2011-10-24,17.030000686645508
2011-10-25,16.360000610351562
2011-10-26,16.459999084472656
2011-10-27,16.350000381469727
2011-10-28,15.800000190734863
2011-10-31,16.239999771118164
2011-11-01,15.5
2011-11-02,15.25
2011-11-03,15.930000305175781
2011-11-04,15.539999961853027
2011-11-07,14.960000038146973
2011-11-08,14.770000457763672
2011-11-09,14.600000381469727
2011-11-10,14.529999732971191
2011-11-11,14.600000381469727
2011-11-14,15.239999771118164
2011-11-15,15.4399995803833
2011-11-16,15.25
2011-11-17,15.149999618530273
2011-11-18,15.0
2011-11-21,14.960000038146973
2011-11-22,15.0
2011-11-23,14.630000114440918
2011-11-25,14.550000190734863
2011-11-28,14.0600004196167
2011-11-29,14.210000038146973
2011-11-30,14.470000267028809
2011-12-01,14.289999961853027
2011-12-02,14.300000190734863
2011-12-05,14.020000457763672
2011-12-06,14.010000228881836
2011-12-07,14.1899995803833
2011-12-08,14.050000190734863
2011-12-09,14.199999809265137
2011-12-12,14.0600004196167
2011-12-13,14.0
2011-12-14,13.949999809265137
2011-12-15,14.4399995803833
2011-12-16,14.8100004196167
2011-12-19,14.899999618530273
2011-12-20,15.0
2011-12-21,15.010000228881836
2011-12-22,15.140000343322754
2011-12-23,15.300000190734863
2011-12-27,15.229999542236328
2011-12-28,15.25
2011-12-29,15.0600004196167
2011-12-30,15.0
2012-01-03,15.050000190734863
2012-01-04,15.489999771118164
2012-01-05,15.800000190734863
2012-01-06,16.399999618530273
2012-01-09,16.309999465942383
2012-01-10,16.360000610351562
2012-01-11,16.5
2012-01-12,16.5
2012-01-13,16.75
2012-01-17,16.600000381469727
2012-01-18,16.440000534057617
2012-01-19,16.559999465942383
2012-01-20,16.399999618530273
2012-01-23,15.8100004196167
2012-01-24,16.149999618530273
2012-01-25,16.100000381469727
2012-01-26,16.0
2012-01-27,15.619999885559082
2012-01-30,15.680000305175781
2012-01-31,15.649999618530273
2012-02-01,15.699999809265137
2012-02-02,15.779999732971191
2012-02-03,15.649999618530273
2012-02-06,15.649999618530273
2012-02-07,15.789999961853027
2012-02-08,15.890000343322754
2012-02-09,15.75
2012-02-10,15.75
2012-02-13,15.40999984741211
2012-02-14,15.510000228881836
2012-02-15,15.649999618530273
2012-02-16,15.649999618530273
2012-02-17,16.450000762939453
2012-02-21,16.43000030517578
2012-02-22,16.200000762939453
2012-02-23,16.639999389648438
2012-02-24,16.639999389648438
2012-02-27,16.40999984741211
2012-02-28,16.600000381469727
2012-02-29,16.290000915527344
2012-03-01,16.329999923706055
2012-03-02,16.600000381469727
2012-03-05,16.75
2012-03-06,16.479999542236328
