,EDUT
2020-07-15,15.119999885559082
2020-07-16,14.78600025177002
2020-07-17,15.029999732971191
2020-07-20,15.574000358581543
2020-07-21,15.779000282287598
2020-07-22,15.670000076293945
2020-07-23,15.390000343322754
2020-07-24,15.104999542236328
2020-07-27,15.470000267028809
2020-07-28,15.399999618530273
2020-07-29,15.119999885559082
2020-07-30,15.520000457763672
2020-07-31,15.444000244140625
2020-08-03,16.020000457763672
2020-08-04,16.40999984741211
2020-08-05,16.75
2020-08-06,17.1200008392334
2020-08-07,16.209999084472656
2020-08-10,15.880000114440918
2020-08-11,15.677000045776367
2020-08-12,15.680000305175781
2020-08-13,15.793999671936035
2020-08-14,15.39799976348877
2020-08-17,15.649999618530273
2020-08-18,15.760000228881836
2020-08-19,15.550999641418457
2020-08-20,15.734999656677246
2020-08-21,15.755000114440918
2020-08-24,15.5649995803833
2020-08-25,15.730999946594238
2020-08-26,15.789999961853027
2020-08-27,15.704999923706055
2020-08-28,15.845000267028809
2020-08-31,15.996000289916992
2020-09-01,17.038999557495117
2020-09-02,16.65399932861328
2020-09-03,15.760000228881836
2020-09-04,15.664999961853027
2020-09-08,15.354999542236328
2020-09-09,15.553000450134277
2020-09-10,15.411999702453613
2020-09-11,15.439000129699707
2020-09-14,15.883000373840332
2020-09-15,16.06999969482422
2020-09-16,16.226999282836914
2020-09-17,16.197999954223633
2020-09-18,16.315000534057617
2020-09-21,16.391000747680664
2020-09-22,16.530000686645508
2020-09-23,16.53700065612793
2020-09-24,16.235000610351562
2020-09-25,16.44300079345703
2020-09-28,16.479999542236328
2020-09-29,16.35300064086914
2020-09-30,16.31399917602539
2020-10-01,16.648000717163086
2020-10-02,16.6200008392334
2020-10-05,16.649999618530273
2020-10-06,16.865999221801758
2020-10-07,17.229999542236328
2020-10-08,17.125
2020-10-09,17.670000076293945
2020-10-12,17.829999923706055
2020-10-13,17.844999313354492
2020-10-14,17.746999740600586
2020-10-15,17.652999877929688
2020-10-16,17.733999252319336
2020-10-19,17.549999237060547
2020-10-20,17.68000030517578
2020-10-21,16.719999313354492
2020-10-22,16.424999237060547
