,CDK
2014-09-22,31.0
2014-09-23,31.350000381469727
2014-09-24,32.97999954223633
2014-09-25,31.75
2014-09-26,31.1200008392334
2014-09-29,30.75
2014-09-30,30.59000015258789
2014-10-01,31.0
2014-10-02,30.299999237060547
2014-10-03,29.559999465942383
2014-10-06,29.420000076293945
2014-10-07,27.5
2014-10-08,27.81999969482422
2014-10-09,26.530000686645508
2014-10-10,26.0
2014-10-13,26.174999237060547
2014-10-14,25.979999542236328
2014-10-15,25.510000228881836
2014-10-16,25.219999313354492
2014-10-17,26.670000076293945
2014-10-20,27.200000762939453
2014-10-21,28.030000686645508
2014-10-22,28.1200008392334
2014-10-23,29.09000015258789
2014-10-24,29.3700008392334
2014-10-27,29.790000915527344
2014-10-28,33.02000045776367
2014-10-29,32.36000061035156
2014-10-30,32.650001525878906
2014-10-31,33.599998474121094
2014-11-03,33.61000061035156
2014-11-04,33.619998931884766
2014-11-05,34.619998931884766
2014-11-06,36.099998474121094
2014-11-07,36.59000015258789
2014-11-10,36.810001373291016
2014-11-11,38.790000915527344
2014-11-12,40.02000045776367
2014-11-13,41.93000030517578
2014-11-14,39.66999816894531
2014-11-17,40.2400016784668
2014-11-18,39.099998474121094
2014-11-19,38.400001525878906
2014-11-20,38.13999938964844
2014-11-21,38.45000076293945
2014-11-24,38.470001220703125
2014-11-25,38.2400016784668
2014-11-26,37.970001220703125
2014-11-28,38.06999969482422
2014-12-01,39.439998626708984
2014-12-02,40.470001220703125
2014-12-03,40.560001373291016
2014-12-04,40.88999938964844
2014-12-05,40.060001373291016
2014-12-08,40.34000015258789
2014-12-09,40.779998779296875
2014-12-10,39.900001525878906
2014-12-11,40.16999816894531
2014-12-12,40.0099983215332
2014-12-15,39.41999816894531
2014-12-16,38.77000045776367
2014-12-17,40.349998474121094
2014-12-18,40.709999084472656
2014-12-19,40.290000915527344
2014-12-22,39.79999923706055
2014-12-23,40.599998474121094
2014-12-24,41.25
2014-12-26,41.290000915527344
2014-12-29,40.97999954223633
2014-12-30,40.40999984741211
2014-12-31,40.7599983215332
2015-01-02,40.470001220703125
2015-01-05,39.81999969482422
2015-01-06,39.709999084472656
2015-01-07,39.810001373291016
2015-01-08,40.86000061035156
2015-01-09,41.290000915527344
2015-01-12,41.54999923706055
2015-01-13,42.279998779296875
2015-01-14,41.939998626708984
2015-01-15,41.709999084472656
2015-01-16,42.09000015258789
2015-01-20,43.540000915527344
2015-01-21,43.56999969482422
2015-01-22,44.95000076293945
2015-01-23,44.97999954223633
2015-01-26,46.52000045776367
2015-01-27,46.20000076293945
2015-01-28,45.27000045776367
2015-01-29,45.650001525878906
2015-01-30,45.15999984741211
2015-02-02,45.439998626708984
2015-02-03,45.13999938964844
2015-02-04,44.9900016784668
2015-02-05,47.36000061035156
2015-02-06,47.689998626708984
2015-02-09,47.279998779296875
2015-02-10,47.060001373291016
2015-02-11,46.189998626708984
2015-02-12,46.08000183105469
2015-02-13,47.0
2015-02-17,47.119998931884766
2015-02-18,47.290000915527344
2015-02-19,47.61000061035156
2015-02-20,48.0
2015-02-23,47.2400016784668
2015-02-24,47.36000061035156
2015-02-25,46.9900016784668
2015-02-26,46.529998779296875
2015-02-27,46.83000183105469
2015-03-02,47.0099983215332
2015-03-03,46.7599983215332
2015-03-04,46.130001068115234
2015-03-05,46.34000015258789
2015-03-06,46.06999969482422
2015-03-09,46.84000015258789
2015-03-10,46.29999923706055
2015-03-11,46.54999923706055
2015-03-12,46.79999923706055
2015-03-13,46.810001373291016
2015-03-16,47.65999984741211
2015-03-17,47.81999969482422
2015-03-18,48.72999954223633
2015-03-19,48.5
2015-03-20,48.33000183105469
2015-03-23,48.25
2015-03-24,47.29999923706055
2015-03-25,46.16999816894531
2015-03-26,46.369998931884766
2015-03-27,46.5
2015-03-30,47.099998474121094
2015-03-31,46.7599983215332
2015-04-01,46.90999984741211
2015-04-02,45.70000076293945
2015-04-06,45.939998626708984
2015-04-07,45.970001220703125
2015-04-08,45.900001525878906
2015-04-09,46.630001068115234
2015-04-10,47.70000076293945
2015-04-13,47.31999969482422
2015-04-14,47.290000915527344
2015-04-15,47.31999969482422
2015-04-16,47.72999954223633
2015-04-17,47.08000183105469
2015-04-20,47.59000015258789
2015-04-21,48.0
2015-04-22,47.9900016784668
2015-04-23,48.869998931884766
2015-04-24,49.189998626708984
2015-04-27,48.790000915527344
2015-04-28,49.0
2015-04-29,48.38999938964844
2015-04-30,47.91999816894531
2015-05-01,48.5099983215332
2015-05-04,48.97999954223633
2015-05-05,48.97999954223633
2015-05-06,49.099998474121094
2015-05-07,49.5099983215332
2015-05-08,50.56999969482422
2015-05-11,51.58000183105469
2015-05-12,53.40999984741211
2015-05-13,54.0099983215332
2015-05-14,54.43000030517578
2015-05-15,53.91999816894531
2015-05-18,54.0099983215332
2015-05-19,53.900001525878906
2015-05-20,54.27000045776367
2015-05-21,54.119998931884766
2015-05-22,54.31999969482422
2015-05-26,54.45000076293945
2015-05-27,54.66999816894531
