,AMPG
2021-01-08,8.800000190734863
2021-01-11,9.199999809265137
2021-01-12,9.5
2021-01-13,9.399999618530273
2021-01-14,9.199999809265137
2021-01-15,8.600000381469727
2021-01-19,9.399999618530273
2021-01-20,9.0
2021-01-21,8.800000190734863
2021-01-22,9.0
2021-01-25,12.0
2021-01-26,12.5
2021-01-27,14.600000381469727
2021-01-28,13.600000381469727
2021-01-29,13.199999809265137
2021-02-01,13.199999809265137
2021-02-02,13.0
2021-02-03,12.699999809265137
2021-02-04,14.399999618530273
2021-02-05,14.5
2021-02-08,13.199999809265137
2021-02-09,13.0
2021-02-10,12.899999618530273
2021-02-11,13.0
2021-02-12,12.680000305175781
2021-02-16,18.0
2021-02-17,6.610000133514404
2021-02-18,7.449999809265137
2021-02-19,8.359999656677246
2021-02-22,8.5
2021-02-23,8.779999732971191
2021-02-24,9.25
2021-02-25,8.520000457763672
2021-02-26,9.0
2021-03-01,8.75
2021-03-02,8.388999938964844
2021-03-03,8.279999732971191
2021-03-04,8.399999618530273
2021-03-05,9.960000038146973
2021-03-08,11.039999961853027
2021-03-09,10.600000381469727
2021-03-10,10.399999618530273
2021-03-11,10.850000381469727
2021-03-12,11.029999732971191
2021-03-15,10.039999961853027
2021-03-16,9.470000267028809
2021-03-17,9.3100004196167
2021-03-18,8.529999732971191
2021-03-19,8.619999885559082
2021-03-22,8.34000015258789
2021-03-23,8.5
2021-03-24,8.960000038146973
2021-03-25,9.800000190734863
2021-03-26,10.779999732971191
2021-03-29,11.149999618530273
2021-03-30,11.029999732971191
2021-03-31,10.949999809265137
2021-04-01,11.729999542236328
2021-04-05,12.430000305175781
2021-04-06,10.25
2021-04-07,9.539999961853027
2021-04-08,9.579999923706055
2021-04-09,9.34000015258789
2021-04-12,9.0
2021-04-13,9.010000228881836
2021-04-14,8.390000343322754
2021-04-15,6.590000152587891
2021-04-16,6.599999904632568
2021-04-19,6.010000228881836
2021-04-20,5.289999961853027
2021-04-21,5.420000076293945
2021-04-22,5.5
2021-04-23,5.559999942779541
2021-04-26,6.570000171661377
2021-04-27,6.260000228881836
2021-04-28,6.179999828338623
2021-04-29,6.150000095367432
2021-04-30,6.090000152587891
2021-05-03,5.760000228881836
2021-05-04,5.489999771118164
2021-05-05,5.150000095367432
2021-05-06,4.840000152587891
2021-05-07,4.690000057220459
2021-05-10,4.309999942779541
2021-05-11,4.070000171661377
2021-05-12,4.050000190734863
2021-05-13,3.75
2021-05-14,3.890000104904175
