,APPS
2006-07-06,2.0999999046325684
2006-07-07,2.200000047683716
2006-07-10,2.200000047683716
2006-07-11,2.200000047683716
2006-07-12,2.200000047683716
2006-07-13,2.5
2006-07-14,2.5
2006-07-17,2.5
2006-07-18,2.5
2006-07-19,2.5
2006-07-20,2.200000047683716
2006-07-21,2.700000047683716
2006-07-24,2.5
2006-07-25,2.5
2006-07-26,2.5
2006-07-27,3.0
2006-07-28,4.0
2006-07-31,4.599999904632568
2006-08-01,4.599999904632568
2006-08-02,5.199999809265137
2006-08-03,6.599999904632568
2006-08-04,6.599999904632568
2006-08-07,6.599999904632568
2006-08-08,8.0
2006-08-09,8.0
2006-08-10,8.0
2006-08-11,8.0
2006-08-14,6.0
2006-08-15,12.0
2006-08-16,12.0
2006-08-17,12.0
2006-08-18,9.899999618530273
2006-08-21,9.899999618530273
2006-08-22,9.899999618530273
2006-08-23,7.75
2006-08-24,7.5
2006-08-25,6.25
2006-08-28,6.25
2006-08-29,5.5
2006-08-30,5.75
2006-08-31,5.5
2006-09-01,5.0
2006-09-05,4.75
2006-09-06,5.25
2006-09-07,5.099999904632568
2006-09-08,5.099999904632568
2006-09-11,5.5
2006-09-12,6.25
2006-09-13,6.25
2006-09-14,6.25
2006-09-15,6.25
2006-09-18,6.25
2006-09-19,6.25
2006-09-20,6.0
2006-09-21,6.0
2006-09-22,6.0
2006-09-25,6.0
2006-09-26,6.25
2006-09-27,6.25
2006-09-28,6.75
2006-09-29,7.5
2006-10-02,7.5
2006-10-03,6.75
2006-10-04,6.25
2006-10-05,6.25
2006-10-06,6.25
2006-10-09,6.25
2006-10-10,6.25
2006-10-11,6.75
2006-10-12,7.25
2006-10-13,7.5
2006-10-16,7.5
2006-10-17,7.5
2006-10-18,7.75
2006-10-19,8.75
2006-10-20,8.75
2006-10-23,8.399999618530273
2006-10-24,8.399999618530273
2006-10-25,8.399999618530273
2006-10-26,8.399999618530273
2006-10-27,8.399999618530273
2006-10-30,8.399999618530273
2006-10-31,7.5
2006-11-01,7.5
