,ABTX
2015-10-08,23.1200008392334
2015-10-09,22.520000457763672
2015-10-12,22.200000762939453
2015-10-13,22.299999237060547
2015-10-14,22.350000381469727
2015-10-15,22.31999969482422
2015-10-16,22.5
2015-10-19,22.5
2015-10-20,22.389999389648438
2015-10-21,22.329999923706055
2015-10-22,22.15999984741211
2015-10-23,22.170000076293945
2015-10-26,22.18400001525879
2015-10-27,22.100000381469727
2015-10-28,22.43000030517578
2015-10-29,23.700000762939453
2015-10-30,23.18000030517578
2015-11-02,23.559999465942383
2015-11-03,23.389999389648438
2015-11-04,23.275999069213867
2015-11-05,23.25
2015-11-06,23.81999969482422
2015-11-09,23.09000015258789
2015-11-10,23.700000762939453
2015-11-11,23.93000030517578
2015-11-12,23.885000228881836
2015-11-13,23.7549991607666
2015-11-16,22.479999542236328
2015-11-17,22.639999389648438
2015-11-18,22.75
2015-11-19,22.5
2015-11-20,22.600000381469727
2015-11-23,23.559999465942383
2015-11-24,23.6299991607666
2015-11-25,24.485000610351562
2015-11-27,24.219999313354492
2015-11-30,24.260000228881836
2015-12-01,24.469999313354492
2015-12-02,24.0
2015-12-03,24.076000213623047
2015-12-04,24.139999389648438
2015-12-07,24.59000015258789
2015-12-08,26.260000228881836
2015-12-09,25.34000015258789
2015-12-10,24.360000610351562
2015-12-11,24.149999618530273
2015-12-14,23.579999923706055
2015-12-15,23.780000686645508
2015-12-16,23.7549991607666
2015-12-17,23.989999771118164
2015-12-18,22.780000686645508
2015-12-21,23.719999313354492
2015-12-22,23.899999618530273
2015-12-23,23.68000030517578
2015-12-24,23.420000076293945
2015-12-28,23.149999618530273
2015-12-29,23.5
2015-12-30,23.850000381469727
2015-12-31,23.649999618530273
2016-01-04,22.809999465942383
2016-01-05,23.479999542236328
2016-01-06,23.010000228881836
2016-01-07,22.399999618530273
2016-01-08,22.260000228881836
2016-01-11,22.200000762939453
2016-01-12,21.280000686645508
2016-01-13,20.959999084472656
2016-01-14,20.81999969482422
2016-01-15,20.739999771118164
2016-01-19,19.65999984741211
2016-01-20,19.34000015258789
2016-01-21,18.290000915527344
2016-01-22,17.75
2016-01-25,16.719999313354492
2016-01-26,17.139999389648438
2016-01-27,16.780000686645508
2016-01-28,16.93000030517578
2016-01-29,18.549999237060547
2016-02-01,19.770000457763672
2016-02-02,18.770000457763672
2016-02-03,18.989999771118164
2016-02-04,19.25
2016-02-05,18.989999771118164
2016-02-08,18.940000534057617
2016-02-09,18.389999389648438
2016-02-10,16.510000228881836
