,FHTX
2020-10-23,18.1200008392334
2020-10-26,17.200000762939453
2020-10-27,16.0
2020-10-28,15.119999885559082
2020-10-29,16.0
2020-10-30,15.979999542236328
2020-11-02,15.949999809265137
2020-11-03,15.850000381469727
2020-11-04,16.0
2020-11-05,16.0
2020-11-06,15.979999542236328
2020-11-09,15.899999618530273
2020-11-10,16.1299991607666
2020-11-11,16.049999237060547
2020-11-12,15.90999984741211
2020-11-13,16.059999465942383
2020-11-16,16.049999237060547
2020-11-17,17.0
2020-11-18,17.559999465942383
2020-11-19,17.43000030517578
2020-11-20,16.93000030517578
2020-11-23,16.709999084472656
2020-11-24,17.420000076293945
2020-11-25,18.549999237060547
2020-11-27,20.950000762939453
2020-11-30,20.200000762939453
2020-12-01,19.049999237060547
2020-12-02,17.149999618530273
2020-12-03,19.81999969482422
2020-12-04,20.200000762939453
2020-12-07,21.979999542236328
2020-12-08,22.030000686645508
2020-12-09,20.610000610351562
2020-12-10,20.1200008392334
2020-12-11,22.979999542236328
2020-12-14,20.0
2020-12-15,21.34000015258789
2020-12-16,22.389999389648438
2020-12-17,24.700000762939453
2020-12-18,25.8799991607666
2020-12-21,23.799999237060547
2020-12-22,24.729999542236328
2020-12-23,24.719999313354492
2020-12-24,24.6299991607666
2020-12-28,22.649999618530273
2020-12-29,22.1200008392334
2020-12-30,21.290000915527344
2020-12-31,20.270000457763672
2021-01-04,19.059999465942383
2021-01-05,19.260000228881836
2021-01-06,19.049999237060547
2021-01-07,18.889999389648438
2021-01-08,19.260000228881836
2021-01-11,19.1299991607666
2021-01-12,19.059999465942383
2021-01-13,19.770000457763672
2021-01-14,18.979999542236328
2021-01-15,19.520000457763672
2021-01-19,19.270000457763672
2021-01-20,19.40999984741211
2021-01-21,19.459999084472656
2021-01-22,20.770000457763672
2021-01-25,23.110000610351562
2021-01-26,19.510000228881836
2021-01-27,17.43000030517578
2021-01-28,16.6299991607666
2021-01-29,16.5
2021-02-01,16.299999237060547
2021-02-02,17.280000686645508
2021-02-03,16.530000686645508
2021-02-04,17.6299991607666
2021-02-05,17.829999923706055
2021-02-08,17.84000015258789
2021-02-09,18.65999984741211
2021-02-10,17.700000762939453
2021-02-11,17.09000015258789
2021-02-12,16.8799991607666
2021-02-16,16.479999542236328
2021-02-17,15.819999694824219
2021-02-18,15.680000305175781
2021-02-19,16.5
2021-02-22,16.1299991607666
2021-02-23,16.059999465942383
2021-02-24,16.010000228881836
2021-02-25,16.299999237060547
2021-02-26,16.459999084472656
2021-03-01,16.290000915527344
2021-03-02,15.920000076293945
2021-03-03,16.309999465942383
2021-03-04,14.6899995803833
2021-03-05,13.710000038146973
2021-03-08,12.460000038146973
2021-03-09,12.720000267028809
2021-03-10,12.380000114440918
2021-03-11,12.729999542236328
2021-03-12,12.550000190734863
2021-03-15,12.680000305175781
2021-03-16,12.489999771118164
2021-03-17,12.119999885559082
2021-03-18,11.800000190734863
2021-03-19,16.1200008392334
2021-03-22,16.8700008392334
2021-03-23,15.65999984741211
2021-03-24,13.0
2021-03-25,13.359999656677246
2021-03-26,13.279999732971191
2021-03-29,13.0
2021-03-30,13.020000457763672
2021-03-31,13.180000305175781
2021-04-01,12.729999542236328
2021-04-05,13.260000228881836
2021-04-06,12.229999542236328
2021-04-07,12.039999961853027
2021-04-08,11.90999984741211
2021-04-09,12.289999961853027
2021-04-12,12.140000343322754
2021-04-13,12.210000038146973
2021-04-14,11.9399995803833
2021-04-15,11.779999732971191
2021-04-16,11.5
2021-04-19,10.770000457763672
2021-04-20,10.609999656677246
2021-04-21,11.979999542236328
2021-04-22,11.890000343322754
2021-04-23,11.670000076293945
2021-04-26,11.5600004196167
2021-04-27,11.5
2021-04-28,11.319999694824219
2021-04-29,10.619999885559082
2021-04-30,10.979999542236328
2021-05-03,10.609999656677246
2021-05-04,10.350000381469727
2021-05-05,10.350000381469727
2021-05-06,10.1899995803833
2021-05-07,9.859999656677246
2021-05-10,9.819999694824219
2021-05-11,9.819999694824219
2021-05-12,9.869999885559082
2021-05-13,9.989999771118164
2021-05-14,9.680000305175781
