,FRLN
2020-08-07,18.0
2020-08-10,16.309999465942383
2020-08-11,16.020000457763672
2020-08-12,17.450000762939453
2020-08-13,16.989999771118164
2020-08-14,17.139999389648438
2020-08-17,16.3700008392334
2020-08-18,16.270000457763672
2020-08-19,17.110000610351562
2020-08-20,18.1200008392334
2020-08-21,17.760000228881836
2020-08-24,16.690000534057617
2020-08-25,17.549999237060547
2020-08-26,16.809999465942383
2020-08-27,16.489999771118164
2020-08-28,16.149999618530273
2020-08-31,16.110000610351562
2020-09-01,15.90999984741211
2020-09-02,16.18000030517578
2020-09-03,16.260000228881836
2020-09-04,16.15999984741211
2020-09-08,16.540000915527344
2020-09-09,17.010000228881836
2020-09-10,17.06999969482422
2020-09-11,17.020000457763672
2020-09-14,17.139999389648438
2020-09-15,17.040000915527344
2020-09-16,17.040000915527344
2020-09-17,17.190000534057617
2020-09-18,16.90999984741211
2020-09-21,17.200000762939453
2020-09-22,16.969999313354492
2020-09-23,16.510000228881836
2020-09-24,16.399999618530273
2020-09-25,16.604999542236328
2020-09-28,15.710000038146973
2020-09-29,15.449999809265137
2020-09-30,15.609999656677246
2020-10-01,15.725000381469727
2020-10-02,15.460000038146973
2020-10-05,15.760000228881836
2020-10-06,15.805000305175781
2020-10-07,15.579999923706055
2020-10-08,15.8100004196167
2020-10-09,16.246000289916992
2020-10-12,15.899999618530273
2020-10-13,15.880000114440918
2020-10-14,15.90999984741211
2020-10-15,16.209999084472656
2020-10-16,16.09000015258789
2020-10-19,16.1200008392334
2020-10-20,16.170000076293945
2020-10-21,16.959999084472656
2020-10-22,16.829999923706055
2020-10-23,16.5049991607666
2020-10-26,17.100000381469727
2020-10-27,17.75
2020-10-28,17.25
2020-10-29,17.5
2020-10-30,17.899999618530273
2020-11-02,17.459999084472656
2020-11-03,17.93000030517578
2020-11-04,18.1200008392334
2020-11-05,17.450000762939453
2020-11-06,17.260000228881836
2020-11-09,17.299999237060547
2020-11-10,17.1200008392334
2020-11-11,17.260000228881836
2020-11-12,16.959999084472656
2020-11-13,16.329999923706055
2020-11-16,15.699999809265137
2020-11-17,14.9399995803833
2020-11-18,15.40999984741211
2020-11-19,14.949999809265137
2020-11-20,15.609999656677246
2020-11-23,15.960000038146973
2020-11-24,15.859999656677246
2020-11-25,16.0
2020-11-27,16.1299991607666
2020-11-30,15.899999618530273
2020-12-01,16.0
2020-12-02,16.219999313354492
2020-12-03,16.75
2020-12-04,16.899999618530273
2020-12-07,17.479999542236328
2020-12-08,17.5
2020-12-09,16.959999084472656
2020-12-10,17.399999618530273
2020-12-11,17.450000762939453
2020-12-14,18.0
2020-12-15,17.399999618530273
2020-12-16,17.600000381469727
2020-12-17,18.299999237060547
2020-12-18,18.0
2020-12-21,17.75
2020-12-22,17.8799991607666
2020-12-23,17.799999237060547
2020-12-24,16.84000015258789
2020-12-28,17.399999618530273
2020-12-29,17.364999771118164
2020-12-30,17.25
2020-12-31,18.260000228881836
2021-01-04,17.829999923706055
2021-01-05,18.0
2021-01-06,18.1299991607666
2021-01-07,17.719999313354492
2021-01-08,17.75
2021-01-11,18.0
2021-01-12,18.100000381469727
2021-01-13,17.309999465942383
2021-01-14,17.850000381469727
2021-01-15,17.68000030517578
2021-01-19,17.959999084472656
2021-01-20,17.989999771118164
2021-01-21,18.100000381469727
2021-01-22,18.200000762939453
2021-01-25,18.059999465942383
2021-01-26,17.790000915527344
2021-01-27,17.25
2021-01-28,17.75
2021-01-29,17.989999771118164
2021-02-01,17.469999313354492
2021-02-02,17.579999923706055
2021-02-03,17.540000915527344
2021-02-04,17.600000381469727
2021-02-05,17.34000015258789
2021-02-08,15.699999809265137
2021-02-09,16.25
2021-02-10,15.989999771118164
2021-02-11,15.119999885559082
2021-02-12,15.5600004196167
2021-02-16,15.800000190734863
2021-02-17,15.800000190734863
2021-02-18,15.380000114440918
2021-02-19,15.770000457763672
2021-02-22,15.664999961853027
2021-02-23,15.062000274658203
2021-02-24,15.609999656677246
2021-02-25,15.130000114440918
2021-02-26,14.90999984741211
2021-03-01,15.25
2021-03-02,14.960000038146973
2021-03-03,14.5600004196167
2021-03-04,13.5
2021-03-05,13.675000190734863
2021-03-08,14.489999771118164
2021-03-09,14.539999961853027
2021-03-10,14.279999732971191
2021-03-11,14.34000015258789
2021-03-12,14.09000015258789
2021-03-15,13.420000076293945
2021-03-16,13.289999961853027
2021-03-17,13.390000343322754
2021-03-18,13.170000076293945
2021-03-19,13.600000381469727
2021-03-22,13.760000228881836
2021-03-23,14.359999656677246
2021-03-24,14.41100025177002
2021-03-25,14.199999809265137
2021-03-26,13.562999725341797
2021-03-29,12.979999542236328
2021-03-30,13.289999961853027
2021-03-31,12.300000190734863
2021-04-01,13.670000076293945
2021-04-05,13.199999809265137
2021-04-06,12.800000190734863
2021-04-07,13.0
2021-04-08,13.899999618530273
2021-04-09,13.229999542236328
2021-04-12,12.800000190734863
2021-04-13,12.15999984741211
2021-04-14,12.050000190734863
2021-04-15,12.140000343322754
2021-04-16,12.420000076293945
2021-04-19,12.25
2021-04-20,12.239999771118164
2021-04-21,12.0
2021-04-22,11.899999618530273
2021-04-23,12.300000190734863
2021-04-26,12.619999885559082
2021-04-27,12.300000190734863
2021-04-28,12.0
2021-04-29,11.760000228881836
2021-04-30,11.0
2021-05-03,11.359999656677246
2021-05-04,11.359999656677246
2021-05-05,11.25
2021-05-06,8.850000381469727
2021-05-07,9.600000381469727
2021-05-10,9.069999694824219
2021-05-11,8.739999771118164
2021-05-12,8.989999771118164
2021-05-13,8.75
2021-05-14,8.75
