,BCOV
2012-02-17,14.300000190734863
2012-02-21,15.149999618530273
2012-02-22,14.84000015258789
2012-02-23,14.949999809265137
2012-02-24,15.100000381469727
2012-02-27,14.850000381469727
2012-02-28,15.0
2012-02-29,14.899999618530273
2012-03-01,16.5
2012-03-02,16.299999237060547
2012-03-05,15.550000190734863
2012-03-06,15.300000190734863
2012-03-07,14.289999961853027
2012-03-08,15.59000015258789
2012-03-09,16.100000381469727
2012-03-12,16.65999984741211
2012-03-13,16.559999465942383
2012-03-14,17.639999389648438
2012-03-15,19.860000610351562
2012-03-16,21.1200008392334
2012-03-19,20.09000015258789
2012-03-20,19.75
2012-03-21,19.290000915527344
2012-03-22,20.3700008392334
2012-03-23,20.950000762939453
2012-03-26,21.700000762939453
2012-03-27,22.329999923706055
2012-03-28,23.739999771118164
2012-03-29,24.850000381469727
2012-03-30,24.799999237060547
2012-04-02,23.219999313354492
2012-04-03,22.239999771118164
2012-04-04,21.600000381469727
2012-04-05,21.950000762939453
2012-04-09,19.81999969482422
2012-04-10,19.06999969482422
2012-04-11,17.68000030517578
2012-04-12,18.40999984741211
2012-04-13,19.309999465942383
2012-04-16,18.100000381469727
2012-04-17,17.510000228881836
2012-04-18,17.59000015258789
2012-04-19,17.649999618530273
2012-04-20,17.860000610351562
2012-04-23,17.780000686645508
2012-04-24,17.520000457763672
2012-04-25,16.940000534057617
2012-04-26,18.15999984741211
2012-04-27,19.729999542236328
2012-04-30,18.75
2012-05-01,19.829999923706055
2012-05-02,18.90999984741211
2012-05-03,19.0
2012-05-04,19.309999465942383
2012-05-07,17.1299991607666
2012-05-08,16.8799991607666
2012-05-09,16.84000015258789
2012-05-10,16.670000076293945
2012-05-11,15.25
2012-05-14,14.289999961853027
2012-05-15,14.399999618530273
2012-05-16,14.90999984741211
2012-05-17,14.3100004196167
2012-05-18,14.760000228881836
2012-05-21,14.489999771118164
2012-05-22,13.5
2012-05-23,12.90999984741211
2012-05-24,13.1899995803833
2012-05-25,13.739999771118164
2012-05-29,13.1899995803833
2012-05-30,12.470000267028809
2012-05-31,12.680000305175781
2012-06-01,12.350000381469727
2012-06-04,12.40999984741211
2012-06-05,12.930000305175781
2012-06-06,13.220000267028809
2012-06-07,14.020000457763672
2012-06-08,14.729999542236328
2012-06-11,14.460000038146973
2012-06-12,15.119999885559082
2012-06-13,15.15999984741211
2012-06-14,14.619999885559082
2012-06-15,15.229999542236328
2012-06-18,15.470000267028809
2012-06-19,16.020000457763672
2012-06-20,15.789999961853027
2012-06-21,15.0
2012-06-22,15.829999923706055
2012-06-25,15.710000038146973
2012-06-26,15.989999771118164
2012-06-27,16.139999389648438
2012-06-28,15.34000015258789
2012-06-29,15.3100004196167
2012-07-02,15.989999771118164
2012-07-03,16.40999984741211
2012-07-05,15.630000114440918
2012-07-06,14.720000267028809
2012-07-09,13.789999961853027
2012-07-10,13.729999542236328
2012-07-11,13.850000381469727
2012-07-12,12.979999542236328
2012-07-13,13.789999961853027
2012-07-16,14.34000015258789
2012-07-17,14.979999542236328
2012-07-18,15.050000190734863
2012-07-19,15.039999961853027
2012-07-20,15.869999885559082
2012-07-23,15.510000228881836
2012-07-24,14.9399995803833
2012-07-25,14.680000305175781
2012-07-26,15.039999961853027
2012-07-27,16.200000762939453
2012-07-30,14.890000343322754
2012-07-31,14.8100004196167
2012-08-01,13.680000305175781
2012-08-02,13.460000038146973
2012-08-03,13.960000038146973
2012-08-06,14.739999771118164
2012-08-07,15.25
2012-08-08,14.9399995803833
2012-08-09,14.699999809265137
2012-08-10,14.550000190734863
2012-08-13,14.199999809265137
2012-08-14,12.979999542236328
2012-08-15,11.6899995803833
2012-08-16,11.789999961853027
2012-08-17,12.15999984741211
2012-08-20,12.0
2012-08-21,12.0600004196167
2012-08-22,12.479999542236328
2012-08-23,12.460000038146973
2012-08-24,12.430000305175781
2012-08-27,12.079999923706055
2012-08-28,12.199999809265137
2012-08-29,12.449999809265137
2012-08-30,12.800000190734863
2012-08-31,12.920000076293945
2012-09-04,12.949999809265137
2012-09-05,12.920000076293945
2012-09-06,12.579999923706055
2012-09-07,12.34000015258789
2012-09-10,12.020000457763672
2012-09-11,11.369999885559082
2012-09-12,11.850000381469727
2012-09-13,12.460000038146973
2012-09-14,12.489999771118164
2012-09-17,12.279999732971191
2012-09-18,12.390000343322754
2012-09-19,12.430000305175781
2012-09-20,12.25
2012-09-21,12.350000381469727
