,EMXC
2017-07-26,50.90999984741211
2017-07-27,50.90999984741211
2017-07-28,50.66999816894531
2017-07-31,50.58000183105469
2017-08-01,50.58000183105469
2017-08-02,51.005001068115234
2017-08-03,50.619998931884766
2017-08-04,50.81999969482422
2017-08-07,50.81999969482422
2017-08-08,50.81999969482422
2017-08-09,50.33000183105469
2017-08-10,50.33000183105469
2017-08-11,50.33000183105469
2017-08-14,50.106998443603516
2017-08-15,50.11000061035156
2017-08-16,50.349998474121094
2017-08-17,50.349998474121094
2017-08-18,50.20000076293945
2017-08-21,50.20000076293945
2017-08-22,50.20000076293945
2017-08-23,51.060001373291016
2017-08-24,51.310001373291016
2017-08-25,51.52399826049805
2017-08-28,51.52399826049805
2017-08-29,51.52399826049805
2017-08-30,51.380001068115234
2017-08-31,51.380001068115234
2017-09-01,51.81999969482422
2017-09-05,51.81999969482422
2017-09-06,51.500999450683594
2017-09-07,51.500999450683594
2017-09-08,51.63999938964844
2017-09-11,52.08000183105469
2017-09-12,52.08000183105469
2017-09-13,51.689998626708984
2017-09-14,51.810001373291016
2017-09-15,52.15999984741211
2017-09-18,52.310001373291016
2017-09-19,52.310001373291016
2017-09-20,52.310001373291016
2017-09-21,52.310001373291016
2017-09-22,51.82400131225586
2017-09-25,51.29999923706055
2017-09-26,51.0
2017-09-27,50.52000045776367
2017-09-28,50.540000915527344
2017-09-29,51.040000915527344
2017-10-02,51.040000915527344
2017-10-03,51.29999923706055
2017-10-04,51.630001068115234
2017-10-05,51.630001068115234
2017-10-06,51.619998931884766
2017-10-09,51.47999954223633
2017-10-10,52.040000915527344
2017-10-11,52.040000915527344
2017-10-12,52.040000915527344
2017-10-13,53.150001525878906
2017-10-16,53.20100021362305
2017-10-17,52.82899856567383
2017-10-18,52.82899856567383
2017-10-19,52.529998779296875
2017-10-20,52.619998931884766
2017-10-23,52.619998931884766
2017-10-24,52.619998931884766
2017-10-25,52.619998931884766
2017-10-26,52.13999938964844
2017-10-27,52.13999938964844
2017-10-30,52.33000183105469
2017-10-31,52.720001220703125
2017-11-01,53.15999984741211
2017-11-02,53.15999984741211
2017-11-03,52.560001373291016
2017-11-06,53.2599983215332
2017-11-07,52.650001525878906
2017-11-08,52.93899917602539
2017-11-09,52.56999969482422
2017-11-10,52.56999969482422
2017-11-13,52.56999969482422
2017-11-14,51.810001373291016
2017-11-15,51.810001373291016
2017-11-16,51.810001373291016
2017-11-17,51.810001373291016
2017-11-20,52.909000396728516
2017-11-21,53.369998931884766
2017-11-22,53.61000061035156
2017-11-24,53.56999969482422
2017-11-27,53.04999923706055
2017-11-28,53.40999984741211
2017-11-29,52.939998626708984
2017-11-30,52.66999816894531
2017-12-01,52.66999816894531
2017-12-04,52.44900131225586
2017-12-05,52.44900131225586
2017-12-06,51.790000915527344
2017-12-07,51.7400016784668
2017-12-08,52.099998474121094
2017-12-11,52.099998474121094
2017-12-12,51.869998931884766
2017-12-13,52.459999084472656
2017-12-14,52.38999938964844
2017-12-15,52.38100051879883
2017-12-18,53.150001525878906
2017-12-19,52.2599983215332
2017-12-20,52.2599983215332
2017-12-21,52.560001373291016
2017-12-22,52.779998779296875
2017-12-26,52.810001373291016
2017-12-27,53.060001373291016
2017-12-28,53.54999923706055
2017-12-29,53.93000030517578
2018-01-02,54.5
2018-01-03,55.02000045776367
2018-01-04,55.06999969482422
2018-01-05,55.599998474121094
2018-01-08,55.584999084472656
2018-01-09,55.41999816894531
2018-01-10,54.979000091552734
2018-01-11,55.36000061035156
2018-01-12,55.724998474121094
2018-01-16,55.939998626708984
2018-01-17,56.58100128173828
2018-01-18,56.564998626708984
2018-01-19,56.696998596191406
2018-01-22,56.696998596191406
2018-01-23,57.132999420166016
2018-01-24,57.5
2018-01-25,58.05500030517578
2018-01-26,58.41400146484375
2018-01-29,57.849998474121094
2018-01-30,56.89500045776367
2018-01-31,57.3650016784668
2018-02-01,57.130001068115234
2018-02-02,55.779998779296875
2018-02-05,54.0
2018-02-06,54.95899963378906
2018-02-07,54.93000030517578
2018-02-08,53.06999969482422
2018-02-09,52.23500061035156
2018-02-12,54.27000045776367
2018-02-13,54.5099983215332
2018-02-14,55.52000045776367
2018-02-15,56.29999923706055
2018-02-16,55.95000076293945
2018-02-20,54.959999084472656
2018-02-21,55.68000030517578
2018-02-22,55.68000030517578
2018-02-23,56.150001525878906
