,BILI
2018-03-28,11.239999771118164
2018-03-29,11.0
2018-04-02,11.0
2018-04-03,10.90999984741211
2018-04-04,10.970000267028809
2018-04-05,10.979999542236328
2018-04-06,10.9399995803833
2018-04-09,11.100000381469727
2018-04-10,11.5
2018-04-11,11.479999542236328
2018-04-12,11.619999885559082
2018-04-13,11.399999618530273
2018-04-16,11.329999923706055
2018-04-17,11.319999694824219
2018-04-18,11.350000381469727
2018-04-19,11.350000381469727
2018-04-20,11.1899995803833
2018-04-23,11.1899995803833
2018-04-24,11.289999961853027
2018-04-25,10.899999618530273
2018-04-26,11.0
2018-04-27,10.609999656677246
2018-04-30,10.920000076293945
2018-05-01,10.579999923706055
2018-05-02,10.260000228881836
2018-05-03,10.079999923706055
2018-05-04,9.989999771118164
2018-05-07,10.0
2018-05-08,10.270000457763672
2018-05-09,10.649999618530273
2018-05-10,11.0
2018-05-11,11.460000038146973
2018-05-14,12.069999694824219
2018-05-15,12.15999984741211
2018-05-16,14.109999656677246
2018-05-17,13.550000190734863
2018-05-18,12.84000015258789
2018-05-21,12.75
2018-05-22,13.140000343322754
2018-05-23,12.4399995803833
2018-05-24,13.850000381469727
2018-05-25,14.239999771118164
2018-05-29,15.029999732971191
2018-05-30,16.670000076293945
2018-05-31,16.229999542236328
2018-06-01,16.90999984741211
2018-06-04,16.43000030517578
2018-06-05,16.709999084472656
2018-06-06,16.56999969482422
2018-06-07,16.219999313354492
2018-06-08,18.950000762939453
2018-06-11,18.420000076293945
2018-06-12,18.65999984741211
2018-06-13,20.06999969482422
2018-06-14,20.5
2018-06-15,19.649999618530273
2018-06-18,21.280000686645508
2018-06-19,19.18000030517578
2018-06-20,18.540000915527344
2018-06-21,16.440000534057617
2018-06-22,16.649999618530273
2018-06-25,15.359999656677246
2018-06-26,15.850000381469727
2018-06-27,13.899999618530273
2018-06-28,14.5
2018-06-29,13.989999771118164
2018-07-02,13.359999656677246
2018-07-03,13.800000190734863
2018-07-05,12.899999618530273
2018-07-06,13.300000190734863
2018-07-09,13.850000381469727
2018-07-10,13.260000228881836
2018-07-11,12.779999732971191
2018-07-12,14.260000228881836
2018-07-13,13.800000190734863
2018-07-16,13.800000190734863
2018-07-17,13.6899995803833
2018-07-18,14.430000305175781
2018-07-19,13.920000076293945
2018-07-20,14.40999984741211
2018-07-23,14.180000305175781
2018-07-24,13.920000076293945
2018-07-25,13.359999656677246
2018-07-26,12.770000457763672
2018-07-27,12.130000114440918
2018-07-30,11.59000015258789
2018-07-31,11.710000038146973
2018-08-01,11.329999923706055
2018-08-02,11.510000228881836
2018-08-03,11.0600004196167
2018-08-06,11.270000457763672
2018-08-07,11.399999618530273
2018-08-08,11.390000343322754
2018-08-09,11.25
2018-08-10,11.140000343322754
2018-08-13,10.8100004196167
2018-08-14,10.65999984741211
2018-08-15,10.265000343322754
2018-08-16,10.5600004196167
2018-08-17,10.699999809265137
2018-08-20,11.300000190734863
2018-08-21,11.850000381469727
2018-08-22,11.010000228881836
2018-08-23,10.529999732971191
2018-08-24,10.90999984741211
2018-08-27,11.529999732971191
2018-08-28,13.079999923706055
2018-08-29,13.760000228881836
2018-08-30,13.140000343322754
2018-08-31,12.829999923706055
2018-09-04,12.5
2018-09-05,11.390000343322754
2018-09-06,11.399999618530273
2018-09-07,11.710000038146973
2018-09-10,11.3100004196167
2018-09-11,11.84000015258789
2018-09-12,13.029999732971191
2018-09-13,13.350000381469727
2018-09-14,13.520000457763672
2018-09-17,13.229999542236328
2018-09-18,13.760000228881836
2018-09-19,13.220000267028809
2018-09-20,13.4399995803833
2018-09-21,12.430000305175781
2018-09-24,12.0
2018-09-25,12.550000190734863
2018-09-26,12.869999885559082
2018-09-27,13.020000457763672
2018-09-28,13.479999542236328
2018-10-01,13.949999809265137
2018-10-02,13.3100004196167
2018-10-03,14.369999885559082
2018-10-04,13.550000190734863
2018-10-05,13.350000381469727
2018-10-08,13.630000114440918
2018-10-09,13.170000076293945
2018-10-10,12.420000076293945
2018-10-11,12.6899995803833
2018-10-12,13.710000038146973
2018-10-15,13.949999809265137
2018-10-16,13.460000038146973
2018-10-17,13.25
2018-10-18,12.609999656677246
2018-10-19,12.489999771118164
2018-10-22,13.050000190734863
2018-10-23,12.970000267028809
2018-10-24,11.989999771118164
2018-10-25,12.569999694824219
2018-10-26,13.170000076293945
2018-10-29,12.470000267028809
2018-10-30,13.100000381469727
2018-10-31,13.5
2018-11-01,14.1899995803833
2018-11-02,14.430000305175781
2018-11-05,14.359999656677246
2018-11-06,14.90999984741211
2018-11-07,15.149999618530273
2018-11-08,14.489999771118164
2018-11-09,13.399999618530273
2018-11-12,12.899999618530273
2018-11-13,13.770000457763672
2018-11-14,13.5600004196167
2018-11-15,14.470000267028809
2018-11-16,14.5
2018-11-19,13.024999618530273
2018-11-20,13.600000381469727
2018-11-21,15.140000343322754
2018-11-23,14.979999542236328
2018-11-26,14.9399995803833
2018-11-27,14.970000267028809
2018-11-28,16.139999389648438
2018-11-29,14.930000305175781
2018-11-30,15.609999656677246
2018-12-03,15.420000076293945
2018-12-04,14.329999923706055
2018-12-06,14.680000305175781
2018-12-07,14.6899995803833
2018-12-10,14.710000038146973
2018-12-11,15.050000190734863
2018-12-12,15.289999961853027
2018-12-13,14.949999809265137
2018-12-14,15.220000267028809
2018-12-17,14.279999732971191
2018-12-18,14.720000267028809
2018-12-19,14.550000190734863
2018-12-20,14.630000114440918
2018-12-21,13.300000190734863
2018-12-24,13.710000038146973
2018-12-26,13.850000381469727
2018-12-27,14.079999923706055
2018-12-28,14.369999885559082
2018-12-31,14.59000015258789
2019-01-02,14.279999732971191
