,CHDN
1993-03-29,10.833333015441895
1993-03-30,10.833333015441895
1993-03-31,10.833333015441895
1993-04-01,10.916666984558105
1993-04-02,10.166666984558105
1993-04-05,10.333333015441895
1993-04-06,9.833333015441895
1993-04-07,10.166666984558105
1993-04-08,9.75
1993-04-12,9.833333015441895
1993-04-13,10.25
1993-04-14,10.0
1993-04-15,10.0625
1993-04-16,9.166666984558105
1993-04-19,9.333333015441895
1993-04-20,9.458333015441895
1993-04-21,9.458333015441895
1993-04-22,9.5
1993-04-23,9.5
1993-04-26,9.583333015441895
1993-04-27,9.333333015441895
1993-04-28,8.75
1993-04-29,9.25
1993-04-30,9.25
1993-05-03,9.25
1993-05-04,8.833333015441895
1993-05-05,9.166666984558105
1993-05-06,9.0
1993-05-07,8.916666984558105
1993-05-10,9.0
1993-05-11,8.916666984558105
1993-05-12,8.166666984558105
1993-05-13,8.666666984558105
1993-05-14,8.666666984558105
1993-05-17,8.583333015441895
1993-05-18,8.666666984558105
1993-05-19,8.166666984558105
1993-05-20,8.666666984558105
1993-05-21,8.166666984558105
1993-05-24,8.166666984558105
1993-05-25,8.166666984558105
1993-05-26,8.583333015441895
1993-05-27,8.75
1993-05-28,8.75
1993-06-01,8.5
1993-06-02,8.75
1993-06-03,8.75
1993-06-04,8.416666984558105
1993-06-07,8.333333015441895
1993-06-08,8.333333015441895
1993-06-09,8.75
1993-06-10,8.333333015441895
1993-06-11,8.333333015441895
1993-06-14,8.75
1993-06-15,8.75
1993-06-16,8.75
1993-06-17,8.625
1993-06-18,8.5625
1993-06-21,8.666666984558105
1993-06-22,8.5
1993-06-23,8.666666984558105
1993-06-24,8.666666984558105
1993-06-25,8.583333015441895
1993-06-28,8.333333015441895
1993-06-29,8.583333015441895
1993-06-30,8.583333015441895
1993-07-01,8.375
1993-07-02,8.583333015441895
1993-07-06,8.583333015441895
1993-07-07,8.583333015441895
1993-07-08,8.583333015441895
1993-07-09,8.583333015441895
1993-07-12,8.583333015441895
1993-07-13,8.541666984558105
1993-07-14,8.5
1993-07-15,8.583333015441895
1993-07-16,8.5
1993-07-19,8.583333015441895
1993-07-20,8.583333015441895
1993-07-21,8.583333015441895
1993-07-22,9.0
1993-07-23,9.0
1993-07-26,9.25
1993-07-27,9.333333015441895
1993-07-28,8.833333015441895
1993-07-29,9.333333015441895
1993-07-30,9.333333015441895
