,CTSO
2006-08-08,76.25
2006-08-09,95.25
2006-08-10,92.5
2006-08-11,90.0
2006-08-14,85.5
2006-08-15,70.0
2006-08-16,62.5
2006-08-17,63.75
2006-08-18,75.0
2006-08-21,65.0
2006-08-22,72.5
2006-08-23,61.25
2006-08-24,52.5
2006-08-25,63.474998474121094
2006-08-28,57.5
2006-08-29,56.25
2006-08-30,50.0
2006-08-31,53.75
2006-09-01,51.25
2006-09-05,55.0
2006-09-06,50.0
2006-09-07,50.0
2006-09-08,49.75
2006-09-11,46.5
2006-09-12,50.0
2006-09-13,48.75
2006-09-14,43.75
2006-09-15,41.25
2006-09-18,43.75
2006-09-19,39.5
2006-09-20,40.0
2006-09-21,37.5
2006-09-22,40.0
2006-09-25,36.25
2006-09-26,37.5
2006-09-27,38.75
2006-09-28,42.5
2006-09-29,42.5
2006-10-02,41.25
2006-10-03,36.5
2006-10-04,33.75
2006-10-05,41.25
2006-10-06,40.75
2006-10-09,35.0
2006-10-10,35.0
2006-10-11,37.5
2006-10-12,35.0
2006-10-13,37.5
2006-10-16,36.25
2006-10-17,35.0
2006-10-18,37.25
2006-10-19,37.25
2006-10-20,36.75
2006-10-23,33.75
2006-10-24,34.5
2006-10-25,30.0
2006-10-26,31.25
2006-10-27,36.0
2006-10-30,33.75
2006-10-31,32.5
2006-11-01,31.25
2006-11-02,33.75
2006-11-03,34.0
2006-11-06,29.75
2006-11-07,27.5
2006-11-08,27.5
2006-11-09,27.75
2006-11-10,25.5
2006-11-13,31.0
2006-11-14,28.75
2006-11-15,28.0
2006-11-16,26.5
2006-11-17,22.5
2006-11-20,20.0
2006-11-21,18.75
2006-11-22,19.0
2006-11-24,21.0
2006-11-27,22.75
2006-11-28,28.25
2006-11-29,27.0
2006-11-30,28.0
2006-12-01,29.0
2006-12-04,25.0
2006-12-05,26.0
2006-12-06,25.25
2006-12-07,22.5
2006-12-08,20.0
2006-12-11,14.25
2006-12-12,21.25
2006-12-13,25.25
2006-12-14,25.25
2006-12-15,26.5
2006-12-18,27.5
2006-12-19,29.5
2006-12-20,30.5
2006-12-21,35.0
2006-12-22,36.75
2006-12-26,27.5
2006-12-27,29.5
2006-12-28,44.5
2006-12-29,41.25
2007-01-03,43.75
2007-01-04,42.5
2007-01-05,42.5
2007-01-08,37.5
2007-01-09,33.75
2007-01-10,37.5
2007-01-11,36.25
2007-01-12,41.5
2007-01-16,47.5
2007-01-17,44.25
2007-01-18,45.0
2007-01-19,43.75
2007-01-22,45.5
2007-01-23,41.25
2007-01-24,42.5
2007-01-25,42.5
2007-01-26,42.5
2007-01-29,40.0
2007-01-30,39.5
2007-01-31,33.75
2007-02-01,30.0
2007-02-02,31.25
2007-02-05,35.0
2007-02-06,31.25
2007-02-07,30.0
2007-02-08,31.5
2007-02-09,27.0
2007-02-12,32.5
2007-02-13,43.75
2007-02-14,45.0
2007-02-15,49.75
2007-02-16,50.0
2007-02-20,55.0
2007-02-21,52.5
2007-02-22,67.5
2007-02-23,57.5
2007-02-26,58.75
2007-02-27,51.25
2007-02-28,43.75
2007-03-01,48.5
2007-03-02,46.25
2007-03-05,37.5
2007-03-06,45.0
2007-03-07,37.5
2007-03-08,36.25
2007-03-09,37.5
2007-03-12,31.25
2007-03-13,31.25
2007-03-14,30.0
2007-03-15,30.0
2007-03-16,30.25
2007-03-19,29.75
2007-03-20,28.75
2007-03-21,27.5
2007-03-22,28.75
2007-03-23,31.25
2007-03-26,28.5
2007-03-27,29.5
2007-03-28,29.5
2007-03-29,30.0
2007-03-30,29.75
2007-04-02,36.25
2007-04-03,28.5
2007-04-04,28.75
2007-04-05,35.0
2007-04-09,27.5
2007-04-10,21.25
2007-04-11,25.25
2007-04-12,30.0
2007-04-13,35.0
2007-04-16,35.5
2007-04-17,34.25
2007-04-18,32.5
2007-04-19,31.75
2007-04-20,26.25
2007-04-23,27.0
2007-04-24,25.0
2007-04-25,23.75
2007-04-26,23.75
2007-04-27,25.0
2007-04-30,25.0
2007-05-01,23.75
2007-05-02,27.0
2007-05-03,26.25
2007-05-04,24.25
2007-05-07,27.5
2007-05-08,29.0
2007-05-09,28.75
2007-05-10,29.0
2007-05-11,28.424999237060547
2007-05-14,30.0
2007-05-15,30.0
2007-05-16,21.5
2007-05-17,24.75
2007-05-18,24.75
2007-05-21,26.0
2007-05-22,26.0
2007-05-23,25.75
2007-05-24,26.0
2007-05-25,25.25
2007-05-29,22.5
2007-05-30,22.5
2007-05-31,25.0
2007-06-01,22.5
2007-06-04,20.5
2007-06-05,20.5
2007-06-06,16.75
2007-06-07,15.25
2007-06-08,15.5
2007-06-11,15.25
2007-06-12,16.25
2007-06-13,15.0
2007-06-14,13.25
2007-06-15,16.0
2007-06-18,13.5
2007-06-19,15.0
2007-06-20,15.0
2007-06-21,12.25
2007-06-22,11.5
2007-06-25,12.0
2007-06-26,10.75
2007-06-27,10.75
2007-06-28,10.024999618530273
2007-06-29,13.75
2007-07-02,14.25
2007-07-03,13.0
2007-07-05,12.5
2007-07-06,15.0
2007-07-09,13.25
2007-07-10,11.25
2007-07-11,10.75
2007-07-12,8.75
2007-07-13,8.75
2007-07-16,10.0
2007-07-17,10.0
2007-07-18,10.0
2007-07-19,10.0
2007-07-20,10.0
2007-07-23,10.0
2007-07-24,10.0
2007-07-25,10.0
2007-07-26,8.5
2007-07-27,7.0
2007-07-30,7.75
2007-07-31,9.25
2007-08-01,7.75
2007-08-02,8.0
2007-08-03,6.25
2007-08-06,6.5
2007-08-07,6.5
2007-08-08,6.5
2007-08-09,6.5
2007-08-10,7.5
2007-08-13,6.0
2007-08-14,6.0
2007-08-15,6.25
2007-08-16,5.25
2007-08-17,6.25
2007-08-20,6.25
2007-08-21,6.25
2007-08-22,5.0
2007-08-23,5.5
2007-08-24,5.5
2007-08-27,5.0
2007-08-28,4.5
2007-08-29,4.5
2007-08-30,4.5
2007-08-31,5.25
2007-09-04,5.0
2007-09-05,4.75
2007-09-06,5.0
2007-09-07,5.5
2007-09-10,4.75
2007-09-11,4.75
2007-09-12,4.25
2007-09-13,5.25
2007-09-14,4.0
2007-09-17,5.0
2007-09-18,5.0
2007-09-19,5.0
2007-09-20,4.25
2007-09-21,4.25
2007-09-24,4.75
2007-09-25,4.75
2007-09-26,4.75
2007-09-27,4.75
2007-09-28,4.25
2007-10-01,5.0
2007-10-02,5.0
2007-10-03,5.0
2007-10-04,4.25
2007-10-05,5.0
2007-10-08,5.0
2007-10-09,5.0
2007-10-10,5.0
2007-10-11,5.75
2007-10-12,5.75
2007-10-15,4.75
2007-10-16,7.5
2007-10-17,6.75
2007-10-18,7.5
2007-10-19,5.0
2007-10-22,5.0
2007-10-23,5.0
2007-10-24,5.0
2007-10-25,5.0
2007-10-26,5.5
2007-10-29,5.5
2007-10-30,10.0
2007-10-31,11.0
2007-11-01,8.75
2007-11-02,6.5
2007-11-05,6.5
2007-11-06,6.25
2007-11-07,6.525000095367432
2007-11-08,6.800000190734863
2007-11-09,6.25
2007-11-12,6.25
2007-11-13,6.5
2007-11-14,6.5
2007-11-15,6.5
2007-11-16,9.75
2007-11-19,9.75
2007-11-20,7.25
2007-11-21,7.5
2007-11-23,7.5
2007-11-26,6.75
2007-11-27,7.25
2007-11-28,7.5
2007-11-29,6.75
2007-11-30,6.75
2007-12-03,7.5
2007-12-04,6.5
2007-12-05,6.5
2007-12-06,6.25
2007-12-07,6.25
2007-12-10,6.5
2007-12-11,6.25
2007-12-12,5.0
2007-12-13,5.0
2007-12-14,5.25
2007-12-17,5.0
2007-12-18,4.5
2007-12-19,4.5
2007-12-20,4.5
2007-12-21,5.0
2007-12-24,4.25
2007-12-26,4.0
2007-12-27,4.0
2007-12-28,4.0
2007-12-31,5.5
2008-01-02,6.0
2008-01-03,6.0
2008-01-04,6.0
2008-01-07,5.0
2008-01-08,5.0
2008-01-09,5.0
2008-01-10,6.25
2008-01-11,6.25
2008-01-14,6.25
2008-01-15,7.5
2008-01-16,6.25
2008-01-17,6.25
2008-01-18,5.5
2008-01-22,5.0
2008-01-23,5.0
2008-01-24,3.75
2008-01-25,3.75
2008-01-28,8.0
2008-01-29,5.0
2008-01-30,5.0
2008-01-31,5.0
2008-02-01,5.0
2008-02-04,6.25
2008-02-05,6.25
2008-02-06,7.25
2008-02-07,7.25
2008-02-08,7.25
2008-02-11,6.25
2008-02-12,5.25
2008-02-13,5.5
2008-02-14,5.5
2008-02-15,5.5
2008-02-19,6.25
2008-02-20,5.75
2008-02-21,5.75
2008-02-22,5.25
2008-02-25,5.25
2008-02-26,5.25
2008-02-27,5.5
2008-02-28,5.5
2008-02-29,5.5
2008-03-03,5.25
2008-03-04,5.25
2008-03-05,6.25
2008-03-06,6.25
2008-03-07,5.0
2008-03-10,5.0
2008-03-11,4.75
2008-03-12,4.75
2008-03-13,4.75
2008-03-14,4.75
2008-03-17,4.75
2008-03-18,4.75
2008-03-19,4.75
2008-03-20,4.0
2008-03-24,4.0
2008-03-25,4.0
2008-03-26,4.0
2008-03-27,4.125
2008-03-28,4.125
2008-03-31,4.0
2008-04-01,4.0
2008-04-02,4.0
2008-04-03,4.5
2008-04-04,4.5
2008-04-07,4.5
2008-04-08,4.0
2008-04-09,5.75
2008-04-10,5.0
2008-04-11,5.0
2008-04-14,5.0
2008-04-15,4.625
2008-04-16,4.25
