,CGNT
2021-02-08,28.809999465942383
2021-02-09,31.0
2021-02-10,30.270000457763672
2021-02-11,29.75
2021-02-12,30.299999237060547
2021-02-16,30.200000762939453
2021-02-17,29.75
2021-02-18,31.15999984741211
2021-02-19,30.899999618530273
2021-02-22,31.34000015258789
2021-02-23,29.450000762939453
2021-02-24,29.079999923706055
2021-02-25,28.489999771118164
2021-02-26,28.8700008392334
2021-03-01,30.799999237060547
2021-03-02,30.100000381469727
2021-03-03,29.850000381469727
2021-03-04,27.31999969482422
2021-03-05,27.40999984741211
2021-03-08,28.959999084472656
2021-03-09,30.360000610351562
2021-03-10,31.219999313354492
2021-03-11,32.02000045776367
2021-03-12,30.450000762939453
2021-03-15,30.719999313354492
2021-03-16,29.989999771118164
2021-03-17,30.34000015258789
2021-03-18,28.65999984741211
2021-03-19,29.329999923706055
2021-03-22,29.31999969482422
2021-03-23,28.3799991607666
2021-03-24,27.8799991607666
2021-03-25,27.309999465942383
2021-03-26,28.360000610351562
2021-03-29,27.450000762939453
2021-03-30,27.43000030517578
2021-03-31,27.809999465942383
2021-04-01,28.360000610351562
2021-04-05,27.049999237060547
2021-04-06,26.6299991607666
2021-04-07,25.59000015258789
2021-04-08,26.579999923706055
2021-04-09,25.579999923706055
2021-04-12,24.649999618530273
2021-04-13,25.270000457763672
2021-04-14,24.579999923706055
2021-04-15,24.239999771118164
2021-04-16,24.06999969482422
2021-04-19,24.3700008392334
2021-04-20,24.559999465942383
2021-04-21,25.579999923706055
2021-04-22,25.420000076293945
2021-04-23,26.1299991607666
2021-04-26,26.59000015258789
2021-04-27,25.81999969482422
2021-04-28,26.1299991607666
2021-04-29,26.479999542236328
2021-04-30,26.1299991607666
2021-05-03,25.06999969482422
2021-05-04,24.290000915527344
2021-05-05,23.93000030517578
2021-05-06,24.25
2021-05-07,24.270000457763672
2021-05-10,24.110000610351562
2021-05-11,24.440000534057617
2021-05-12,23.43000030517578
2021-05-13,23.469999313354492
2021-05-14,24.65999984741211
