,ATT
2005-09-22,11.003800392150879
2005-09-23,11.370599746704102
2005-09-26,11.462300300598145
2005-09-27,11.278900146484375
2005-09-28,11.462300300598145
2005-09-29,11.462300300598145
2005-09-30,11.462300300598145
2005-10-03,11.462300300598145
2005-10-04,11.370599746704102
2005-10-05,11.462300300598145
2005-10-06,11.462300300598145
2005-10-07,10.912099838256836
2005-10-10,10.912099838256836
2005-10-11,10.912099838256836
2005-10-12,11.003800392150879
2005-10-13,11.003800392150879
2005-10-14,11.003800392150879
2005-10-17,10.82040023803711
2005-10-18,10.82040023803711
2005-10-19,10.728699684143066
2005-10-20,10.728699684143066
2005-10-21,10.728699684143066
2005-10-24,10.728699684143066
2005-10-25,10.63700008392334
2005-10-26,10.63700008392334
2005-10-27,10.63700008392334
2005-10-28,10.63700008392334
2005-10-31,10.63700008392334
2005-11-01,10.63700008392334
2005-11-02,10.82040023803711
2005-11-03,10.63700008392334
2005-11-04,10.63700008392334
2005-11-07,10.63700008392334
2005-11-08,10.82040023803711
2005-11-09,10.82040023803711
2005-11-10,10.63700008392334
2005-11-11,10.63700008392334
2005-11-14,10.63700008392334
2005-11-15,10.82040023803711
2005-11-16,10.82040023803711
2005-11-17,10.63700008392334
2005-11-18,
2005-11-21,
2005-11-22,
2005-11-23,
2005-11-25,18.339599609375
2005-11-28,18.156200408935547
2005-11-29,18.156200408935547
2005-11-30,18.156200408935547
2005-12-01,18.156200408935547
2005-12-02,18.339599609375
2005-12-05,18.339599609375
2005-12-06,18.156200408935547
2005-12-07,18.156200408935547
2005-12-08,17.789400100708008
2005-12-09,17.789400100708008
2005-12-12,17.789400100708008
2005-12-13,18.339599609375
2005-12-14,18.156200408935547
2005-12-15,18.156200408935547
2005-12-16,18.156200408935547
2005-12-19,18.156200408935547
2005-12-20,18.339599609375
2005-12-21,18.339599609375
2005-12-22,18.156200408935547
2005-12-23,18.156200408935547
2005-12-27,
2005-12-28,18.156200408935547
2005-12-29,18.156200408935547
2005-12-30,18.156200408935547
2006-01-03,18.156200408935547
2006-01-04,18.156200408935547
2006-01-05,18.156200408935547
2006-01-06,18.156200408935547
2006-01-09,18.156200408935547
2006-01-10,18.339599609375
2006-01-11,18.339599609375
2006-01-12,18.339599609375
2006-01-13,18.70639991760254
2006-01-17,18.156200408935547
2006-01-18,18.156200408935547
2006-01-19,18.339599609375
2006-01-20,18.339599609375
2006-01-23,18.156200408935547
2006-01-24,18.339599609375
2006-01-25,18.339599609375
2006-01-26,
2006-01-27,18.156200408935547
2006-01-30,17.97279930114746
2006-01-31,17.97279930114746
2006-02-01,17.97279930114746
2006-02-02,17.97279930114746
2006-02-03,17.97279930114746
2006-02-06,17.97279930114746
2006-02-07,17.97279930114746
2006-02-08,17.789400100708008
2006-02-09,17.97279930114746
2006-02-10,18.376399993896484
2006-02-13,18.008899688720703
2006-02-14,18.19260025024414
2006-02-15,18.008899688720703
2006-02-16,18.19260025024414
2006-02-17,18.008899688720703
2006-02-21,18.008899688720703
2006-02-22,18.19260025024414
2006-02-23,18.284500122070312
2006-02-24,18.19260025024414
2006-02-27,18.19260025024414
2006-02-28,18.19260025024414
2006-03-01,18.19260025024414
2006-03-02,18.284500122070312
2006-03-03,18.284500122070312
2006-03-06,18.284500122070312
2006-03-07,18.19260025024414
2006-03-08,18.19260025024414
2006-03-09,18.19260025024414
2006-03-10,18.19260025024414
2006-03-13,18.19260025024414
2006-03-14,18.19260025024414
2006-03-15,18.284500122070312
2006-03-16,18.376399993896484
2006-03-17,18.560100555419922
2006-03-20,18.284500122070312
2006-03-21,18.284500122070312
2006-03-22,18.284500122070312
2006-03-23,18.284500122070312
2006-03-24,18.376399993896484
2006-03-27,18.376399993896484
2006-03-28,18.376399993896484
2006-03-29,18.008899688720703
2006-03-30,18.376399993896484
2006-03-31,18.19260025024414
2006-04-03,18.19260025024414
2006-04-04,18.10070037841797
2006-04-05,18.376399993896484
2006-04-06,18.284500122070312
2006-04-07,18.19260025024414
2006-04-10,18.10070037841797
2006-04-11,18.19260025024414
2006-04-12,17.82509994506836
2006-04-13,18.008899688720703
2006-04-17,
2006-04-18,17.91699981689453
2006-04-19,17.91699981689453
2006-04-20,17.82509994506836
2006-04-21,17.82509994506836
2006-04-24,17.91699981689453
2006-04-25,
2006-04-26,18.008899688720703
2006-04-27,17.641300201416016
2006-04-28,17.549400329589844
2006-05-01,17.82509994506836
2006-05-02,17.91699981689453
2006-05-03,17.91699981689453
2006-05-04,17.82509994506836
2006-05-05,17.733200073242188
2006-05-08,17.733200073242188
2006-05-09,17.733200073242188
2006-05-10,17.91699981689453
2006-05-11,17.82509994506836
2006-05-12,17.82509994506836
2006-05-15,17.549400329589844
2006-05-16,17.457599639892578
2006-05-17,17.641300201416016
2006-05-18,17.273799896240234
2006-05-19,17.549400329589844
2006-05-22,17.641300201416016
2006-05-23,17.549400329589844
2006-05-24,17.273799896240234
2006-05-25,17.457599639892578
2006-05-26,17.457599639892578
2006-05-30,17.273799896240234
2006-05-31,17.273799896240234
2006-06-01,17.365699768066406
2006-06-02,17.181900024414062
2006-06-05,17.273799896240234
2006-06-06,17.273799896240234
2006-06-07,17.09000015258789
2006-06-08,17.181900024414062
2006-06-09,17.09000015258789
2006-06-12,
2006-06-13,17.181900024414062
2006-06-14,17.181900024414062
2006-06-15,17.181900024414062
2006-06-16,17.181900024414062
2006-06-19,17.641300201416016
2006-06-20,17.273799896240234
2006-06-21,17.457599639892578
2006-06-22,17.549400329589844
2006-06-23,17.82509994506836
2006-06-26,17.457599639892578
