,BLUE
2013-06-19,26.90999984741211
2013-06-20,26.09000015258789
2013-06-21,25.5
2013-06-24,25.100000381469727
2013-06-25,25.209999084472656
2013-06-26,25.06999969482422
2013-06-27,25.0
2013-06-28,24.969999313354492
2013-07-01,26.260000228881836
2013-07-02,30.0
2013-07-03,30.049999237060547
2013-07-05,29.270000457763672
2013-07-08,29.989999771118164
2013-07-09,29.469999313354492
2013-07-10,30.0
2013-07-11,30.219999313354492
2013-07-12,30.649999618530273
2013-07-15,32.5
2013-07-16,35.0
2013-07-17,34.779998779296875
2013-07-18,34.66999816894531
2013-07-19,33.9900016784668
2013-07-22,32.59000015258789
2013-07-23,33.56999969482422
2013-07-24,31.760000228881836
2013-07-25,30.510000228881836
2013-07-26,30.520000457763672
2013-07-29,30.850000381469727
2013-07-30,32.11000061035156
2013-07-31,31.1299991607666
2013-08-01,31.299999237060547
2013-08-02,31.549999237060547
2013-08-05,31.549999237060547
2013-08-06,29.899999618530273
2013-08-07,27.200000762939453
2013-08-08,29.09000015258789
2013-08-09,28.40999984741211
2013-08-12,28.40999984741211
2013-08-13,29.170000076293945
2013-08-14,30.040000915527344
2013-08-15,29.06999969482422
2013-08-16,29.239999771118164
2013-08-19,29.0
2013-08-20,26.809999465942383
2013-08-21,25.850000381469727
2013-08-22,25.559999465942383
2013-08-23,26.020000457763672
2013-08-26,25.6299991607666
2013-08-27,24.459999084472656
2013-08-28,24.43000030517578
2013-08-29,25.479999542236328
2013-08-30,24.899999618530273
2013-09-03,25.420000076293945
2013-09-04,26.0
2013-09-05,25.809999465942383
2013-09-06,25.459999084472656
2013-09-09,26.34000015258789
2013-09-10,26.889999389648438
2013-09-11,26.520000457763672
2013-09-12,26.65999984741211
2013-09-13,27.579999923706055
2013-09-16,27.010000228881836
2013-09-17,26.600000381469727
2013-09-18,27.040000915527344
2013-09-19,27.06999969482422
2013-09-20,25.190000534057617
2013-09-23,27.270000457763672
2013-09-24,28.600000381469727
2013-09-25,26.670000076293945
2013-09-26,25.850000381469727
2013-09-27,27.139999389648438
2013-09-30,26.959999084472656
2013-10-01,27.110000610351562
2013-10-02,26.780000686645508
2013-10-03,25.540000915527344
2013-10-04,25.959999084472656
2013-10-07,25.799999237060547
2013-10-08,23.5
2013-10-09,22.8799991607666
2013-10-10,23.350000381469727
2013-10-11,22.459999084472656
2013-10-14,22.93000030517578
2013-10-15,22.920000076293945
2013-10-16,25.68000030517578
2013-10-17,24.110000610351562
2013-10-18,23.799999237060547
2013-10-21,22.170000076293945
2013-10-22,22.200000762939453
2013-10-23,22.899999618530273
2013-10-24,23.25
2013-10-25,22.950000762939453
2013-10-28,23.389999389648438
2013-10-29,23.610000610351562
2013-10-30,23.010000228881836
2013-10-31,21.25
2013-11-01,21.190000534057617
2013-11-04,20.489999771118164
2013-11-05,20.700000762939453
2013-11-06,20.079999923706055
2013-11-07,20.280000686645508
2013-11-08,20.950000762939453
2013-11-11,20.649999618530273
2013-11-12,20.489999771118164
2013-11-13,20.59000015258789
2013-11-14,20.020000457763672
2013-11-15,18.940000534057617
2013-11-18,17.729999542236328
2013-11-19,17.530000686645508
2013-11-20,17.540000915527344
2013-11-21,17.549999237060547
2013-11-22,17.56999969482422
2013-11-25,18.34000015258789
2013-11-26,19.3700008392334
